Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0042503-T01-IM6	13	7	20	0
P-0042615-T01-IM6	29	1	7	1
P-0042737-T01-IM6	18	19	3	2
P-0042880-T01-IM6	12	2	10	3
P-0043005-T01-IM6	33	19	8	5
P-0043052-T01-IM6	60	5	27	1
P-0043087-T01-IM6	40	20	25	2
P-0043095-T01-IM6	28	2	25	1
P-0043154-T01-IM6	31	0	18	3
P-0043169-T01-IM6	1	12	5	0
P-0043595-T01-IM6	34	7	13	2
P-0043599-T01-IM6	11	5	21	2
P-0043781-T01-IM6	7	0	29	0
P-0043907-T01-IM6	35	0	15	0
P-0044184-T01-IM6	14	28	11	0
P-0044217-T01-IM6	12	0	9	0
P-0044329-T01-IM6	26	6	20	0
P-0044371-T01-IM6	11	5	48	2
P-0044406-T01-IM6	21	0	14	2
P-0044484-T01-IM6	20	12	4	2
P-0044540-T01-IM6	11	28	0	6
P-0044544-T01-IM6	18	0	18	0
P-0044576-T01-IM6	14	0	18	0
P-0044645-T01-IM6	66	19	0	0
P-0044666-T01-IM6	6	23	0	0
P-0044791-T01-IM6	25	16	0	0
P-0044805-T01-IM6	21	0	9	1
P-0044833-T01-IM6	34	9	16	0
P-0044858-T01-IM6	19	0	9	1
P-0045009-T01-IM6	9	16	0	1
P-0045111-T01-IM6	21	8	18	4
P-0045223-T01-IM6	3	8	9	1
P-0045253-T01-IM6	16	0	22	0
P-0045320-T01-IM6	15	4	8	3
P-0045366-T01-IM6	14	16	3	0
P-0045460-T01-IM6	8	5	15	1
P-0045471-T01-IM6	2	20	0	1
P-0045547-T01-IM6	7	2	8	1
P-0045569-T01-IM6	29	25	14	0
P-0045713-T01-IM6	15	0	6	0
P-0045823-T01-IM6	11	27	0	0
P-0045984-T01-IM6	44	1	7	2
P-0046035-T01-IM6	13	0	11	2
P-0046229-T01-IM6	8	10	13	0
P-0046266-T01-IM6	12	4	25	0
P-0046311-T01-IM6	12	5	3	8
P-0046312-T01-IM6	34	0	3	0
P-0046394-T01-IM6	22	3	10	0
P-0046492-T01-IM6	23	0	8	4
P-0046698-T01-IM6	48	42	10	1
P-0046738-T01-IM6	6	18	0	0
P-0046739-T01-IM6	27	15	4	0
P-0046759-T01-IM6	20	15	5	0
P-0046843-T01-IM6	43	0	28	0
P-0046954-T01-IM6	2	0	8	0
P-0047056-T01-IM6	25	23	28	2
P-0047121-T01-IM6	20	3	2	0
P-0047196-T01-IM6	18	11	1	0
P-0047599-T01-IM6	71	0	18	2
P-0047601-T01-IM6	5	16	8	1
P-0047632-T01-IM6	22	27	0	0
P-0047822-T01-IM6	19	1	26	0
P-0047850-T01-IM6	34	0	15	0
P-0047862-T01-IM6	13	16	6	0
P-0047886-T01-IM6	18	2	25	3
P-0048082-T01-IM6	22	0	18	0
P-0048215-T01-IM6	22	139	0	309
P-0048221-T01-IM6	36	42	0	0
P-0048257-T01-IM6	5	11	12	6
P-0048271-T01-IM6	24	0	2	1
P-0048660-T01-IM6	15	0	10	0
P-0048893-T01-IM6	24	0	15	2
P-0049064-T01-IM6	9	24	15	3
P-0049202-T01-IM6	0	3	1	169
P-0049359-T01-IM6	18	0	11	0
P-0049376-T01-IM6	24	0	21	0
P-0049486-T01-IM6	7	12	1	0
P-0049600-T01-IM6	7	10	0	0
P-0049633-T01-IM6	6	16	7	0
P-0049661-T01-IM6	15	17	2	0
P-0049762-T01-IM6	13	16	1	3
P-0049970-T01-IM6	29	2	24	5
P-0050263-T01-IM6	9	0	0	272
P-0050266-T01-IM6	11	1	31	4
