Samples	SBS96A	SBS96B
P-0014137-T01-IM5	3.38E-01	3.38E-01
P-0014148-T01-IM5	6.24E-01	6.24E-01
P-0014159-T01-IM5	3.93E-01	3.93E-01
P-0014206-T01-IM6	2.39E-01	2.39E-01
P-0014208-T01-IM6	3.42E-01	3.42E-01
P-0014227-T01-IM6	6.37E-01	6.37E-01
P-0014229-T01-IM6	2.53E-01	2.53E-01
P-0014242-T01-IM6	2.23E-01	2.23E-01
P-0014311-T01-IM6	5.14E-02	5.14E-02
P-0014379-T01-IM6	1.13E-01	1.13E-01
P-0014392-T01-IM6	2.43E-01	2.43E-01
P-0014449-T01-IM6	7.87E-02	7.87E-02
P-0014556-T01-IM6	2.89E-01	2.89E-01
P-0014682-T01-IM6	3.38E-02	3.38E-02
P-0014910-T01-IM6	5.13E-01	5.14E-01
P-0014946-T01-IM6	9.49E-01	9.50E-01
P-0014966-T01-IM6	1.85E-01	1.85E-01
P-0014969-T01-IM6	3.65E-01	3.63E-01
P-0015010-T01-IM6	1.00E-02	1.00E-02
P-0015106-T01-IM6	4.03E-01	4.01E-01
P-0015122-T01-IM6	2.40E-01	2.40E-01
P-0015142-T01-IM6	1.60E-01	1.60E-01
P-0015257-T01-IM6	5.07E-01	5.07E-01
P-0015261-T01-IM6	5.23E-01	5.23E-01
P-0015281-T01-IM6	4.23E-01	4.23E-01
P-0015373-T01-IM6	3.53E-01	3.53E-01
P-0015386-T01-IM6	6.13E-01	6.13E-01
P-0015407-T01-IM6	4.09E-01	4.13E-01
P-0015415-T01-IM6	9.85E-01	9.85E-01
P-0015438-T01-IM6	6.04E-01	6.04E-01
P-0015462-T01-IM6	1.39E-01	1.39E-01
P-0015471-T01-IM6	7.85E-02	7.85E-02
P-0015498-T01-IM6	2.34E-01	2.34E-01
P-0015511-T01-IM6	2.93E-01	2.93E-01
P-0015512-T01-IM6	9.11E-01	9.12E-01
P-0015521-T01-IM6	2.78E-01	2.79E-01
P-0015526-T01-IM6	4.23E-01	4.26E-01
P-0015530-T01-IM6	2.13E-01	2.13E-01
P-0015544-T01-IM6	2.91E-01	2.94E-01
P-0015612-T01-IM6	3.40E-01	3.41E-01
P-0015679-T01-IM6	1.11E-01	1.11E-01
P-0015694-T01-IM6	2.09E-01	2.09E-01
P-0015697-T01-IM6	2.94E-01	2.94E-01
P-0015718-T01-IM6	3.95E-01	3.94E-01
P-0015791-T01-IM6	1.89E-01	1.89E-01
P-0015827-T01-IM6	4.31E-01	4.31E-01
P-0015830-T01-IM6	6.02E-01	6.02E-01
P-0015832-T01-IM6	4.15E-01	4.15E-01
P-0015855-T02-IM6	2.48E-01	2.48E-01
P-0015881-T03-IM6	3.78E-01	3.78E-01
P-0015882-T01-IM6	3.78E-01	3.78E-01
P-0015895-T02-IM6	1.88E-01	1.88E-01
P-0015917-T01-IM6	5.76E-01	5.76E-01
P-0015959-T01-IM6	4.23E-01	4.22E-01
P-0016018-T01-IM6	2.90E-01	2.89E-01
P-0016027-T01-IM6	2.32E-01	2.32E-01
P-0016177-T01-IM6	1.09E-01	1.09E-01
P-0016197-T01-IM6	2.87E-01	2.87E-01
P-0016282-T01-IM6	3.15E-01	3.15E-01
P-0016327-T01-IM6	1.09E-01	1.09E-01
P-0016328-T01-IM6	1.88E-01	1.88E-01
P-0016347-T01-IM6	2.95E-01	2.95E-01
P-0016506-T01-IM6	1.18E-01	1.18E-01
P-0016530-T01-IM6	1.18E-01	1.21E-01
P-0016533-T01-IM6	2.07E-01	2.09E-01
P-0016596-T01-IM6	5.55E-01	5.55E-01
P-0016799-T01-IM6	1.59E-01	1.59E-01
P-0016800-T01-IM6	1.58E-01	1.59E-01
P-0016853-T02-IM6	2.35E-01	2.34E-01
P-0016928-T01-IM6	6.53E-01	6.53E-01
P-0016935-T01-IM6	9.99E-01	9.99E-01
P-0017003-T01-IM6	3.26E-01	3.26E-01
P-0017047-T01-IM6	5.87E-01	5.87E-01
P-0017054-T01-IM6	2.97E-02	2.97E-02
P-0017176-T01-IM6	2.26E-01	2.26E-01
P-0017215-T01-IM5	2.38E-01	2.38E-01
P-0017272-T01-IM6	1.41E-01	1.43E-01
P-0017353-T01-IM6	1.64E-01	1.65E-01
P-0017361-T01-IM6	3.07E-01	3.07E-01
P-0017384-T01-IM6	7.21E-02	7.21E-02
P-0017461-T01-IM6	2.47E-01	2.47E-01
P-0017506-T01-IM6	6.00E-01	6.00E-01
P-0017512-T01-IM6	5.69E-01	5.70E-01
P-0017539-T01-IM5	1.53E-01	1.53E-01
P-0017635-T01-IM5	2.37E-01	2.37E-01
P-0017636-T01-IM5	7.95E-02	7.95E-02
P-0017683-T01-IM6	4.23E-01	4.23E-01
P-0017690-T04-IM6	1.96E-01	1.97E-01
P-0017702-T01-IM6	4.75E-01	4.75E-01
P-0017744-T01-IM6	1.80E-01	1.80E-01
P-0017797-T01-IM6	4.60E-01	4.60E-01
P-0017815-T01-IM6	1.50E-01	1.50E-01
P-0017830-T01-IM6	7.23E-01	7.23E-01
P-0017943-T01-IM6	2.07E-01	2.07E-01
P-0017966-T01-IM6	3.26E-01	3.26E-01
P-0018031-T01-IM6	2.69E-01	2.69E-01
P-0018042-T01-IM6	4.18E-01	4.18E-01
P-0018059-T01-IM6	3.31E-01	3.31E-01
P-0018102-T01-IM6	1.15E-01	1.15E-01
P-0018132-T01-IM6	1.67E-01	1.67E-01
P-0018233-T01-IM6	2.55E-01	2.55E-01
P-0018304-T01-IM6	1.93E-01	1.93E-01
P-0018422-T01-IM6	2.73E-02	2.73E-02
P-0018444-T01-IM6	2.77E-01	2.77E-01
P-0018466-T01-IM6	1.09E-01	1.09E-01
P-0018561-T01-IM6	8.49E-01	8.49E-01
P-0018600-T01-IM6	6.17E-01	6.17E-01
P-0018656-T01-IM6	6.05E-01	6.05E-01
P-0018679-T01-IM6	3.72E-01	3.72E-01
P-0018759-T01-IM6	2.21E-01	2.21E-01
P-0018783-T01-IM6	4.87E-01	4.88E-01
P-0018819-T01-IM6	1.87E-01	1.86E-01
P-0018843-T01-IM6	2.26E-01	2.28E-01
P-0018854-T01-IM6	1.33E-01	1.33E-01
P-0019066-T01-IM6	8.04E-02	8.04E-02
P-0019137-T01-IM6	6.47E-02	6.42E-02
P-0019239-T01-IM6	1.91E-01	1.93E-01
P-0019263-T01-IM6	1.16E+00	1.16E+00
P-0019302-T01-IM6	3.05E-01	3.06E-01
P-0019333-T01-IM6	3.80E-01	3.80E-01
P-0019379-T01-IM6	1.97E-01	1.97E-01
P-0019443-T01-IM6	2.24E-01	2.24E-01
P-0019490-T01-IM6	4.48E-01	4.48E-01
P-0019557-T01-IM6	2.80E-01	2.84E-01
P-0019569-T01-IM6	2.93E-01	2.93E-01
P-0019697-T01-IM6	2.73E-01	2.75E-01
P-0019720-T01-IM6	2.76E-01	2.76E-01
P-0019861-T01-IM6	2.11E-01	2.11E-01
P-0019889-T02-IM6	2.19E-01	2.19E-01
P-0019909-T02-IM6	2.25E-01	2.25E-01
P-0019939-T01-IM6	8.33E-01	8.32E-01
P-0020082-T01-IM6	4.47E-01	4.47E-01
P-0020127-T01-IM6	3.31E-01	3.31E-01
P-0020191-T01-IM6	1.09E-01	1.09E-01
P-0020307-T01-IM6	7.29E-01	7.29E-01
P-0020319-T01-IM6	1.75E-01	1.75E-01
P-0020382-T01-IM6	2.06E-01	2.06E-01
P-0020388-T01-IM6	2.63E-01	2.63E-01
P-0020638-T01-IM6	3.40E-01	3.40E-01
P-0020641-T02-IM6	1.74E-01	1.74E-01
P-0020691-T01-IM6	7.37E-02	7.37E-02
P-0020768-T01-IM6	8.93E-02	8.93E-02
P-0020817-T01-IM6	8.18E-01	8.18E-01
P-0020913-T01-IM6	3.03E-01	3.05E-01
P-0020957-T01-IM6	5.83E-01	5.83E-01
P-0021046-T01-IM6	6.95E-01	6.96E-01
P-0021075-T01-IM6	5.34E-01	5.33E-01
P-0021121-T01-IM6	3.94E-01	3.93E-01
P-0021169-T01-IM6	3.81E-01	3.81E-01
P-0021174-T01-IM6	2.07E-01	2.07E-01
P-0021223-T01-IM6	2.50E-01	2.50E-01
P-0021331-T01-IM6	2.83E-01	2.83E-01
P-0021440-T01-IM6	1.78E-01	1.79E-01
P-0021441-T01-IM6	6.90E-02	6.90E-02
P-0021458-T01-IM6	2.57E-01	2.57E-01
P-0021469-T01-IM6	1.08E-01	1.08E-01
P-0021504-T01-IM6	1.52E-01	1.52E-01
P-0021526-T02-IM6	3.60E-01	3.60E-01
P-0021584-T01-IM6	2.84E-01	2.83E-01
P-0021708-T02-IM6	8.84E-01	8.83E-01
P-0021737-T01-IM6	1.70E-01	1.69E-01
P-0021743-T01-IM6	6.35E-01	6.35E-01
P-0021783-T01-IM6	4.90E-01	4.90E-01
P-0021842-T01-IM6	2.98E-01	2.99E-01
P-0021846-T01-IM6	5.53E-01	5.53E-01
P-0021847-T03-IM6	2.92E-01	2.92E-01
P-0021934-T01-IM6	6.57E-02	6.57E-02
P-0021948-T01-IM6	4.69E-01	4.69E-01
P-0021968-T01-IM6	4.70E-01	4.70E-01
P-0021995-T01-IM6	3.51E-01	3.52E-01
P-0022012-T01-IM6	1.53E-01	1.53E-01
P-0022019-T01-IM6	1.44E+00	1.44E+00
P-0022042-T01-IM6	2.39E-01	2.38E-01
P-0022096-T01-IM6	1.43E+00	1.43E+00
P-0022123-T01-IM6	2.57E-01	2.57E-01
P-0022140-T01-IM6	2.62E-01	2.63E-01
P-0022146-T01-IM6	2.34E-01	2.34E-01
P-0022168-T02-IM6	1.77E-01	1.77E-01
P-0022177-T01-IM6	2.11E-01	2.11E-01
P-0022232-T01-IM6	2.74E-01	2.74E-01
P-0022308-T01-IM6	1.27E-01	1.27E-01
P-0022366-T01-IM6	1.44E-01	1.44E-01
P-0022384-T01-IM6	3.66E-01	3.66E-01
P-0022471-T01-IM6	3.66E-01	3.66E-01
P-0022542-T02-IM6	3.75E-01	3.76E-01
P-0022570-T01-IM6	7.59E-02	7.59E-02
P-0022670-T01-IM6	1.26E-01	1.26E-01
P-0022680-T01-IM6	3.61E-01	3.61E-01
P-0022702-T01-IM6	1.66E-01	1.66E-01
P-0022743-T01-IM6	8.00E-02	8.00E-02
P-0022759-T01-IM6	1.12E-01	1.12E-01
P-0022795-T01-IM6	3.48E-01	3.48E-01
P-0022807-T04-IM6	2.61E-01	2.60E-01
P-0022827-T01-IM6	4.88E-01	4.88E-01
P-0022864-T01-IM6	1.27E-01	1.27E-01
P-0022885-T01-IM6	2.15E-01	2.17E-01
P-0022886-T01-IM6	3.81E-01	3.81E-01
P-0022986-T01-IM6	2.41E-01	2.41E-01
P-0023032-T01-IM6	3.32E-01	3.32E-01
P-0023041-T01-IM6	6.95E-01	6.95E-01
P-0023055-T01-IM6	1.03E-01	1.03E-01
P-0023139-T01-IM6	2.48E-01	2.49E-01
P-0023163-T01-IM6	8.97E-01	8.97E-01
P-0023356-T01-IM6	6.19E-01	6.19E-01
P-0023378-T01-IM6	3.58E-01	3.58E-01
P-0023510-T01-IM6	4.95E-01	4.95E-01
P-0023645-T01-IM6	2.32E-01	2.34E-01
P-0023733-T01-IM6	2.00E-01	2.00E-01
P-0023734-T01-IM6	2.35E-01	2.35E-01
P-0023765-T01-IM6	1.51E+00	1.51E+00
P-0023775-T01-IM6	1.72E-01	1.72E-01
P-0023777-T01-IM6	6.51E-01	6.52E-01
P-0023794-T01-IM6	2.68E-01	2.68E-01
P-0023821-T01-IM6	1.88E-01	1.88E-01
P-0023848-T01-IM6	5.39E-01	5.39E-01
P-0023973-T01-IM6	3.91E-01	3.92E-01
P-0023993-T01-IM6	1.30E-01	1.30E-01
P-0024070-T01-IM6	6.25E-01	6.25E-01
P-0024072-T01-IM6	5.13E-01	5.13E-01
P-0024110-T01-IM6	1.83E-01	1.83E-01
P-0024121-T01-IM6	4.11E-01	4.11E-01
P-0024166-T02-IM6	1.62E-01	1.62E-01
P-0024188-T01-IM6	2.57E-01	2.57E-01
P-0024221-T01-IM6	1.91E-01	1.92E-01
P-0024262-T01-IM6	1.15E+00	1.15E+00
P-0024301-T01-IM6	2.15E-01	2.15E-01
P-0024305-T01-IM6	3.03E-01	3.03E-01
P-0024339-T01-IM6	2.74E-01	2.73E-01
P-0024344-T01-IM6	2.59E-01	2.59E-01
P-0024395-T01-IM6	1.12E+00	1.12E+00
P-0024536-T01-IM6	3.62E-01	3.61E-01
