Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0038936-T01-IM6	134	0.928	75.371	56.247%	16.42	37.146%	0.37444	0.921
P-0038967-T01-IM6	8	0.546	11.037	137.962%	2.745	86.805%	2.17421	0.505
P-0039052-T01-IM6	28	0.851	22.234	79.407%	5.806	53.001%	0.62201	0.839
P-0039091-T01-IM6	120	0.969	52.815	44.012%	11.217	26.647%	0.27143	0.967
P-0039162-T01-IM6	4	0.662	4.764	119.1%	1.503	75.15%	1.30652	0.644
P-0039170-T01-IM6	20	0.706	17.816	89.08%	4.98	73.426%	0.70569	0.674
P-0039179-T01-IM6	156	0.991	59.03	37.84%	11.182	19.792%	0.21953	0.992
P-0039287-T01-IM6	24	0.873	18.051	75.212%	3.874	49.2%	0.82404	0.858
P-0039360-T01-IM6	13	0.541	14.558	111.985%	4.261	88.848%	1.38091	0.496
P-0039410-T01-IM6	13	0.573	14.946	114.969%	4.118	85.866%	1.21016	0.53
P-0039415-T01-IM6	30	0.902	22.654	75.513%	5.908	46.707%	0.67758	0.898
P-0039426-T01-IM6	33	0.889	26.613	80.645%	7.176	49.637%	0.59298	0.885
P-0039447-T01-IM6	19	0.778	17.25	90.789%	4.103	64.078%	0.9011	0.754
P-0039629-T01-IM6	6	0.489	8.209	136.817%	2.228	90.958%	2.01957	0.445
P-0039687-T02-IM6	15	0.754	14.723	98.153%	3.782	65.836%	1.02995	0.732
P-0039787-T01-IM6	7	0.178	12.723	181.757%	3.36	112.0%	3.30306	0.107
P-0040045-T01-IM6	9	0.721	8.182	90.911%	2.16	72.0%	1.12114	0.69
P-0040076-T01-IM6	11	0.771	12.601	114.555%	3.669	65.897%	0.96131	0.762
P-0040090-T01-IM6	17	0.877	12.016	70.682%	2.767	48.167%	0.86325	0.863
P-0040246-T01-IM6	47	0.821	35.181	74.853%	8.509	60.319%	0.57034	0.799
P-0040265-T01-IM6	19	0.811	16.711	87.953%	4.432	58.703%	1.00724	0.796
P-0040623-T01-IM6	116	0.979	48.982	42.226%	8.369	21.509%	0.27031	0.977
P-0040648-T01-IM6	24	0.859	18.32	76.333%	3.975	52.194%	1.0059	0.842
P-0040673-T01-IM6	36	0.923	23.907	66.408%	5.268	39.709%	0.61671	0.916
P-0040688-T01-IM6	5	0.609	6.01	120.2%	1.781	79.649%	1.66189	0.581
P-0040785-T01-IM6	9	0.785	8.119	90.211%	2.416	62.381%	1.00156	0.771
P-0040819-T01-IM6	58	0.948	31.61	54.5%	6.974	33.323%	0.36931	0.944
P-0040837-T01-IM6	12	0.684	12.104	100.867%	2.943	78.655%	1.28282	0.646
P-0040959-T01-IM6	148	0.978	59.432	40.157%	12.56	23.873%	0.22639	0.977
P-0041024-T01-IM6	2	0.123	3.788	189.4%	1.47	103.945%	3.8477	0.08
P-0041068-T01-IM6	31	0.924	19.825	63.952%	4.847	40.533%	0.48241	0.919
P-0041122-T01-IM6	4	0.015	7.927	198.175%	2.328	116.4%	5.01307	-0.058
P-0041173-T01-IM6	114	0.9	71.734	62.925%	16.443	43.697%	0.42374	0.889
P-0041199-T01-IM6	6	0.412	8.69	144.833%	2.663	94.151%	2.11649	0.369
P-0041200-T01-IM6	15	0.585	16.39	109.267%	4.929	83.315%	1.13389	0.547
P-0041256-T02-IM6	11	0.373	16.767	152.427%	4.4	100.943%	2.80869	0.315
P-0041327-T01-IM6	5	0.386	8.087	161.74%	2.493	94.227%	2.42199	0.348
P-0041437-T01-IM6	284	0.932	130.041	45.789%	36.249	36.745%	0.23759	0.925
P-0041460-T01-IM6	3	0.012	5.963	198.767%	1.95	112.583%	5.29134	-0.051
P-0041526-T01-IM6	12	0.558	14.4	120.0%	3.357	96.908%	1.81266	0.499
P-0041588-T01-IM6	67	0.842	46.63	69.597%	11.178	58.995%	0.48272	0.821
P-0041720-T01-IM6	56	0.948	32.277	57.637%	5.473	34.614%	0.5753	0.941
