Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0007918-T01-IM5	9.04E-01	9.25E-01	8.54E-01	4.06E-01
P-0007970-T01-IM5	3.17E-01	2.91E-01	3.10E-01	1.86E-01
P-0007980-T01-IM5	3.56E-01	3.11E-01	3.07E-01	9.31E-02
P-0007986-T01-IM5	1.89E-01	1.29E-01	1.67E-01	1.75E-01
P-0008009-T01-IM5	2.74E-01	3.05E-01	3.12E-01	7.74E-02
P-0008028-T01-IM5	7.44E-02	1.14E-01	1.42E-01	1.17E-01
P-0008050-T01-IM5	1.41E-02	2.88E-02	1.41E-02	3.38E-02
P-0008080-T01-IM5	8.31E-01	1.03E+00	9.25E-01	3.39E-01
P-0008228-T01-IM5	9.85E-01	1.09E+00	8.71E-01	2.09E-01
P-0008246-T02-IM5	1.68E+00	1.79E+00	1.37E+00	1.97E-01
P-0008360-T01-IM5	2.25E-01	2.05E-01	1.87E-01	1.77E-01
P-0008403-T01-IM5	5.11E-01	4.85E-01	4.36E-01	1.08E-01
P-0008434-T01-IM5	9.87E-01	1.22E+00	1.09E+00	2.78E-01
P-0008445-T01-IM5	1.89E-01	2.10E-01	1.57E-01	2.19E-01
P-0008450-T01-IM5	3.78E-02	2.56E-02	2.73E-02	1.41E-02
P-0008490-T01-IM5	2.18E-01	2.15E-01	2.20E-01	9.80E-02
P-0008492-T02-IM5	7.45E-02	1.06E-01	1.09E-01	8.62E-02
P-0008557-T02-IM5	8.82E-01	9.12E-01	7.50E-01	2.87E-01
P-0008659-T01-IM5	1.84E-01	2.29E-01	1.95E-01	2.45E-01
P-0008728-T01-IM5	6.09E-01	6.48E-01	6.35E-01	3.33E-01
P-0008733-T01-IM5	1.24E-01	1.90E-01	1.88E-01	1.73E-01
P-0008857-T01-IM5	9.28E-01	8.95E-01	8.08E-01	2.68E-01
P-0008859-T01-IM5	4.09E-02	3.86E-02	4.02E-02	4.94E-02
P-0008912-T01-IM5	2.79E-01	2.78E-01	2.89E-01	2.02E-01
P-0008942-T01-IM5	7.95E-01	9.45E-01	8.03E-01	1.05E-01
P-0008946-T01-IM5	4.13E-01	3.89E-01	2.86E-01	1.50E-01
P-0008963-T01-IM5	1.88E-01	2.02E-01	2.37E-01	1.56E-01
P-0008974-T01-IM5	5.68E-01	6.53E-01	5.52E-01	3.63E-01
P-0008997-T01-IM5	1.07E+00	1.18E+00	7.70E-01	4.65E-01
P-0008999-T01-IM5	3.34E-01	2.84E-01	2.68E-01	1.70E-01
P-0009072-T01-IM5	1.95E-01	1.61E-01	1.03E-01	9.96E-02
P-0009105-T01-IM5	6.87E-01	7.29E-01	6.32E-01	2.51E-01
P-0009108-T01-IM5	8.66E-01	7.63E-01	7.29E-01	3.29E-01
P-0009148-T01-IM5	3.55E-01	3.60E-01	2.39E-01	1.91E-01
P-0009177-T01-IM5	2.09E-01	2.47E-01	2.15E-01	8.69E-02
P-0009180-T01-IM5	7.52E-02	4.35E-02	3.73E-02	6.76E-02
P-0009189-T01-IM5	1.34E+00	1.70E+00	1.67E+00	4.11E-01
P-0009245-T01-IM5	4.73E-01	5.56E-01	4.39E-01	2.50E-01
P-0009292-T01-IM5	1.99E-01	1.89E-01	2.02E-01	1.83E-01
P-0009308-T01-IM5	2.19E-02	3.94E-02	3.86E-02	4.96E-02
P-0009311-T01-IM5	4.81E-01	6.35E-01	6.61E-01	2.74E-01
P-0009324-T02-IM5	4.24E-01	5.30E-01	5.22E-01	2.42E-01
P-0009349-T01-IM5	7.53E-01	7.53E-01	8.25E-01	2.79E-01
P-0009412-T01-IM5	1.41E-02	2.88E-02	1.41E-02	3.38E-02
P-0009527-T01-IM5	3.36E-01	3.70E-01	3.08E-01	1.70E-01
P-0009538-T01-IM5	2.01E-01	2.02E-01	1.58E-01	1.95E-01
P-0009589-T01-IM5	4.29E-02	3.59E-02	3.86E-02	4.98E-02
P-0009697-T01-IM5	7.96E-02	7.85E-02	7.31E-02	9.89E-02
P-0009736-T01-IM5	3.64E-01	4.00E-01	3.84E-01	1.60E-01
P-0009744-T01-IM5	2.99E-01	3.70E-01	3.60E-01	1.87E-01
P-0009747-T01-IM5	7.56E-01	7.54E-01	4.39E-01	1.01E-01
P-0009752-T01-IM5	5.36E+00	5.78E+00	4.40E+00	4.63E-01
P-0009855-T01-IM5	1.09E-01	9.03E-02	1.07E-01	7.43E-02
P-0009950-T01-IM5	1.35E+00	1.28E+00	1.15E+00	3.41E-01
P-0010008-T01-IM5	9.08E-02	1.52E-01	2.19E-01	1.82E-01
P-0010115-T01-IM5	1.14E+00	1.00E+00	1.07E+00	2.25E-01
