Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0013343-T01-IM5	3	0	13	3
P-0013356-T01-IM5	11	6	14	0
P-0013383-T01-IM5	26	21	0	0
P-0013389-T01-IM5	0	8	0	0
P-0013413-T01-IM5	4	22	0	0
P-0013448-T01-IM5	6	5	0	0
P-0013451-T01-IM5	0	0	2	2
P-0013481-T01-IM5	4	1	4	3
P-0013525-T01-IM5	5	1	1	3
P-0013596-T01-IM5	0	7	0	6
P-0013598-T01-IM5	0	14	5	1
P-0013659-T01-IM5	3	2	5	0
P-0013679-T01-IM5	14	2	3	2
P-0013765-T01-IM5	2	0	3	3
P-0013910-T01-IM5	12	0	9	4
P-0014047-T03-IM6	0	20	2	0
P-0014137-T01-IM5	9	2	14	0
P-0014148-T01-IM5	13	23	6	6
P-0014159-T01-IM5	2	13	0	5
P-0014206-T01-IM6	4	8	17	0
P-0014208-T01-IM6	20	5	0	0
P-0014227-T01-IM6	0	24	26	0
P-0014229-T01-IM6	12	3	21	0
P-0014242-T01-IM6	24	0	5	1
P-0014311-T01-IM6	0	0	0	3
P-0014379-T01-IM6	0	0	1	2
P-0014392-T01-IM6	21	7	4	0
P-0014449-T01-IM6	2	0	0	0
P-0014556-T01-IM6	5	7	7	0
P-0014682-T01-IM6	0	0	0	1
P-0014910-T01-IM6	16	8	16	1
P-0014946-T01-IM6	49	13	38	10
P-0014966-T01-IM6	2	0	1	4
P-0014969-T01-IM6	6	0	6	3
P-0015010-T01-IM6	1	0	0	0
P-0015106-T01-IM6	5	7	9	5
P-0015122-T01-IM6	3	0	8	0
P-0015142-T01-IM6	3	5	0	0
P-0015257-T01-IM6	34	13	25	0
P-0015261-T01-IM6	20	22	20	3
P-0015281-T01-IM6	4	14	9	2
P-0015373-T01-IM6	11	18	0	5
P-0015386-T01-IM6	30	12	13	1
P-0015407-T01-IM6	18	3	18	0
P-0015415-T01-IM6	21	37	37	0
P-0015438-T01-IM6	34	18	27	0
P-0015462-T01-IM6	2	0	0	3
P-0015471-T01-IM6	2	0	0	0
P-0015498-T01-IM6	7	1	6	2
P-0015511-T01-IM6	8	6	0	2
P-0015512-T01-IM6	59	13	44	0
P-0015521-T01-IM6	5	13	0	2
P-0015526-T01-IM6	17	24	3	0
P-0015530-T01-IM6	3	0	1	3
P-0015544-T01-IM6	1	7	4	4
P-0015612-T01-IM6	4	19	2	0
P-0015679-T01-IM6	0	0	0	5
P-0015694-T01-IM6	0	12	7	0
P-0015697-T01-IM6	0	11	9	0
P-0015718-T01-IM6	11	0	12	5
P-0015791-T01-IM6	2	3	0	4
P-0015827-T01-IM6	12	15	14	0
P-0015830-T01-IM6	35	15	12	0
P-0015832-T01-IM6	13	28	2	3
P-0015855-T02-IM6	9	4	1	1
P-0015881-T03-IM6	9	0	17	0
P-0015882-T01-IM6	11	6	18	0
P-0015895-T02-IM6	8	0	5	3
P-0015917-T01-IM6	15	33	2	0
P-0015959-T01-IM6	11	1	14	0
P-0016018-T01-IM6	8	0	7	3
P-0016027-T01-IM6	4	3	17	0
P-0016177-T01-IM6	1	0	0	5
P-0016197-T01-IM6	7	11	15	0
P-0016282-T01-IM6	9	9	14	0
P-0016327-T01-IM6	15	3	3	0
P-0016328-T01-IM6	12	1	2	0
P-0016347-T01-IM6	18	0	14	0
P-0016506-T01-IM6	2	2	0	0
P-0016530-T01-IM6	2	7	0	0
P-0016533-T01-IM6	0	6	0	2
P-0016596-T01-IM6	15	16	0	4
P-0016799-T01-IM6	1	2	0	3
P-0016800-T01-IM6	3	0	1	1
P-0016853-T02-IM6	9	2	4	1
P-0016928-T01-IM6	28	18	18	4
P-0016935-T01-IM6	18	38	30	6
P-0017003-T01-IM6	1	3	9	4
P-0017047-T01-IM6	19	32	0	3
P-0017054-T01-IM6	0	0	0	2
P-0017176-T01-IM6	10	4	4	0
P-0017215-T01-IM5	1	4	17	0
P-0017272-T01-IM6	5	6	0	1
P-0017353-T01-IM6	0	1	2	3
P-0017361-T01-IM6	11	0	12	0
P-0017384-T01-IM6	0	0	0	4
P-0017461-T01-IM6	0	3	0	5
P-0017506-T01-IM6	44	30	12	0
P-0017512-T01-IM6	0	13	6	8
P-0017539-T01-IM5	0	5	0	2
P-0017635-T01-IM5	7	0	0	2
P-0017636-T01-IM5	1	0	0	1
P-0017683-T01-IM6	33	0	17	0
P-0017690-T04-IM6	3	0	7	0
P-0017702-T01-IM6	15	12	12	0
P-0017744-T01-IM6	11	0	3	0
P-0017797-T01-IM6	17	20	8	0
P-0017815-T01-IM6	0	2	0	2
P-0017830-T01-IM6	38	41	0	0
P-0017943-T01-IM6	5	5	0	1
P-0017966-T01-IM6	14	0	2	4
P-0018031-T01-IM6	1	13	0	0
P-0018042-T01-IM6	7	19	11	0
P-0018059-T01-IM6	18	8	12	0
P-0018102-T01-IM6	1	0	0	2
P-0018132-T01-IM6	1	11	0	0
P-0018233-T01-IM6	6	1	6	0
P-0018304-T01-IM6	5	0	0	3
P-0018422-T01-IM6	0	0	0	1
P-0018444-T01-IM6	2	13	5	0
P-0018466-T01-IM6	7	0	2	0
P-0018561-T01-IM6	21	34	36	0
P-0018600-T01-IM6	31	37	16	0
P-0018656-T01-IM6	25	29	9	0
P-0018679-T01-IM6	8	7	17	0
P-0018759-T01-IM6	4	5	1	3
P-0018783-T01-IM6	15	22	6	0
P-0018819-T01-IM6	7	0	0	1
P-0018843-T01-IM6	18	5	3	0
P-0018854-T01-IM6	3	0	7	2
P-0019066-T01-IM6	0	0	0	2
P-0019137-T01-IM6	0	0	2	1
P-0019239-T01-IM6	4	0	1	4
P-0019263-T01-IM6	97	64	44	0
P-0019302-T01-IM6	1	8	0	2
P-0019333-T01-IM6	21	1	20	1
P-0019379-T01-IM6	8	3	9	0
P-0019443-T01-IM6	7	5	0	3
P-0019490-T01-IM6	26	0	18	0
P-0019557-T01-IM6	11	0	8	0
P-0019569-T01-IM6	7	13	3	3
P-0019697-T01-IM6	5	0	5	5
P-0019720-T01-IM6	16	0	26	0
P-0019861-T01-IM6	6	0	0	3
P-0019889-T02-IM6	18	0	2	0
P-0019909-T02-IM6	0	7	6	0
P-0019939-T01-IM6	23	32	23	3
P-0020082-T01-IM6	28	1	34	0
P-0020127-T01-IM6	8	9	2	1
P-0020191-T01-IM6	0	0	3	0
P-0020307-T01-IM6	24	30	15	8
P-0020319-T01-IM6	2	19	3	0
P-0020382-T01-IM6	16	7	6	0
P-0020388-T01-IM6	4	18	0	1
P-0020638-T01-IM6	10	11	6	5
P-0020641-T02-IM6	7	7	2	0
P-0020691-T01-IM6	0	0	1	2
P-0020768-T01-IM6	0	1	0	2
P-0020817-T01-IM6	45	49	21	0
P-0020913-T01-IM6	16	0	1	5
P-0020957-T01-IM6	12	32	7	0
P-0021046-T01-IM6	24	21	16	5
P-0021075-T01-IM6	17	11	7	5
P-0021121-T01-IM6	0	9	14	0
P-0021169-T01-IM6	15	20	9	3
P-0021174-T01-IM6	10	8	0	0
P-0021223-T01-IM6	27	12	8	0
P-0021331-T01-IM6	8	0	5	5
P-0021440-T01-IM6	0	0	6	2
P-0021441-T01-IM6	0	0	0	3
P-0021458-T01-IM6	17	0	4	0
P-0021469-T01-IM6	0	3	0	0
P-0021504-T01-IM6	0	0	6	2
P-0021526-T02-IM6	6	22	2	0
P-0021584-T01-IM6	7	0	11	4
P-0021708-T02-IM6	46	45	1	0
P-0021737-T01-IM6	0	0	3	3
P-0021743-T01-IM6	20	0	37	4
P-0021783-T01-IM6	14	9	6	6
P-0021842-T01-IM6	4	10	0	0
P-0021846-T01-IM6	4	16	17	0
P-0021847-T03-IM6	13	0	25	0
P-0021934-T01-IM6	5	4	0	0
P-0021948-T01-IM6	20	15	3	0
P-0021968-T01-IM6	10	11	22	0
P-0021995-T01-IM6	8	20	5	3
P-0022012-T01-IM6	1	0	2	2
P-0022019-T01-IM6	59	87	13	0
P-0022042-T01-IM6	3	10	4	0
P-0022096-T01-IM6	71	35	62	0
P-0022123-T01-IM6	13	8	2	0
P-0022140-T01-IM6	6	8	0	0
P-0022146-T01-IM6	2	6	2	3
P-0022168-T02-IM6	3	0	0	4
P-0022177-T01-IM6	1	6	0	2
P-0022232-T01-IM6	2	10	0	3
P-0022308-T01-IM6	5	0	1	3
P-0022366-T01-IM6	0	7	0	1
P-0022384-T01-IM6	2	15	0	2
P-0022471-T01-IM6	7	0	21	0
P-0022542-T02-IM6	2	14	9	1
P-0022570-T01-IM6	1	3	5	0
P-0022670-T01-IM6	0	0	1	3
P-0022680-T01-IM6	23	18	0	0
P-0022702-T01-IM6	16	5	0	2
P-0022743-T01-IM6	1	4	3	0
P-0022759-T01-IM6	13	0	6	0
P-0022795-T01-IM6	4	17	2	3
P-0022807-T04-IM6	9	7	3	3
P-0022827-T01-IM6	28	10	7	1
P-0022864-T01-IM6	2	0	0	2
P-0022885-T01-IM6	0	13	0	1
P-0022886-T01-IM6	8	15	0	0
P-0022986-T01-IM6	0	11	2	1
P-0023032-T01-IM6	6	15	0	0
P-0023041-T01-IM6	31	2	38	0
P-0023055-T01-IM6	0	2	0	1
P-0023139-T01-IM6	1	0	5	5
P-0023163-T01-IM6	36	16	42	0
P-0023356-T01-IM6	35	20	0	5
P-0023378-T01-IM6	6	7	5	5
P-0023510-T01-IM6	27	9	19	1
P-0023645-T01-IM6	0	10	1	2
P-0023733-T01-IM6	0	0	3	2
P-0023734-T01-IM6	1	1	4	3
P-0023765-T01-IM6	45	88	20	0
P-0023775-T01-IM6	0	0	4	3
P-0023777-T01-IM6	9	22	24	0
P-0023794-T01-IM6	6	0	11	0
P-0023821-T01-IM6	0	6	6	0
P-0023848-T01-IM6	16	5	23	0
P-0023973-T01-IM6	15	7	5	1
P-0023993-T01-IM6	0	2	0	1
P-0024070-T01-IM6	20	0	37	4
P-0024072-T01-IM6	29	0	26	0
P-0024110-T01-IM6	2	0	0	5
P-0024121-T01-IM6	15	36	4	0
P-0024166-T02-IM6	17	6	2	0
P-0024188-T01-IM6	13	0	13	0
P-0024221-T01-IM6	2	0	3	3
P-0024262-T01-IM6	74	84	15	0
P-0024301-T01-IM6	0	4	3	0
P-0024305-T01-IM6	9	4	1	7
P-0024339-T01-IM6	18	6	13	0
P-0024344-T01-IM6	0	6	9	2
P-0024395-T01-IM6	66	23	44	1
P-0024536-T01-IM6	0	16	8	0
P-0024595-T01-IM6	0	0	0	2
P-0024639-T01-IM6	81	60	31	0
P-0024769-T01-IM6	9	0	4	2
P-0024771-T01-IM6	0	4	1	2
P-0024830-T01-IM6	1	1	0	4
P-0024927-T01-IM6	5	0	0	0
P-0024994-T01-IM6	1	0	2	2
P-0024995-T01-IM6	11	0	2	3
P-0025093-T01-IM6	3	8	0	5
P-0025164-T01-IM6	12	35	0	0
P-0025347-T01-IM6	12	16	0	0
P-0025530-T01-IM6	6	2	1	8
P-0025541-T01-IM6	0	9	0	3
P-0025561-T01-IM6	0	1	1	2
P-0025565-T01-IM6	1	6	7	1
P-0025608-T01-IM6	2	0	2	4
P-0025733-T01-IM6	4	0	7	0
P-0025737-T01-IM6	0	0	0	1
P-0025813-T01-IM6	11	1	9	0
P-0025831-T01-IM6	0	11	4	0
P-0025853-T01-IM6	0	1	0	4
P-0025878-T01-IM6	3	2	0	0
P-0025945-T01-IM6	82	53	37	0
P-0025973-T01-IM6	85	56	34	0
P-0026008-T01-IM6	45	11	33	0
P-0026015-T01-IM6	1	0	3	1
P-0026030-T01-IM6	2	11	15	0
P-0026104-T01-IM6	0	0	0	4
P-0026158-T04-IM6	0	0	0	4
P-0026274-T02-IM6	8	8	7	1
P-0026314-T01-IM6	0	7	0	0
P-0026326-T02-IM6	5	3	11	2
P-0026354-T01-IM6	6	12	6	0
P-0026361-T01-IM6	0	0	0	2
P-0026488-T01-IM6	11	18	1	0
