Samples	SBS96A	SBS96B
P-0038944-T01-IM6	3.17E-01	3.15E-01
P-0039004-T01-IM6	1.64E-01	1.64E-01
P-0039054-T01-IM6	1.50E+00	1.50E+00
P-0039184-T01-IM6	1.95E-01	1.95E-01
P-0039231-T01-IM6	0.00E+00	0.00E+00
P-0039294-T01-IM6	2.62E-01	2.62E-01
P-0039466-T01-IM6	1.89E-01	1.89E-01
P-0039477-T01-IM6	1.74E-01	1.73E-01
P-0039599-T01-IM6	2.19E-01	2.19E-01
P-0039704-T01-IM6	3.00E-01	3.00E-01
P-0039773-T01-IM6	3.54E-01	3.54E-01
P-0039854-T01-IM6	2.92E-01	2.92E-01
P-0040023-T01-IM6	1.35E+00	1.35E+00
P-0040086-T01-IM6	3.07E-01	3.08E-01
P-0040149-T01-IM6	2.71E-01	2.68E-01
P-0040228-T01-IM6	2.50E-01	2.49E-01
P-0040284-T01-IM6	4.14E-01	4.16E-01
P-0040471-T01-IM6	0.00E+00	0.00E+00
P-0040549-T01-IM6	1.34E-01	1.34E-01
P-0040575-T01-IM6	2.78E-01	2.79E-01
P-0040701-T01-IM6	1.85E-01	1.85E-01
P-0040823-T01-IM6	3.83E-02	3.83E-02
P-0040828-T01-IM6	1.78E+00	1.78E+00
P-0040884-T01-IM6	0.00E+00	0.00E+00
P-0040892-T01-IM6	0.00E+00	0.00E+00
P-0040992-T01-IM6	1.82E-01	1.82E-01
P-0041146-T01-IM6	7.42E-01	7.42E-01
P-0041318-T01-IM6	2.36E-01	2.36E-01
P-0041346-T01-IM6	6.66E-01	6.65E-01
P-0041347-T01-IM6	8.55E-02	8.55E-02
P-0041596-T01-IM6	1.82E-01	1.82E-01
P-0042199-T01-IM6	1.25E+00	1.25E+00
P-0042256-T01-IM6	2.01E-01	2.01E-01
P-0042508-T01-IM6	1.16E-01	1.16E-01
P-0042644-T01-IM6	3.17E-01	3.17E-01
P-0042702-T01-IM6	2.08E-01	2.08E-01
P-0042762-T01-IM6	3.11E-01	3.11E-01
P-0042782-T01-IM6	9.78E-02	9.78E-02
P-0042819-T01-IM6	3.59E-02	3.59E-02
P-0043033-T02-IM6	2.60E-01	2.60E-01
P-0043071-T01-IM6	3.85E-01	3.85E-01
P-0043596-T01-IM6	1.68E+00	1.68E+00
P-0043613-T01-IM6	3.52E-01	3.52E-01
P-0043842-T01-IM6	1.60E+00	1.60E+00
P-0043909-T01-IM6	0.00E+00	0.00E+00
P-0043940-T01-IM6	2.03E-01	2.03E-01
P-0044312-T01-IM6	7.95E-02	7.95E-02
P-0044767-T01-IM6	1.70E-01	1.70E-01
P-0044790-T01-IM6	3.54E-01	3.54E-01
P-0044987-T01-IM6	3.83E-01	3.83E-01
P-0045120-T01-IM6	2.24E-01	2.24E-01
P-0045458-T01-IM6	1.48E+00	1.48E+00
P-0045533-T01-IM6	1.36E-01	1.36E-01
P-0045671-T01-IM6	1.96E-01	1.98E-01
P-0045738-T01-IM6	3.10E-01	3.10E-01
P-0045991-T01-IM6	0.00E+00	0.00E+00
P-0046448-T01-IM6	2.80E-01	2.80E-01
P-0046630-T01-IM6	1.65E-01	1.65E-01
P-0046754-T01-IM6	0.00E+00	0.00E+00
P-0046965-T01-IM6	1.20E+00	1.20E+00
P-0047374-T01-IM6	2.42E-01	2.42E-01
P-0047379-T01-IM6	1.80E-01	1.80E-01
P-0047653-T01-IM6	3.19E-01	3.19E-01
P-0047766-T01-IM6	1.05E-01	1.05E-01
P-0047768-T01-IM6	3.42E-01	3.44E-01
P-0047771-T01-IM6	3.07E-01	3.07E-01
P-0047974-T01-IM6	3.43E-01	3.43E-01
P-0048176-T01-IM6	1.99E-01	1.99E-01
P-0048238-T01-IM6	9.02E-02	8.90E-02
P-0048255-T01-IM6	1.70E-01	1.70E-01
P-0048289-T01-IM6	1.61E-01	1.59E-01
P-0048521-T01-IM6	7.05E-02	7.05E-02
P-0048589-T01-IM6	1.87E-01	1.88E-01
P-0048620-T01-IM6	2.32E-01	2.31E-01
P-0048757-T01-IM6	4.15E-01	4.15E-01
P-0048915-T01-IM6	1.13E-01	1.13E-01
P-0048984-T01-IM6	0.00E+00	0.00E+00
P-0049047-T01-IM6	2.12E+00	2.12E+00
P-0049073-T01-IM6	8.29E-01	8.29E-01
P-0049274-T01-IM6	3.14E-01	3.15E-01
P-0049291-T01-IM6	6.05E-02	6.05E-02
P-0049371-T01-IM6	2.15E-01	2.15E-01
P-0049473-T01-IM6	2.14E-01	2.12E-01
P-0049485-T01-IM6	3.24E-01	3.24E-01
P-0049760-T01-IM6	1.59E+00	1.59E+00
P-0049775-T01-IM6	3.38E-01	3.38E-01
P-0049788-T01-IM6	1.38E-01	1.38E-01
P-0049805-T01-IM6	1.35E-01	1.35E-01
P-0049931-T01-IM6	2.65E-01	2.65E-01
P-0050111-T01-IM6	2.91E-01	2.93E-01
P-0050149-T01-IM6	2.29E-01	2.30E-01
