Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0026714-T01-IM6	0.00E+00	7.04E-02	1.55E-01	3.13E-01	4.90E-01	4.28E-01
P-0027652-T01-IM6	1.95E+00	1.93E+00	8.21E-01	5.53E-01	9.02E-01	3.78E-01
P-0027698-T01-IM6	1.67E-01	5.62E-01	6.09E-01	7.20E-01	7.93E-01	6.02E-01
P-0028034-T01-IM6	8.21E-02	3.40E-01	6.00E-01	5.33E-01	7.40E-01	4.58E-01
P-0028141-T01-IM6	1.46E-01	1.31E-01	2.76E-01	3.67E-01	4.40E-01	2.93E-01
P-0028144-T01-IM6	0.00E+00	4.64E-02	3.79E-01	4.65E-01	5.20E-01	3.20E-01
P-0028200-T01-IM6	3.15E-02	2.21E-01	4.12E-01	3.84E-01	2.35E-01	2.37E-01
P-0028472-T01-IM6	0.00E+00	4.92E-01	7.67E-01	8.76E-01	4.30E-01	2.42E-01
P-0028495-T01-IM6	1.49E-01	2.35E-01	3.71E-01	3.10E-01	3.74E-01	3.14E-01
P-0028774-T01-IM6	6.11E-02	1.70E-01	1.15E-01	2.96E-01	4.10E-01	2.55E-01
P-0028924-T01-IM6	1.72E-01	2.14E-01	3.68E-01	4.15E-01	4.73E-01	2.98E-01
P-0029429-T01-IM6	0.00E+00	7.20E-02	4.18E-01	3.68E-01	3.83E-01	2.39E-01
P-0029690-T01-IM6	1.25E+00	1.19E+00	7.63E-01	5.47E-01	4.16E-01	5.29E-01
P-0029778-T01-IM6	4.42E-02	2.00E-01	3.43E-01	1.73E-01	4.85E-01	4.50E-01
P-0029972-T01-IM6	8.11E-01	1.44E+00	2.43E+00	3.91E-01	4.35E+00	4.49E+00
P-0029983-T01-IM6	2.78E-02	9.25E-02	1.68E-01	4.45E-02	3.32E-01	3.18E-01
P-0030260-T01-IM6	0.00E+00	2.24E-01	6.35E-01	5.31E-01	3.90E-01	4.12E-01
P-0030322-T01-IM6	1.45E+00	1.38E+00	6.59E-01	1.79E-01	6.47E-01	5.66E-01
P-0031042-T01-IM6	0.00E+00	1.86E-01	6.20E-01	3.77E-01	6.63E-01	5.69E-01
P-0031094-T01-IM6	0.00E+00	5.77E-02	3.72E-01	4.52E-01	4.59E-01	2.98E-01
P-0031195-T01-IM6	5.79E-02	1.22E-01	1.70E-01	1.29E-01	4.41E-01	4.50E-01
P-0031211-T01-IM6	0.00E+00	3.15E-01	3.97E-01	5.04E-01	1.80E-01	0.00E+00
P-0031271-T01-IM6	6.07E-02	2.02E-01	4.13E-01	2.96E-01	4.63E-01	4.59E-01
P-0031436-T01-IM6	0.00E+00	2.23E-02	3.63E-01	2.39E-01	5.80E-01	5.93E-01
P-0031501-T01-IM6	0.00E+00	4.56E-01	8.71E-01	6.79E-01	8.49E-01	6.26E-01
P-0032113-T01-IM6	1.99E-01	3.72E-01	7.37E-01	7.97E-01	3.36E-01	1.67E-01
P-0032161-T02-IM6	1.02E-01	2.18E-01	4.77E-01	5.18E-01	6.52E-01	6.26E-01
P-0032443-T01-IM6	1.56E-01	3.00E-01	5.48E-01	3.24E-01	4.38E-01	3.19E-01
P-0032456-T01-IM6	0.00E+00	1.13E-01	4.01E-01	3.04E-01	3.80E-01	2.89E-01
P-0032495-T01-IM6	0.00E+00	1.26E-01	3.03E-01	3.53E-01	6.14E-01	6.09E-01
P-0032496-T01-IM6	2.41E+00	2.52E+00	8.87E-01	7.59E-01	9.05E-01	1.76E-01
P-0032497-T01-IM6	1.57E-01	1.56E-01	1.43E-01	3.15E-01	4.85E-01	4.90E-01
P-0032548-T01-IM6	1.30E+00	1.41E+00	5.18E-01	2.20E-01	3.27E-01	3.97E-01
P-0032567-T01-IM6	1.67E-01	2.35E-01	6.94E-01	6.54E-01	5.22E-01	2.73E-01
P-0032761-T01-IM6	1.71E-02	1.74E-01	3.80E-01	3.14E-01	4.87E-01	2.41E-01
P-0032818-T01-IM6	3.02E+00	3.52E+00	1.04E+00	6.75E-01	2.92E-01	2.56E-01
P-0032990-T01-IM6	1.35E-01	1.08E-01	8.00E-02	3.30E-01	4.72E-01	3.86E-01
P-0032994-T01-IM6	1.00E-02	3.42E-01	6.01E-01	5.33E-01	4.42E-01	5.42E-01
P-0033016-T01-IM6	7.74E-01	7.25E-01	6.52E-01	5.71E-01	4.11E-01	3.67E-01
P-0033133-T01-IM6	3.81E-01	9.37E-01	2.02E+00	1.94E+00	1.34E+00	6.11E-01
P-0033467-T01-IM6	0.00E+00	1.46E-01	4.22E-01	3.89E-01	4.65E-01	4.56E-01
P-0033583-T01-IM6	2.23E-02	2.31E-01	3.85E-01	3.21E-01	3.71E-01	3.32E-01
P-0033682-T01-IM6	1.71E-02	3.38E-01	1.62E-01	4.13E-01	2.86E-01	4.90E-02
P-0034775-T01-IM6	0.00E+00	6.91E-02	4.00E-01	2.19E-01	3.90E-01	4.47E-01
P-0034862-T01-IM6	1.62E-01	2.61E-01	1.50E-01	2.61E-01	4.23E-01	3.17E-01
P-0034915-T01-IM6	1.08E+00	1.83E+00	3.33E+00	2.87E+00	3.36E+00	1.46E+00
P-0035146-T01-IM6	1.57E+00	1.33E+00	6.62E-01	4.17E-01	5.56E-01	9.67E-01
P-0035147-T01-IM6	9.71E-01	8.63E-01	3.23E-01	3.33E-01	7.19E-01	5.08E-01
P-0035281-T01-IM6	1.56E+00	1.58E+00	4.08E-01	5.23E-01	5.85E-01	6.25E-01
P-0035770-T01-IM6	2.71E+00	2.76E+00	1.01E+00	6.79E-01	8.93E-01	1.00E+00
P-0035790-T01-IM6	1.12E+00	2.36E+00	5.98E+00	5.90E+00	3.32E+00	3.16E+00
P-0036123-T01-IM6	2.13E+00	2.29E+00	6.91E-01	9.37E-01	4.70E-01	4.11E-02
P-0036230-T01-IM6	1.63E-01	2.05E-01	1.63E-01	2.19E-01	4.92E-01	4.62E-01
P-0036297-T01-IM6	1.29E+00	1.50E+00	4.10E-01	5.37E-01	2.37E-01	1.88E-01
P-0036505-T01-IM6	0.00E+00	0.00E+00	3.46E-01	3.21E-01	4.59E-01	3.29E-01
P-0036664-T01-IM6	0.00E+00	8.00E-02	4.24E-01	4.28E-01	4.97E-01	3.59E-01
P-0036740-T03-IM6	2.00E-02	2.22E-01	2.14E-01	3.22E-01	3.80E-01	2.96E-01
P-0036868-T01-IM6	5.52E-02	1.77E-01	2.40E-01	3.43E-01	3.93E-01	3.29E-01
P-0037690-T01-IM6	2.65E-01	6.04E-01	1.21E+00	1.25E+00	7.73E-01	2.73E-01
P-0037917-T01-IM6	1.18E-01	1.11E-01	7.25E-02	1.90E-01	2.21E-01	7.87E-02
P-0038016-T01-IM6	0.00E+00	2.26E-01	2.89E-01	4.32E-01	4.20E-01	2.33E-01
P-0038084-T01-IM6	3.00E-02	4.48E-01	6.42E-01	7.01E-01	3.95E-01	3.32E-01
P-0038304-T01-IM6	1.20E-01	2.51E-01	3.56E-01	4.56E-01	7.27E-01	7.48E-01
P-0038424-T01-IM6	1.37E-01	3.53E-01	6.57E-01	6.88E-01	5.31E-01	5.72E-01
P-0038520-T01-IM6	0.00E+00	2.83E-01	7.34E-01	4.09E-01	5.74E-01	7.07E-01
P-0038755-T01-IM6	6.44E-01	6.59E-01	3.27E-01	2.52E-01	2.21E-01	3.56E-01
P-0038944-T01-IM6	1.91E-01	2.50E-01	2.28E-01	4.18E-01	4.32E-01	4.04E-01
P-0039004-T01-IM6	0.00E+00	2.92E-01	5.82E-01	4.28E-01	4.34E-01	2.46E-01
P-0039054-T01-IM6	2.11E+00	2.56E+00	5.37E+00	3.58E+00	5.57E+00	1.62E+00
P-0039184-T01-IM6	6.82E-02	2.04E-01	2.50E-01	3.70E-01	3.47E-01	3.11E-01
P-0039231-T01-IM6	0.00E+00	1.15E-01	3.98E-01	4.29E-01	4.68E-01	2.94E-01
P-0039294-T01-IM6	2.04E-01	2.66E-01	4.24E-01	4.28E-01	5.89E-01	4.45E-01
P-0039466-T01-IM6	1.05E-01	2.40E-01	5.81E-01	5.12E-01	5.05E-01	4.91E-01
P-0039477-T01-IM6	0.00E+00	2.43E-01	3.82E-01	4.42E-01	3.78E-01	3.67E-02
P-0039599-T01-IM6	1.35E-01	1.40E-01	3.00E-02	9.96E-02	2.48E-01	2.42E-01
P-0039704-T01-IM6	2.98E+00	2.82E+00	8.80E-01	5.37E-01	1.11E+00	5.76E-01
P-0039773-T01-IM6	7.71E-01	7.95E-01	3.44E-01	1.07E-01	2.39E-01	2.39E-01
P-0039854-T01-IM6	1.84E-01	2.41E-01	2.19E-01	4.22E-01	5.91E-01	5.59E-01
P-0040023-T01-IM6	9.81E-01	2.56E+00	4.50E+00	5.30E+00	3.63E+00	2.29E+00
P-0040086-T01-IM6	7.66E-01	7.20E-01	4.65E-01	2.46E-01	2.34E-01	3.97E-01
P-0040149-T01-IM6	2.05E-01	2.10E-01	2.33E-01	3.11E-01	4.53E-01	4.24E-01
P-0040228-T01-IM6	2.17E-01	1.59E-01	2.94E-01	4.34E-01	4.28E-01	3.20E-01
P-0040284-T01-IM6	9.28E-01	1.03E+00	5.14E-01	2.76E-01	3.64E-01	3.29E-01
P-0040471-T01-IM6	0.00E+00	5.37E-02	5.19E-01	3.85E-01	6.21E-01	4.74E-01
P-0040549-T01-IM6	1.02E-01	7.96E-02	3.45E-01	3.29E-01	3.62E-01	3.55E-01
P-0040575-T01-IM6	0.00E+00	3.79E-01	5.37E-01	6.21E-01	4.38E-01	2.07E-01
P-0040701-T01-IM6	3.55E-02	2.22E-01	3.54E-01	1.99E-01	4.25E-01	4.41E-01
P-0040823-T01-IM6	0.00E+00	2.37E-01	4.61E-01	3.69E-01	1.11E+00	1.23E+00
P-0040828-T01-IM6	3.28E+00	4.59E+00	3.56E+00	4.14E+00	1.59E+00	4.60E-01
P-0040884-T01-IM6	0.00E+00	6.68E-02	3.66E-01	3.19E-01	3.85E-01	2.37E-01
P-0040892-T01-IM6	0.00E+00	1.77E-01	4.93E-01	4.24E-01	5.38E-01	3.92E-01
P-0040992-T01-IM6	4.00E-02	2.81E-01	3.47E-01	6.31E-01	6.63E-01	2.78E-01
P-0041146-T01-IM6	1.47E+00	1.61E+00	9.59E-01	5.05E-01	7.93E-01	6.70E-01
P-0041318-T01-IM6	3.95E-01	4.02E-01	2.78E-01	2.34E-01	1.29E-01	1.83E-01
P-0041346-T01-IM6	1.73E+00	1.66E+00	7.41E-01	2.55E-01	8.46E-01	8.42E-01
P-0041347-T01-IM6	0.00E+00	1.19E-01	3.80E-01	2.43E-01	3.77E-01	7.92E-02
P-0041596-T01-IM6	5.03E-02	2.19E-01	4.13E-01	3.23E-01	5.57E-01	4.25E-01
P-0042199-T01-IM6	2.99E+00	3.79E+00	2.00E+00	1.97E+00	7.78E-01	0.00E+00
P-0042256-T01-IM6	9.99E-01	9.52E-01	3.93E-01	1.77E-01	3.54E-01	3.78E-01
P-0042508-T01-IM6	2.23E-02	1.68E-01	1.26E-01	2.09E-01	9.02E-02	1.36E-01
P-0042644-T01-IM6	7.47E-02	2.91E-01	5.64E-01	4.22E-01	6.80E-01	4.61E-01
P-0042702-T01-IM6	1.03E+00	1.03E+00	2.96E-01	2.17E-01	2.75E-01	1.62E-01
P-0042762-T01-IM6	1.85E-01	3.36E-01	1.08E+00	1.82E-01	1.16E+00	1.24E+00
P-0042782-T01-IM6	1.41E-02	2.11E-01	3.15E-01	2.64E-01	4.53E-01	3.86E-01
P-0042819-T01-IM6	5.00E-02	1.02E-01	2.65E-01	3.77E-01	5.17E-01	3.46E-01
P-0043033-T02-IM6	1.74E-01	3.44E-01	5.18E-01	4.90E-01	4.58E-01	5.01E-01
P-0043071-T01-IM6	5.91E-01	7.17E-01	3.22E-01	3.47E-01	1.03E-01	2.67E-01
P-0043596-T01-IM6	5.78E+00	6.05E+00	2.57E+00	2.58E+00	2.30E+00	1.04E+00
P-0043613-T01-IM6	0.00E+00	5.40E-01	6.12E-01	6.51E-01	7.90E-01	3.41E-01
P-0043842-T01-IM6	2.38E+00	2.40E+00	3.35E+00	3.84E+00	2.43E+00	3.51E-01
P-0043909-T01-IM6	0.00E+00	5.37E-02	4.15E-01	3.64E-01	6.17E-01	5.13E-01
P-0043940-T01-IM6	1.64E-01	1.80E-01	1.48E-01	2.83E-01	4.42E-01	4.38E-01
P-0044312-T01-IM6	0.00E+00	1.55E-01	1.52E-01	2.89E-01	4.78E-01	4.50E-01
P-0044767-T01-IM6	1.51E-01	3.30E-02	7.37E-02	1.58E-01	2.53E-01	2.53E-01
P-0044790-T01-IM6	3.22E-01	1.01E+00	3.00E+00	3.04E+00	1.48E+00	6.37E-02
P-0044987-T01-IM6	1.64E-01	6.22E-01	9.34E-01	7.97E-01	6.74E-01	7.83E-01
P-0045120-T01-IM6	5.04E-01	5.66E-01	1.23E-01	2.27E-01	3.15E-02	0.00E+00
P-0045458-T01-IM6	2.94E+00	4.56E+00	3.20E+00	3.29E+00	9.79E-01	1.51E-01
P-0045533-T01-IM6	0.00E+00	2.12E-01	4.68E-01	3.17E-01	4.88E-01	4.32E-01
P-0045671-T01-IM6	1.47E-01	1.57E-01	1.81E-01	2.25E-01	2.73E-01	2.69E-01
P-0045738-T01-IM6	5.06E-02	3.57E-01	6.15E-01	3.25E-01	5.39E-01	1.78E-01
P-0045991-T01-IM6	0.00E+00	1.08E-01	5.00E-02	4.14E-01	5.05E-01	4.70E-01
P-0046448-T01-IM6	1.48E-01	2.60E-01	5.06E-01	5.41E-01	1.27E-01	3.06E-01
P-0046630-T01-IM6	1.24E-01	2.43E-01	7.83E-01	7.64E-01	2.37E-01	1.51E-01
P-0046754-T01-IM6	0.00E+00	2.45E-01	4.21E-01	3.12E-01	4.32E-01	4.58E-01
P-0046965-T01-IM6	3.31E+00	3.44E+00	1.65E+00	6.82E-01	1.56E+00	1.18E+00
P-0047374-T01-IM6	0.00E+00	4.09E-01	8.31E-01	8.01E-01	6.25E-01	2.43E-01
P-0047379-T01-IM6	1.63E-01	7.92E-02	1.08E-01	1.93E-01	1.08E-01	8.89E-02
P-0047653-T01-IM6	7.41E-01	7.58E-01	3.67E-01	2.80E-01	1.67E-01	5.01E-01
P-0047766-T01-IM6	0.00E+00	2.79E-01	7.17E-01	7.50E-01	5.31E-01	4.64E-01
P-0047768-T01-IM6	0.00E+00	5.69E-01	1.03E+00	1.10E+00	4.04E-01	1.66E-01
P-0047771-T01-IM6	8.97E-01	9.83E-01	4.08E-01	1.41E-01	2.64E-01	3.08E-01
P-0047974-T01-IM6	4.99E-01	5.44E-01	3.69E-01	3.21E-01	1.36E-01	9.36E-02
