Samples	SBS96A	SBS96B	SBS96C
P-0047638-T01-IM6	1.52E-01	1.26E-01	1.23E-01
P-0047757-T01-IM6	2.11E-01	2.57E-01	2.32E-01
P-0047759-T01-IM6	6.29E-01	5.97E-01	2.97E-01
P-0047965-T01-IM6	2.13E-01	2.29E-01	2.12E-01
P-0047976-T01-IM6	1.41E-02	2.39E-02	2.73E-02
P-0047981-T01-IM6	3.09E-01	2.96E-01	2.19E-01
P-0048080-T01-IM6	6.55E-01	6.66E-01	2.95E-01
P-0048111-T01-IM6	5.16E-01	5.19E-01	1.91E-01
P-0048144-T01-IM6	3.78E-02	3.78E-02	0.00E+00
P-0048253-T01-IM6	3.59E-02	5.01E-02	4.90E-02
P-0048261-T01-IM6	3.97E-01	4.02E-01	1.39E-01
P-0048270-T01-IM6	1.84E+00	1.85E+00	3.72E-01
P-0048296-T01-IM6	1.34E-01	1.49E-01	1.13E-01
P-0048549-T01-IM6	8.07E-01	7.90E-01	2.96E-01
P-0048555-T01-IM6	2.75E-01	2.36E-01	1.76E-01
P-0048585-T03-IM6	8.96E-01	9.08E-01	1.56E-01
P-0048592-T01-IM6	2.32E-01	2.78E-01	2.60E-01
P-0048603-T01-IM6	2.10E-01	2.59E-01	2.62E-01
P-0048628-T01-IM6	5.28E-01	5.14E-01	2.08E-01
P-0048726-T01-IM6	1.41E-02	2.39E-02	2.73E-02
P-0048786-T01-IM6	7.71E-01	7.76E-01	3.45E-01
P-0048904-T01-IM6	7.95E-01	8.75E-01	3.93E-01
P-0048926-T01-IM6	1.71E-01	1.66E-01	5.00E-02
P-0049007-T01-IM6	2.22E-01	2.35E-01	2.12E-01
P-0049096-T01-IM6	2.00E-01	1.98E-01	9.59E-02
P-0049320-T01-IM6	2.70E+00	2.62E+00	4.67E-01
P-0049391-T01-IM6	5.61E-02	6.17E-02	7.59E-02
P-0049457-T01-IM6	4.23E-01	4.46E-01	2.66E-01
P-0049573-T01-IM6	2.35E+00	2.38E+00	3.39E-01
P-0049734-T01-IM6	2.71E+00	2.73E+00	5.33E-01
P-0049773-T01-IM6	4.41E-01	4.36E-01	9.89E-02
P-0049891-T01-IM6	1.55E-01	1.45E-01	1.03E-01
P-0049901-T01-IM6	1.48E-01	1.29E-01	9.30E-02
P-0049953-T01-IM6	1.92E-01	2.03E-01	1.72E-01
P-0049959-T01-IM6	5.14E-02	8.22E-02	8.80E-02
P-0050076-T01-IM6	7.08E-01	6.62E-01	2.75E-01
P-0050087-T01-IM6	4.39E-01	4.91E-01	3.23E-01
P-0050267-T01-IM6	2.19E+00	2.16E+00	3.07E-01
P-0050405-T01-IM6	1.01E+00	1.07E+00	2.86E-01
P-0050421-T01-IM6	1.24E+00	1.19E+00	4.48E-01
