Samples	SBS96A	SBS96B	SBS96C
P-0008733-T01-IM5	1.48E-01	2.25E-01	2.05E-01
P-0008857-T01-IM5	1.20E+00	1.21E+00	3.59E-01
P-0008859-T01-IM5	3.59E-02	5.01E-02	4.90E-02
P-0008912-T01-IM5	3.39E-01	3.31E-01	1.89E-01
P-0008942-T01-IM5	1.20E+00	1.20E+00	1.59E-01
P-0008946-T01-IM5	4.70E-01	4.73E-01	1.68E-01
P-0008963-T01-IM5	2.27E-01	2.51E-01	1.89E-01
P-0008974-T01-IM5	8.16E-01	8.14E-01	3.89E-01
P-0008997-T01-IM5	1.33E+00	1.48E+00	5.35E-01
P-0008999-T01-IM5	3.44E-01	3.39E-01	2.49E-01
P-0009072-T01-IM5	2.12E-01	2.07E-01	1.35E-01
P-0009105-T01-IM5	9.77E-01	9.49E-01	2.99E-01
P-0009108-T01-IM5	9.61E-01	9.59E-01	4.08E-01
P-0009148-T01-IM5	3.82E-01	3.98E-01	2.02E-01
P-0009177-T01-IM5	2.69E-01	2.72E-01	1.27E-01
P-0009180-T01-IM5	7.59E-02	4.65E-02	7.39E-02
P-0009189-T01-IM5	2.10E+00	2.13E+00	7.14E-01
P-0009245-T01-IM5	6.08E-01	6.37E-01	3.20E-01
P-0009292-T01-IM5	2.31E-01	2.47E-01	2.07E-01
P-0009308-T01-IM5	3.14E-02	4.23E-02	4.76E-02
P-0009311-T01-IM5	7.48E-01	7.86E-01	2.88E-01
P-0009324-T02-IM5	6.04E-01	6.01E-01	3.30E-01
P-0009349-T01-IM5	1.12E+00	1.08E+00	3.70E-01
P-0009412-T01-IM5	1.41E-02	2.39E-02	2.73E-02
P-0009527-T01-IM5	3.61E-01	3.46E-01	2.05E-01
P-0009538-T01-IM5	2.19E-01	2.41E-01	2.15E-01
P-0009589-T01-IM5	3.49E-02	4.35E-02	4.90E-02
P-0009697-T01-IM5	8.09E-02	7.58E-02	9.05E-02
P-0009736-T01-IM5	5.19E-01	5.18E-01	1.74E-01
P-0009744-T01-IM5	4.73E-01	4.96E-01	2.30E-01
P-0009747-T01-IM5	8.85E-01	8.89E-01	9.40E-02
P-0009752-T01-IM5	7.92E+00	7.80E+00	5.24E-01
P-0009855-T01-IM5	1.20E-01	1.19E-01	8.79E-02
P-0009950-T01-IM5	1.75E+00	1.80E+00	5.06E-01
P-0010008-T01-IM5	1.76E-01	2.24E-01	2.06E-01
P-0010115-T01-IM5	1.52E+00	1.50E+00	2.92E-01
P-0010140-T02-IM5	3.99E-02	7.28E-02	7.71E-02
P-0010232-T01-IM5	3.94E-01	3.63E-01	2.70E-01
P-0010249-T01-IM5	4.99E-01	5.24E-01	2.42E-01
P-0010340-T01-IM5	1.85E+00	1.84E+00	2.50E-01
P-0010495-T01-IM5	1.14E-01	1.80E-01	1.72E-01
P-0010596-T02-IM6	9.13E-01	9.51E-01	2.70E-01
P-0010605-T01-IM5	3.78E-02	3.78E-02	0.00E+00
P-0010670-T01-IM5	4.83E-01	4.87E-01	2.18E-01
P-0010726-T01-IM5	2.85E+00	2.87E+00	2.30E-01
P-0010805-T01-IM5	6.08E-01	6.18E-01	1.68E-01
P-0010818-T01-IM5	5.78E-01	5.70E-01	1.54E-01
