Samples	SBS1	SBS5	SBS7a	SBS7b
P-0009108-T01-IM5	6	4	11	22
P-0009148-T01-IM5	1	2	0	9
P-0009177-T01-IM5	1	0	0	6
P-0009180-T01-IM5	2	0	0	0
P-0009189-T01-IM5	7	15	0	55
P-0009245-T01-IM5	3	2	0	23
P-0009292-T01-IM5	0	2	3	3
P-0009308-T01-IM5	0	1	0	0
P-0009311-T01-IM5	0	10	6	15
P-0009324-T02-IM5	1	0	0	22
P-0009349-T01-IM5	1	8	10	21
P-0009412-T01-IM5	0	1	0	0
P-0009527-T01-IM5	0	0	7	7
P-0009538-T01-IM5	3	0	1	5
P-0009589-T01-IM5	0	1	0	0
P-0009697-T01-IM5	0	1	2	0
P-0009736-T01-IM5	0	0	3	13
P-0009744-T01-IM5	0	5	0	14
P-0009747-T01-IM5	3	0	16	9
P-0009752-T01-IM5	0	0	94	162
P-0009855-T01-IM5	0	2	0	1
P-0009950-T01-IM5	4	8	48	12
P-0010008-T01-IM5	0	4	0	3
P-0010115-T01-IM5	0	0	21	35
P-0010140-T02-IM5	0	2	0	0
P-0010232-T01-IM5	1	3	0	12
P-0010249-T01-IM5	1	4	3	12
P-0010340-T01-IM5	3	2	0	53
P-0010495-T01-IM5	1	0	0	4
P-0010596-T02-IM6	2	0	23	7
P-0010605-T01-IM5	0	0	1	0
P-0010670-T01-IM5	4	0	0	11
P-0010726-T01-IM5	0	0	43	51
P-0010805-T01-IM5	0	3	6	10
P-0010818-T01-IM5	1	0	0	14
P-0010847-T02-IM6	3	0	9	8
P-0010848-T01-IM5	0	0	4	9
P-0010915-T01-IM5	1	6	3	9
P-0010937-T01-IM5	0	0	16	20
P-0010975-T01-IM5	1	2	0	0
P-0011047-T01-IM5	0	1	0	36
P-0011081-T01-IM5	0	4	0	8
P-0011216-T01-IM5	0	0	7	12
P-0011269-T01-IM5	0	0	17	15
P-0011297-T01-IM5	0	0	3	3
P-0011467-T01-IM5	5	7	42	13
P-0011476-T01-IM5	0	0	3	4
P-0011594-T01-IM5	2	0	11	0
P-0012080-T01-IM5	1	0	0	27
P-0012119-T01-IM5	0	0	9	6
P-0012194-T01-IM5	0	0	11	25
P-0012315-T01-IM5	0	0	0	14
P-0012361-T01-IM5	4	3	0	38
P-0012407-T01-IM5	1	4	5	15
P-0012408-T01-IM5	0	6	7	4
P-0012420-T01-IM5	0	0	0	13
P-0012446-T01-IM5	4	0	0	25
P-0012529-T01-IM5	1	0	1	8
P-0012550-T01-IM5	0	0	29	29
P-0012551-T01-IM5	4	0	8	0
P-0012780-T01-IM5	0	7	0	0
P-0012783-T01-IM5	0	0	7	13
P-0012856-T01-IM5	0	0	9	30
P-0012860-T01-IM5	5	0	22	76
P-0012865-T01-IM5	0	0	25	21
P-0012884-T01-IM5	0	1	0	1
P-0012924-T01-IM5	0	1	0	0
P-0012968-T01-IM5	0	4	3	3
P-0012999-T01-IM5	0	0	6	15
P-0013025-T01-IM5	1	0	0	13
P-0013111-T01-IM5	0	6	0	15
P-0013166-T01-IM5	2	0	10	33
P-0013180-T01-IM5	1	0	7	5
P-0013232-T01-IM5	0	0	13	34
P-0013274-T01-IM5	0	0	8	0
P-0013318-T01-IM5	0	6	0	2
P-0013341-T01-IM5	0	2	0	18
P-0013343-T01-IM5	2	8	0	9
P-0013356-T01-IM5	5	0	7	19
P-0013383-T01-IM5	0	0	23	23
P-0013389-T01-IM5	1	2	0	5
P-0013413-T01-IM5	0	4	5	17
P-0013448-T01-IM5	0	0	5	6
P-0013451-T01-IM5	4	0	0	0
P-0013481-T01-IM5	0	0	2	10
P-0013525-T01-IM5	1	0	5	4
P-0013596-T01-IM5	3	2	0	8
P-0013598-T01-IM5	2	0	0	18
P-0013659-T01-IM5	0	6	0	4
P-0013679-T01-IM5	2	0	6	13
P-0013765-T01-IM5	2	0	0	6
P-0013910-T01-IM5	1	0	9	15
P-0014047-T03-IM6	1	4	0	17
P-0014137-T01-IM5	0	0	11	13
P-0014148-T01-IM5	3	6	9	30
P-0014159-T01-IM5	5	0	0	15
P-0014206-T01-IM6	1	2	0	26
P-0014208-T01-IM6	1	0	13	11
P-0014227-T01-IM6	2	10	0	38
P-0014229-T01-IM6	0	0	14	21
P-0014242-T01-IM6	5	0	18	7
P-0014311-T01-IM6	2	1	0	0
P-0014379-T01-IM6	0	0	0	3
P-0014392-T01-IM6	3	0	21	8
P-0014449-T01-IM6	0	0	2	0
P-0014556-T01-IM6	0	1	4	14
P-0014682-T01-IM6	0	1	0	0
P-0014910-T01-IM6	0	13	21	7
P-0014946-T01-IM6	0	0	33	76
P-0014966-T01-IM6	2	1	0	4
P-0014969-T01-IM6	2	0	4	9
P-0015010-T01-IM6	0	0	1	0
P-0015106-T01-IM6	3	3	0	20
P-0015122-T01-IM6	0	5	0	6
P-0015142-T01-IM6	1	0	2	5
P-0015257-T01-IM6	0	0	43	28
P-0015261-T01-IM6	6	1	11	47
P-0015281-T01-IM6	3	4	0	22
P-0015373-T01-IM6	0	0	18	15
P-0015386-T01-IM6	0	0	22	33
P-0015407-T01-IM6	2	15	6	16
P-0015415-T01-IM6	0	0	35	59
P-0015438-T01-IM6	0	0	22	56
P-0015462-T01-IM6	0	0	5	0
P-0015471-T01-IM6	1	0	1	0
P-0015498-T01-IM6	3	4	0	9
P-0015511-T01-IM6	0	0	7	8
P-0015512-T01-IM6	0	0	52	63
P-0015521-T01-IM6	3	0	3	14
P-0015526-T01-IM6	0	0	15	28
P-0015530-T01-IM6	0	2	5	0
P-0015544-T01-IM6	1	3	0	12
P-0015612-T01-IM6	1	0	0	24
P-0015679-T01-IM6	1	4	0	0
P-0015694-T01-IM6	1	5	0	13
P-0015697-T01-IM6	1	5	0	14
P-0015718-T01-IM6	5	8	5	10
P-0015791-T01-IM6	1	0	3	5
P-0015827-T01-IM6	0	0	13	27
P-0015830-T01-IM6	0	0	33	28
P-0015832-T01-IM6	0	0	14	31
P-0015855-T02-IM6	0	0	5	9
P-0015881-T03-IM6	1	5	4	16
P-0015882-T01-IM6	2	1	6	26
P-0015895-T02-IM6	0	0	6	9
P-0015917-T01-IM6	0	0	17	32
P-0015959-T01-IM6	0	0	8	18
P-0016018-T01-IM6	3	2	8	5
P-0016027-T01-IM6	2	0	0	22
P-0016177-T01-IM6	1	5	0	0
P-0016197-T01-IM6	0	0	17	15
P-0016282-T01-IM6	1	0	0	31
P-0016327-T01-IM6	2	0	5	14
P-0016328-T01-IM6	0	2	8	5
P-0016347-T01-IM6	0	0	13	18
P-0016506-T01-IM6	0	0	0	4
P-0016530-T01-IM6	0	0	9	0
P-0016533-T01-IM6	0	3	0	5
P-0016596-T01-IM6	0	13	10	12
P-0016799-T01-IM6	1	0	1	4
P-0016800-T01-IM6	0	0	2	3
P-0016853-T02-IM6	0	4	9	3
P-0016928-T01-IM6	0	0	28	39
P-0016935-T01-IM6	1	9	11	71
P-0017003-T01-IM6	2	5	0	10
P-0017047-T01-IM6	0	0	22	31
P-0017054-T01-IM6	0	2	0	0
P-0017176-T01-IM6	0	0	3	15
P-0017215-T01-IM5	0	7	0	15
P-0017272-T01-IM6	0	0	5	7
P-0017353-T01-IM6	0	3	3	0
P-0017361-T01-IM6	0	0	5	18
P-0017384-T01-IM6	1	3	0	0
P-0017461-T01-IM6	3	5	0	0
P-0017506-T01-IM6	0	0	39	46
P-0017512-T01-IM6	2	9	0	16
P-0017539-T01-IM5	0	0	7	0
P-0017635-T01-IM5	1	4	4	0
P-0017636-T01-IM5	0	0	2	0
P-0017683-T01-IM6	0	0	17	32
P-0017690-T04-IM6	1	0	0	9
P-0017702-T01-IM6	0	0	12	26
P-0017744-T01-IM6	0	0	5	9
P-0017797-T01-IM6	0	0	16	28
P-0017815-T01-IM6	1	3	0	0
P-0017830-T01-IM6	0	0	38	40
P-0017943-T01-IM6	1	2	6	2
P-0017966-T01-IM6	2	4	5	9
P-0018031-T01-IM6	1	6	4	3
P-0018042-T01-IM6	4	0	4	29
P-0018059-T01-IM6	0	0	11	26
P-0018102-T01-IM6	0	0	3	0
P-0018132-T01-IM6	1	0	0	11
P-0018233-T01-IM6	0	3	4	6
P-0018304-T01-IM6	0	2	6	0
P-0018422-T01-IM6	0	1	0	0
P-0018444-T01-IM6	1	5	0	14
P-0018466-T01-IM6	0	0	5	4
P-0018561-T01-IM6	8	6	0	77
P-0018600-T01-IM6	0	0	27	56
P-0018656-T01-IM6	0	0	30	32
P-0018679-T01-IM6	0	0	3	29
P-0018759-T01-IM6	0	0	4	8
P-0018783-T01-IM6	0	0	11	31
P-0018819-T01-IM6	1	0	7	0
P-0018843-T01-IM6	0	0	12	13
P-0018854-T01-IM6	1	2	0	9
P-0019066-T01-IM6	0	2	0	0
P-0019137-T01-IM6	0	2	0	1
P-0019239-T01-IM6	1	3	5	0
P-0019263-T01-IM6	0	0	108	96
P-0019302-T01-IM6	4	1	0	6
P-0019333-T01-IM6	0	0	16	26
P-0019379-T01-IM6	1	0	3	16
P-0019443-T01-IM6	0	0	7	7
P-0019490-T01-IM6	0	0	15	28
P-0019557-T01-IM6	0	0	9	9
P-0019569-T01-IM6	3	0	5	18
P-0019697-T01-IM6	1	6	0	8
P-0019720-T01-IM6	0	0	13	28
P-0019861-T01-IM6	1	0	8	0
P-0019889-T02-IM6	1	2	14	3
P-0019909-T02-IM6	0	4	0	9
P-0019939-T01-IM6	5	19	11	46
P-0020082-T01-IM6	0	0	26	36
P-0020127-T01-IM6	0	0	9	11
P-0020191-T01-IM6	0	1	0	2
P-0020307-T01-IM6	0	0	19	57
P-0020319-T01-IM6	0	6	10	8
P-0020382-T01-IM6	0	0	16	13
P-0020388-T01-IM6	0	0	11	11
P-0020638-T01-IM6	0	0	11	20
P-0020641-T02-IM6	0	0	5	11
P-0020691-T01-IM6	0	1	0	2
P-0020768-T01-IM6	0	0	0	3
P-0020817-T01-IM6	0	0	46	68
P-0020913-T01-IM6	3	0	13	6
P-0020957-T01-IM6	5	0	0	46
P-0021046-T01-IM6	0	0	21	44
P-0021075-T01-IM6	0	0	24	15
P-0021121-T01-IM6	2	4	0	17
P-0021169-T01-IM6	0	0	18	28
P-0021174-T01-IM6	1	0	5	12
P-0021223-T01-IM6	0	0	23	23
P-0021331-T01-IM6	3	2	8	5
P-0021440-T01-IM6	1	2	0	5
P-0021441-T01-IM6	0	3	0	0
P-0021458-T01-IM6	1	0	12	8
P-0021469-T01-IM6	0	1	0	2
P-0021504-T01-IM6	0	0	0	8
P-0021526-T02-IM6	0	0	4	26
P-0021584-T01-IM6	3	0	5	14
P-0021708-T02-IM6	0	0	35	56
P-0021737-T01-IM6	0	3	0	3
P-0021743-T01-IM6	2	27	0	32
P-0021783-T01-IM6	3	12	15	5
P-0021842-T01-IM6	0	6	4	4
P-0021846-T01-IM6	1	11	0	25
P-0021847-T03-IM6	0	0	15	22
P-0021934-T01-IM6	0	0	6	3
P-0021948-T01-IM6	0	0	13	24
P-0021968-T01-IM6	0	6	7	30
P-0021995-T01-IM6	3	7	7	19
P-0022012-T01-IM6	0	5	0	0
P-0022019-T01-IM6	0	0	52	106
P-0022042-T01-IM6	1	2	3	11
P-0022096-T01-IM6	0	0	68	99
P-0022123-T01-IM6	0	0	12	10
P-0022140-T01-IM6	0	0	4	10
P-0022146-T01-IM6	0	3	3	7
P-0022168-T02-IM6	1	2	0	4
P-0022177-T01-IM6	0	0	0	9
P-0022232-T01-IM6	0	0	3	12
P-0022308-T01-IM6	0	0	6	3
P-0022366-T01-IM6	1	0	0	7
P-0022384-T01-IM6	3	8	0	8
P-0022471-T01-IM6	1	12	0	15
P-0022542-T02-IM6	2	9	0	15
P-0022570-T01-IM6	0	2	0	7
P-0022670-T01-IM6	0	2	2	0
P-0022680-T01-IM6	0	0	21	19
P-0022702-T01-IM6	6	6	11	0
P-0022743-T01-IM6	0	0	0	8
P-0022759-T01-IM6	2	3	9	5
P-0022795-T01-IM6	7	0	6	13
P-0022807-T04-IM6	0	0	7	15
P-0022827-T01-IM6	0	0	17	28
P-0022864-T01-IM6	1	0	3	0
P-0022885-T01-IM6	1	0	0	13
P-0022886-T01-IM6	2	1	6	14
P-0022986-T01-IM6	0	6	0	8
P-0023032-T01-IM6	1	3	6	11
P-0023041-T01-IM6	0	0	19	51
P-0023055-T01-IM6	0	0	0	3
P-0023139-T01-IM6	1	6	4	0
P-0023163-T01-IM6	0	0	24	69
P-0023356-T01-IM6	0	0	25	34
P-0023378-T01-IM6	5	7	4	7
P-0023510-T01-IM6	0	0	21	34
P-0023645-T01-IM6	0	0	0	13
P-0023733-T01-IM6	0	2	0	3
P-0023734-T01-IM6	0	0	0	9
P-0023765-T01-IM6	0	0	43	109
P-0023775-T01-IM6	1	3	0	3
P-0023777-T01-IM6	2	0	0	53
P-0023794-T01-IM6	1	6	4	6
P-0023821-T01-IM6	1	2	0	9
P-0023848-T01-IM6	0	0	18	25
P-0023973-T01-IM6	0	0	15	12
P-0023993-T01-IM6	1	2	0	0
P-0024070-T01-IM6	1	8	11	41
P-0024072-T01-IM6	0	0	22	32
P-0024110-T01-IM6	0	0	4	3
P-0024121-T01-IM6	3	0	11	41
P-0024166-T02-IM6	0	0	13	12
P-0024188-T01-IM6	3	7	6	10
P-0024221-T01-IM6	0	3	5	0
P-0024262-T01-IM6	0	0	82	90
P-0024301-T01-IM6	0	1	0	6
P-0024305-T01-IM6	2	0	5	14
P-0024339-T01-IM6	0	0	13	23
P-0024344-T01-IM6	4	5	0	8
P-0024395-T01-IM6	0	0	45	88
P-0024536-T01-IM6	0	1	0	23
P-0024595-T01-IM6	0	2	0	0
P-0024639-T01-IM6	0	0	63	108
P-0024769-T01-IM6	0	8	2	5
P-0024771-T01-IM6	0	0	0	7
P-0024830-T01-IM6	0	4	2	0
P-0024927-T01-IM6	0	0	5	0
P-0024994-T01-IM6	0	0	0	5
P-0024995-T01-IM6	2	0	7	7
P-0025093-T01-IM6	2	6	3	5
P-0025164-T01-IM6	0	0	14	32
P-0025347-T01-IM6	0	0	10	17
P-0025530-T01-IM6	1	8	4	4
P-0025541-T01-IM6	1	4	0	7
P-0025561-T01-IM6	0	0	0	4
P-0025565-T01-IM6	0	2	3	10
P-0025608-T01-IM6	1	2	0	5
P-0025733-T01-IM6	0	0	0	11
P-0025737-T01-IM6	0	1	0	0
P-0025813-T01-IM6	1	3	4	13
P-0025831-T01-IM6	1	3	0	11
P-0025853-T01-IM6	1	2	2	0
P-0025878-T01-IM6	0	0	2	3
P-0025945-T01-IM6	0	0	91	80
P-0025973-T01-IM6	0	0	78	96
P-0026008-T01-IM6	0	0	34	54
P-0026015-T01-IM6	0	0	0	5
P-0026030-T01-IM6	0	5	0	23
P-0026104-T01-IM6	0	4	0	0
P-0026158-T04-IM6	0	4	0	0
P-0026274-T02-IM6	5	0	5	14
P-0026314-T01-IM6	1	0	0	6
P-0026326-T02-IM6	6	3	0	12
P-0026354-T01-IM6	0	3	5	16
P-0026361-T01-IM6	0	2	0	0
P-0026488-T01-IM6	0	0	14	15
P-0026715-T01-IM6	2	0	4	0
P-0026804-T01-IM6	0	0	0	5
P-0026835-T01-IM6	0	0	13	24
P-0027076-T01-IM6	0	0	3	6
P-0027084-T01-IM6	0	9	5	18
P-0027104-T01-IM6	1	5	0	7
P-0027154-T01-IM6	1	0	4	6
P-0027227-T01-IM6	0	1	4	8
P-0027258-T01-IM6	2	3	0	51
P-0027270-T01-IM6	1	0	0	20
P-0027338-T01-IM6	0	0	17	44
P-0027588-T01-IM6	0	0	0	2
P-0027603-T01-IM6	0	0	15	14
P-0027626-T01-IM6	0	0	0	9
P-0027707-T01-IM6	0	0	0	13
P-0027716-T01-IM6	4	6	13	6
P-0027739-T01-IM6	1	0	4	7
P-0027752-T01-IM6	0	0	15	41
P-0027768-T01-IM6	2	4	0	17
P-0027808-T01-IM6	0	0	12	7
P-0027875-T01-IM6	0	1	3	7
P-0028040-T01-IM6	1	0	3	15
P-0028041-T01-IM6	0	1	3	3
P-0028067-T01-IM6	1	0	4	4
P-0028078-T01-IM6	0	0	11	0
P-0028101-T01-IM6	0	0	22	26
P-0028205-T01-IM6	0	0	11	25
P-0028298-T01-IM6	0	0	0	4
P-0028316-T01-IM6	0	0	3	4
P-0028477-T01-IM6	0	0	35	45
P-0028629-T01-IM6	0	0	16	51
P-0028631-T01-IM6	6	16	16	0
P-0028681-T01-IM6	1	12	0	11
P-0028849-T02-IM6	1	3	0	13
P-0028910-T01-IM6	1	0	24	12
P-0028920-T01-IM6	2	0	0	24
P-0028988-T01-IM6	0	0	6	15
P-0028993-T01-IM6	0	0	8	14
P-0029242-T01-IM6	1	0	2	4
P-0029305-T01-IM6	0	0	5	19
P-0029330-T01-IM6	0	2	0	5
P-0029332-T01-IM6	1	0	10	3
P-0029387-T01-IM6	3	9	0	24
P-0029475-T01-IM6	0	8	0	11
P-0029504-T01-IM6	0	0	55	141
P-0029544-T01-IM6	1	6	0	0
P-0029614-T01-IM6	0	0	5	8
P-0029764-T01-IM6	0	0	12	24
P-0029804-T01-IM6	2	0	1	3
P-0029808-T01-IM6	1	0	6	2
P-0029950-T01-IM6	0	8	0	9
P-0029954-T01-IM6	0	1	0	0
P-0029989-T01-IM6	1	3	3	7
P-0030112-T02-IM6	2	10	0	4
P-0030135-T01-IM6	0	0	0	11
P-0030209-T01-IM6	0	0	12	20
P-0030237-T01-IM6	0	0	0	1
P-0030248-T01-IM6	1	0	0	5
P-0030255-T01-IM6	0	1	1	2
P-0030290-T01-IM6	0	0	53	66
