Samples	SBS96A	SBS96B	SBS96C	SBS96D
P-0032161-T02-IM6	1.09E-01	5.78E-01	4.68E-01	5.78E-01
P-0032443-T01-IM6	2.24E-01	4.02E-01	5.85E-01	4.54E-01
P-0032456-T01-IM6	0.00E+00	3.83E-01	4.53E-01	4.12E-01
P-0032495-T01-IM6	0.00E+00	3.78E-01	6.00E-01	5.63E-01
P-0032496-T01-IM6	2.88E+00	1.05E+00	3.57E+00	2.87E-01
P-0032497-T01-IM6	1.67E-01	3.07E-01	3.83E-01	4.36E-01
P-0032548-T01-IM6	2.26E+00	4.40E-01	2.39E+00	2.93E-01
P-0032567-T01-IM6	1.69E-01	6.71E-01	5.15E-01	4.86E-01
P-0032761-T01-IM6	8.05E-02	4.42E-01	5.49E-01	5.72E-01
P-0032818-T01-IM6	6.26E+00	1.54E+00	7.58E+00	0.00E+00
P-0032990-T01-IM6	1.39E-01	2.22E-01	2.05E-01	3.08E-01
P-0032994-T01-IM6	9.68E-02	6.32E-01	5.75E-01	6.00E-01
P-0033016-T01-IM6	7.24E-01	6.24E-01	7.49E-01	3.80E-01
P-0033133-T01-IM6	4.49E-01	2.55E+00	2.86E+00	7.92E-01
P-0033467-T01-IM6	0.00E+00	4.50E-01	5.11E-01	5.02E-01
P-0033583-T01-IM6	5.20E-02	3.98E-01	3.27E-01	3.98E-01
P-0033682-T01-IM6	1.86E-01	5.45E-01	5.21E-01	3.37E-01
P-0034775-T01-IM6	0.00E+00	3.20E-01	4.56E-01	4.60E-01
P-0034862-T01-IM6	2.11E-01	3.71E-01	3.28E-01	4.30E-01
P-0034915-T01-IM6	1.22E+00	5.59E+00	7.34E+00	2.14E+00
P-0035146-T01-IM6	1.18E+00	3.72E-01	1.25E+00	7.22E-01
P-0035147-T01-IM6	8.31E-01	2.81E-01	7.70E-01	4.49E-01
P-0035281-T01-IM6	2.69E+00	7.39E-01	3.04E+00	6.13E-01
P-0035770-T01-IM6	3.28E+00	1.05E+00	3.87E+00	5.78E-01
P-0035790-T01-IM6	1.29E+00	6.02E+00	8.46E+00	4.45E+00
P-0036123-T01-IM6	3.91E+00	1.73E+00	5.38E+00	3.00E-02
P-0036230-T01-IM6	2.50E-01	1.71E-01	3.04E-01	3.68E-01
P-0036297-T01-IM6	1.95E+00	7.95E-01	2.50E+00	1.22E-01
P-0036505-T01-IM6	0.00E+00	4.20E-01	4.49E-01	4.42E-01
P-0036664-T01-IM6	0.00E+00	3.40E-01	2.53E-01	3.33E-01
P-0036740-T03-IM6	1.06E-01	3.66E-01	2.17E-01	3.24E-01
P-0036868-T01-IM6	7.69E-02	3.92E-01	3.27E-01	3.66E-01
P-0037690-T01-IM6	3.05E-01	1.08E+00	1.05E+00	3.80E-01
P-0037917-T01-IM6	1.41E-01	2.19E-01	1.55E-01	2.35E-01
P-0038016-T01-IM6	1.00E-02	3.84E-01	2.88E-01	4.02E-01
P-0038084-T01-IM6	1.49E-01	5.91E-01	4.98E-01	4.65E-01
P-0038304-T01-IM6	1.85E-01	5.66E-01	4.44E-01	6.16E-01
P-0038424-T01-IM6	1.85E-01	6.43E-01	5.30E-01	6.74E-01
P-0038520-T01-IM6	6.77E-02	7.60E-01	1.04E+00	8.75E-01
P-0038755-T01-IM6	8.02E-01	3.87E-01	9.01E-01	2.05E-01
P-0038944-T01-IM6	2.99E-01	3.93E-01	3.93E-01	3.55E-01
P-0039004-T01-IM6	6.08E-02	4.65E-01	4.88E-01	3.91E-01
P-0039054-T01-IM6	2.07E+00	7.71E+00	9.45E+00	2.60E+00
P-0039184-T01-IM6	1.43E-01	3.22E-01	2.42E-01	3.08E-01
P-0039231-T01-IM6	0.00E+00	5.80E-01	4.16E-01	5.60E-01
P-0039294-T01-IM6	2.20E-01	5.79E-01	5.08E-01	6.24E-01
P-0039466-T01-IM6	1.26E-01	6.00E-01	5.93E-01	5.65E-01
P-0039477-T01-IM6	1.41E-02	3.53E-01	3.12E-01	2.73E-01
P-0039599-T01-IM6	1.56E-01	0.00E+00	1.37E-01	2.05E-01
P-0039704-T01-IM6	3.22E+00	7.47E-01	3.65E+00	5.21E-01
P-0039773-T01-IM6	1.05E+00	2.71E-01	1.02E+00	3.18E-01
P-0039854-T01-IM6	2.64E-01	4.73E-01	3.61E-01	5.09E-01
P-0040023-T01-IM6	1.17E+00	4.90E+00	5.55E+00	2.64E+00
P-0040086-T01-IM6	7.09E-01	3.75E-01	7.41E-01	2.74E-01
P-0040149-T01-IM6	2.58E-01	3.80E-01	3.12E-01	4.01E-01
P-0040228-T01-IM6	2.11E-01	4.36E-01	3.25E-01	4.23E-01
P-0040284-T01-IM6	1.20E+00	4.01E-01	1.22E+00	3.16E-01
P-0040471-T01-IM6	0.00E+00	5.53E-01	5.72E-01	5.58E-01
P-0040549-T01-IM6	1.17E-01	3.96E-01	3.33E-01	3.85E-01
P-0040575-T01-IM6	8.53E-02	4.43E-01	4.45E-01	3.73E-01
P-0040701-T01-IM6	1.34E-01	3.08E-01	4.19E-01	4.95E-01
P-0040823-T01-IM6	1.02E-01	3.89E-01	9.21E-01	9.49E-01
P-0040828-T01-IM6	6.65E+00	3.80E+00	9.43E+00	4.70E-01
P-0040884-T01-IM6	0.00E+00	4.58E-01	4.14E-01	3.76E-01
P-0040892-T01-IM6	2.00E-02	6.09E-01	6.02E-01	5.22E-01
P-0040992-T01-IM6	7.70E-02	6.28E-01	5.45E-01	6.77E-01
P-0041146-T01-IM6	1.29E+00	8.21E-01	1.39E+00	5.87E-01
P-0041318-T01-IM6	4.32E-01	3.13E-01	4.41E-01	5.45E-02
P-0041346-T01-IM6	1.23E+00	3.39E-01	1.33E+00	8.06E-01
P-0041347-T01-IM6	5.75E-02	4.68E-01	4.08E-01	2.94E-01
P-0041596-T01-IM6	1.71E-01	4.81E-01	5.44E-01	5.47E-01
P-0042199-T01-IM6	6.02E+00	3.33E+00	8.94E+00	0.00E+00
P-0042256-T01-IM6	1.01E+00	2.32E-01	1.11E+00	2.23E-01
P-0042508-T01-IM6	5.86E-02	2.14E-01	1.89E-01	1.67E-01
P-0042644-T01-IM6	3.10E-01	6.89E-01	5.04E-01	6.93E-01
P-0042702-T01-IM6	1.41E+00	2.71E-01	1.56E+00	2.15E-01
P-0042762-T01-IM6	2.81E-01	6.29E-01	2.04E+00	1.86E+00
P-0042782-T01-IM6	8.47E-02	3.25E-01	3.78E-01	4.16E-01
P-0042819-T01-IM6	3.30E-02	4.76E-01	4.38E-01	5.25E-01
P-0043033-T02-IM6	1.92E-01	4.98E-01	4.20E-01	5.19E-01
P-0043071-T01-IM6	8.16E-01	4.53E-01	1.09E+00	1.50E-01
P-0043596-T01-IM6	1.05E+01	3.72E+00	1.34E+01	7.22E-01
P-0043613-T01-IM6	6.40E-02	7.88E-01	6.71E-01	7.43E-01
P-0043842-T01-IM6	2.76E+00	3.23E+00	3.39E+00	7.04E-02
P-0043909-T01-IM6	0.00E+00	4.60E-01	4.89E-01	5.54E-01
P-0043940-T01-IM6	1.66E-01	2.52E-01	3.48E-01	3.88E-01
P-0044312-T01-IM6	4.64E-02	2.98E-01	2.03E-01	3.15E-01
P-0044767-T01-IM6	1.49E-01	2.11E-01	1.96E-01	2.90E-01
P-0044790-T01-IM6	3.42E-01	2.52E+00	2.64E+00	5.79E-01
P-0044987-T01-IM6	2.30E-01	7.80E-01	6.41E-01	7.15E-01
P-0045120-T01-IM6	7.59E-01	3.94E-01	1.01E+00	0.00E+00
P-0045458-T01-IM6	6.44E+00	4.23E+00	1.00E+01	1.16E-01
P-0045533-T01-IM6	7.60E-02	4.35E-01	3.52E-01	5.39E-01
P-0045671-T01-IM6	1.68E-01	2.42E-01	2.43E-01	3.17E-01
P-0045738-T01-IM6	1.71E-01	7.09E-01	6.56E-01	5.11E-01
P-0045991-T01-IM6	0.00E+00	4.08E-01	2.28E-01	4.20E-01
P-0046448-T01-IM6	1.79E-01	4.30E-01	3.08E-01	3.12E-01
P-0046630-T01-IM6	1.20E-01	3.29E-01	2.66E-01	2.37E-01
P-0046754-T01-IM6	1.00E-02	4.86E-01	6.15E-01	4.66E-01
P-0046965-T01-IM6	3.03E+00	1.19E+00	3.03E+00	1.04E+00
P-0047374-T01-IM6	1.41E-02	6.55E-01	4.98E-01	6.19E-01
P-0047379-T01-IM6	1.59E-01	1.93E-01	1.00E-01	1.76E-01
P-0047653-T01-IM6	9.44E-01	3.79E-01	1.15E+00	2.21E-01
P-0047766-T01-IM6	0.00E+00	5.99E-01	3.82E-01	5.51E-01
P-0047768-T01-IM6	0.00E+00	6.10E-01	6.37E-01	3.24E-01
P-0047771-T01-IM6	1.31E+00	2.55E-01	1.36E+00	2.68E-01
P-0047974-T01-IM6	6.10E-01	4.05E-01	7.48E-01	3.71E-02
P-0048176-T01-IM6	1.78E-01	4.49E-01	4.45E-01	4.01E-01
P-0048238-T01-IM6	6.60E-02	3.37E-01	2.42E-01	3.76E-01
P-0048255-T01-IM6	1.64E-01	5.12E-01	5.17E-01	6.43E-01
P-0048289-T01-IM6	1.26E-01	4.93E-01	3.45E-01	3.89E-01
P-0048521-T01-IM6	1.97E-02	3.56E-01	2.79E-01	3.85E-01
P-0048589-T01-IM6	1.68E-01	1.83E-01	4.52E-01	4.52E-01
P-0048620-T01-IM6	1.58E-01	4.15E-01	3.54E-01	3.94E-01
P-0048757-T01-IM6	3.48E-01	7.43E-01	8.73E-01	1.55E-01
P-0048915-T01-IM6	7.43E-02	2.66E-01	4.31E-01	4.94E-01
P-0048984-T01-IM6	0.00E+00	4.24E-01	2.81E-01	4.34E-01
P-0049047-T01-IM6	3.16E+00	5.42E+00	7.49E+00	1.48E+00
P-0049073-T01-IM6	1.37E+00	5.57E-01	1.42E+00	8.17E-01
P-0049274-T01-IM6	6.83E-01	1.84E-01	6.32E-01	3.69E-01
P-0049291-T01-IM6	0.00E+00	4.09E-01	2.23E-01	4.22E-01
P-0049371-T01-IM6	8.23E-01	3.54E-01	9.84E-01	9.67E-02
P-0049473-T01-IM6	9.98E-02	3.87E-01	2.95E-01	3.45E-01
P-0049485-T01-IM6	2.33E-01	6.53E-01	6.73E-01	7.10E-01
P-0049760-T01-IM6	6.06E+00	4.14E+00	9.50E+00	4.69E-01
P-0049775-T01-IM6	2.58E-01	5.03E-01	4.19E-01	2.76E-01
P-0049788-T01-IM6	2.29E-01	9.55E-02	2.10E-01	1.25E-01
P-0049805-T01-IM6	4.93E-02	4.10E-01	3.63E-01	3.50E-01
P-0049931-T01-IM6	2.15E-01	4.53E-01	4.38E-01	5.46E-01
P-0050111-T01-IM6	2.28E-01	4.94E-01	3.75E-01	4.09E-01
P-0050149-T01-IM6	2.19E-01	4.29E-01	3.83E-01	4.42E-01
