Samples	SBS1	SBS5	SBS10a	SBS10b	SBS15	SBS20	SBS42	SBS54
P-0032496-T01-IM6	25	0	116	164	0	0	0	0
P-0032497-T01-IM6	5	16	0	0	0	0	0	0
P-0032548-T01-IM6	7	0	26	87	0	0	0	0
P-0032567-T01-IM6	22	5	0	0	0	0	14	0
P-0032761-T01-IM6	5	3	0	0	0	7	8	0
P-0032818-T01-IM6	25	0	25	202	0	0	0	0
P-0032990-T01-IM6	3	8	0	0	0	0	0	6
P-0032994-T01-IM6	18	8	0	0	0	0	14	0
P-0033016-T01-IM6	18	5	21	32	0	0	0	0
P-0033133-T01-IM6	18	0	0	0	127	0	0	0
P-0033467-T01-IM6	5	7	0	0	13	0	0	0
P-0033583-T01-IM6	5	6	0	0	6	5	0	0
P-0033682-T01-IM6	25	0	0	6	0	0	0	0
P-0034775-T01-IM6	3	7	0	0	0	0	5	0
P-0034862-T01-IM6	4	3	0	3	0	0	7	0
P-0034915-T01-IM6	73	57	24	0	97	68	0	0
P-0035146-T01-IM6	8	36	36	68	0	0	0	0
P-0035147-T01-IM6	4	0	45	57	0	0	0	0
P-0035281-T01-IM6	15	0	16	100	0	0	0	0
P-0035770-T01-IM6	22	0	140	196	0	0	0	0
P-0035790-T01-IM6	54	43	34	47	329	0	0	0
P-0036123-T01-IM6	33	0	19	124	0	0	0	0
P-0036230-T01-IM6	2	6	0	5	0	4	0	4
P-0036297-T01-IM6	16	0	38	67	0	0	0	0
P-0036505-T01-IM6	3	9	0	0	0	7	0	0
P-0036664-T01-IM6	0	0	0	0	16	0	0	5
P-0036740-T03-IM6	5	0	0	0	6	0	0	7
P-0036868-T01-IM6	6	11	0	0	0	0	0	0
P-0037690-T01-IM6	15	9	0	10	48	0	0	0
P-0037917-T01-IM6	3	5	0	0	0	0	0	0
P-0038016-T01-IM6	12	11	0	0	7	0	0	0
P-0038084-T01-IM6	29	15	0	0	0	0	0	0
P-0038304-T01-IM6	8	4	0	0	0	0	18	9
P-0038424-T01-IM6	25	18	0	0	14	0	0	0
P-0038520-T01-IM6	15	11	0	0	0	21	0	0
P-0038755-T01-IM6	7	1	8	30	0	0	0	0
P-0038944-T01-IM6	10	2	0	7	0	0	0	6
P-0039004-T01-IM6	4	0	0	0	19	0	0	0
P-0039054-T01-IM6	40	64	89	97	212	0	0	0
P-0039184-T01-IM6	8	0	0	0	10	0	0	0
P-0039231-T01-IM6	9	8	0	0	6	0	0	0
P-0039294-T01-IM6	11	8	0	0	0	0	10	0
P-0039466-T01-IM6	9	12	0	0	19	0	0	0
P-0039477-T01-IM6	20	1	0	0	8	0	0	0
P-0039599-T01-IM6	0	8	0	0	0	0	0	0
P-0039704-T01-IM6	19	0	141	201	0	0	0	0
P-0039773-T01-IM6	4	0	12	40	0	0	0	0
P-0039854-T01-IM6	10	17	0	4	0	0	0	0
P-0040023-T01-IM6	153	149	0	0	202	0	0	0
P-0040086-T01-IM6	7	10	34	32	0	0	0	0
P-0040149-T01-IM6	7	11	0	0	0	0	0	7
P-0040228-T01-IM6	10	14	0	0	0	0	0	0
P-0040284-T01-IM6	8	0	36	62	0	0	0	0
P-0040471-T01-IM6	3	11	0	0	0	13	0	0
P-0040549-T01-IM6	6	5	0	0	9	0	0	0
P-0040575-T01-IM6	25	3	0	6	10	0	0	0
P-0040701-T01-IM6	1	9	0	4	5	0	0	0
P-0040823-T01-IM6	1	26	0	0	13	0	0	14
P-0040828-T01-IM6	83	0	35	231	145	0	0	0
