Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0039477-T01-IM6	2.00E-02	4.04E-01	4.11E-01	5.08E-01	1.90E-01
P-0039599-T01-IM6	1.35E-01	1.89E-01	1.46E-01	1.47E-01	2.43E-01
P-0039704-T01-IM6	3.28E+00	3.53E+00	8.85E-01	6.47E-01	5.40E-01
P-0039773-T01-IM6	1.03E+00	1.09E+00	3.56E-01	1.42E-01	2.89E-01
P-0039854-T01-IM6	2.50E-01	4.22E-01	2.58E-01	5.36E-01	6.46E-01
P-0040023-T01-IM6	1.03E+00	5.09E+00	5.94E+00	7.63E+00	2.27E+00
P-0040086-T01-IM6	7.58E-01	7.82E-01	5.46E-01	2.84E-01	3.75E-01
P-0040149-T01-IM6	2.20E-01	2.76E-01	3.35E-01	3.82E-01	4.88E-01
P-0040228-T01-IM6	2.20E-01	3.28E-01	3.55E-01	4.47E-01	3.90E-01
P-0040284-T01-IM6	1.08E+00	1.24E+00	5.95E-01	2.88E-01	2.75E-01
P-0040471-T01-IM6	0.00E+00	5.60E-01	5.79E-01	5.17E-01	6.66E-01
P-0040549-T01-IM6	1.12E-01	2.46E-01	3.42E-01	4.19E-01	3.69E-01
P-0040575-T01-IM6	0.00E+00	6.98E-01	6.03E-01	8.44E-01	3.68E-01
P-0040701-T01-IM6	1.04E-01	2.88E-01	4.24E-01	2.48E-01	4.19E-01
P-0040823-T01-IM6	4.85E-02	5.27E-01	7.06E-01	6.07E-01	8.23E-01
P-0040828-T01-IM6	5.24E+00	7.89E+00	4.11E+00	5.94E+00	4.15E-01
P-0040884-T01-IM6	0.00E+00	3.24E-01	4.09E-01	3.88E-01	2.78E-01
P-0040892-T01-IM6	0.00E+00	5.96E-01	6.07E-01	5.58E-01	5.32E-01
P-0040992-T01-IM6	4.45E-02	5.22E-01	4.57E-01	6.52E-01	6.44E-01
P-0041146-T01-IM6	1.43E+00	1.59E+00	9.88E-01	5.99E-01	5.72E-01
P-0041318-T01-IM6	4.08E-01	4.41E-01	2.69E-01	2.93E-01	1.18E-01
P-0041346-T01-IM6	1.53E+00	1.57E+00	8.38E-01	2.89E-01	7.94E-01
P-0041347-T01-IM6	5.13E-02	2.28E-01	3.74E-01	3.16E-01	2.51E-01
P-0041596-T01-IM6	8.21E-02	4.84E-01	5.07E-01	5.07E-01	6.29E-01
P-0042199-T01-IM6	4.67E+00	6.53E+00	1.25E+00	2.81E+00	0.00E+00
P-0042256-T01-IM6	9.82E-01	1.03E+00	3.53E-01	1.95E-01	2.36E-01
P-0042508-T01-IM6	2.61E-02	1.97E-01	1.60E-01	2.35E-01	1.60E-01
P-0042644-T01-IM6	2.35E-01	4.04E-01	6.24E-01	5.18E-01	6.60E-01
P-0042702-T01-IM6	1.24E+00	1.36E+00	2.49E-01	2.45E-01	1.86E-01
P-0042762-T01-IM6	2.29E-01	6.94E-01	1.39E+00	4.49E-01	1.38E+00
P-0042782-T01-IM6	4.19E-02	3.21E-01	3.69E-01	3.19E-01	4.12E-01
P-0042819-T01-IM6	0.00E+00	5.43E-01	3.58E-01	5.72E-01	5.94E-01
P-0043033-T02-IM6	2.01E-01	3.85E-01	5.32E-01	5.81E-01	5.14E-01
P-0043071-T01-IM6	6.67E-01	9.39E-01	2.48E-01	3.86E-01	2.63E-01
P-0043596-T01-IM6	8.52E+00	1.09E+01	2.64E+00	3.58E+00	6.40E-01
P-0043613-T01-IM6	0.00E+00	7.50E-01	5.69E-01	7.74E-01	6.49E-01
P-0043842-T01-IM6	2.35E+00	4.15E+00	4.70E+00	5.24E+00	1.38E-01
P-0043909-T01-IM6	0.00E+00	4.78E-01	5.20E-01	4.69E-01	5.98E-01
P-0043940-T01-IM6	1.64E-01	3.51E-01	2.78E-01	3.41E-01	4.60E-01
P-0044312-T01-IM6	4.32E-02	3.72E-01	1.99E-01	3.42E-01	4.47E-01
P-0044767-T01-IM6	1.54E-01	1.44E-01	9.47E-02	1.99E-01	2.80E-01
P-0044790-T01-IM6	3.21E-01	2.33E+00	4.07E+00	4.15E+00	1.91E-01
P-0044987-T01-IM6	2.01E-01	1.00E+00	8.55E-01	9.71E-01	7.92E-01
P-0045120-T01-IM6	7.48E-01	8.26E-01	1.54E-01	2.69E-01	1.00E-02
P-0045458-T01-IM6	5.06E+00	8.03E+00	2.91E+00	4.46E+00	9.00E-02
P-0045533-T01-IM6	2.43E-02	3.41E-01	4.75E-01	3.45E-01	5.12E-01
P-0045671-T01-IM6	1.55E-01	2.03E-01	2.10E-01	2.39E-01	2.97E-01
P-0045738-T01-IM6	1.53E-01	3.81E-01	6.04E-01	4.18E-01	4.04E-01
P-0045991-T01-IM6	0.00E+00	3.44E-01	7.87E-02	4.44E-01	4.45E-01
P-0046448-T01-IM6	1.65E-01	5.68E-01	4.78E-01	7.40E-01	2.95E-01
P-0046630-T01-IM6	1.22E-01	6.86E-01	8.52E-01	1.02E+00	2.05E-01
P-0046754-T01-IM6	2.00E-02	2.83E-01	4.68E-01	3.63E-01	4.64E-01
P-0046965-T01-IM6	3.16E+00	3.51E+00	1.83E+00	7.60E-01	1.14E+00
P-0047374-T01-IM6	0.00E+00	8.43E-01	8.43E-01	9.84E-01	4.77E-01
P-0047379-T01-IM6	1.57E-01	1.14E-01	6.26E-02	1.81E-01	1.22E-01
P-0047653-T01-IM6	7.31E-01	9.38E-01	3.76E-01	3.14E-01	3.27E-01
P-0047766-T01-IM6	2.00E-02	6.86E-01	6.06E-01	8.59E-01	5.64E-01
