Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0003586-T01-IM5	12	0.48	18.353	152.942%	3.283	87.742%	1.58487	0.372
P-0003595-T01-IM5	8	0.362	13.007	162.588%	2.958	93.54%	2.32911	0.269
P-0003628-T01-IM5	13	0.18	22.81	175.462%	5.058	101.16%	2.8424	0.013
P-0003632-T01-IM5	19	0.63	25.712	135.326%	4.683	79.157%	1.28652	0.588
P-0003635-T02-IM5	5	0.473	7.658	153.16%	2.334	88.217%	1.78	0.441
P-0003640-T01-IM5	1	0.112	1.949	194.9%	1.0	100.0%	3.67787	0.074
P-0003666-T01-IM5	9	0.42	14.224	158.044%	2.732	91.067%	2.21567	0.309
P-0003670-T01-IM5	1	0.214	1.926	192.6%	0.978	97.8%	3.29489	0.191
P-0003709-T01-IM5	6	0.437	10.478	174.633%	2.564	90.651%	2.16301	0.402
P-0003712-T01-IM5	4	0.454	6.92	173.0%	1.809	90.45%	2.13276	0.441
P-0003714-T01-IM5	1	0.349	1.879	187.9%	0.953	95.3%	2.80448	0.36
P-0003715-T01-IM5	13	0.502	19.609	150.838%	3.571	86.609%	1.74615	0.411
P-0003716-T01-IM5	5	0.236	9.241	184.82%	2.182	97.582%	2.70209	0.108
P-0003722-T01-IM5	12	0.467	18.96	158.0%	3.76	88.624%	1.68826	0.388
P-0003730-T01-IM5	1	0.427	1.852	185.2%	0.939	93.9%	2.6045	0.456
P-0003732-T01-IM5	5	0.27	8.869	177.38%	2.178	97.403%	3.06804	0.179
P-0003734-T01-IM5	18	0.62	23.083	128.239%	3.681	78.479%	1.34726	0.522
P-0003738-T02-IM5	5	0.621	7.439	148.78%	2.136	80.733%	1.40817	0.61
P-0003750-T01-IM5	2	0.145	3.858	192.9%	1.407	99.49%	3.4158	0.075
P-0003752-T03-IM5	7	0.451	11.104	158.629%	2.361	89.237%	2.05152	0.376
P-0003773-T01-IM5	3	0.367	5.366	178.867%	1.617	93.358%	2.65928	0.332
P-0003782-T01-IM5	3	0.454	4.934	164.467%	1.547	89.316%	2.40788	0.426
P-0003785-T01-IM5	9	0.36	14.563	161.811%	3.128	94.313%	2.51933	0.258
P-0003854-T02-IM5	11	0.464	17.118	155.618%	3.194	88.586%	1.71424	0.363
P-0003861-T01-IM5	3	0.172	5.702	190.067%	1.718	99.189%	3.6443	0.082
P-0003863-T01-IM5	7	0.499	10.858	155.114%	2.876	86.715%	1.97126	0.461
P-0003869-T01-IM5	57	0.853	49.721	87.23%	8.132	54.456%	0.63636	0.832
P-0003879-T01-IM5	5	0.271	8.865	177.3%	2.177	97.358%	2.63365	0.18
P-0003913-T01-IM3	2	0.543	3.305	165.25%	1.229	86.903%	1.80768	0.542
P-0003923-T01-IM5	9	0.429	14.448	160.533%	2.711	90.367%	1.96165	0.317
P-0003937-T02-IM5	10	0.495	14.458	144.58%	3.01	86.891%	1.83864	0.416
P-0003964-T01-IM3	8	0.451	13.225	165.312%	3.353	89.613%	2.25322	0.409
P-0003967-T01-IM5	5	0.175	9.437	188.74%	2.226	99.55%	3.01829	0.019
P-0003970-T01-IM5	2	0.276	3.768	188.4%	1.363	96.379%	2.85218	0.245
P-0004020-T01-IM5	5	0.288	9.276	185.52%	2.533	95.738%	2.69473	0.219
P-0004030-T01-IM5	21	0.644	26.851	127.862%	4.595	77.67%	1.29045	0.589
P-0004045-T01-IM3	5	0.528	7.438	148.76%	2.263	85.533%	1.63841	0.504
P-0004054-T01-IM5	11	0.357	18.064	164.218%	3.136	94.554%	2.05949	0.185
P-0004065-T01-IM5	34	0.716	35.15	103.382%	5.596	69.95%	0.86344	0.634
P-0004066-T02-IM5	3	0.237	5.444	181.467%	1.704	98.38%	3.58824	0.179
P-0004067-T01-IM5	9	0.297	15.89	176.556%	3.186	96.062%	2.23678	0.153
P-0004074-T01-IM5	13	0.562	17.558	135.062%	3.412	82.753%	1.40802	0.486
P-0004087-T01-IM5	16	0.606	21.021	131.381%	3.735	79.63%	1.51829	0.531
P-0004091-T01-IM5	3	0.102	5.848	194.933%	1.742	100.574%	3.75056	-0.034
P-0004094-T02-IM6	6	0.704	8.028	133.8%	2.408	76.148%	1.19241	0.705
P-0004099-T01-IM5	14	0.428	21.969	156.921%	4.058	90.74%	1.9655	0.309
P-0004103-T01-IM5	1	0.149	1.948	194.8%	0.989	98.9%	3.65325	0.111
P-0004105-T01-IM5	4	0.154	7.559	188.975%	2.018	100.9%	3.43306	0.047
P-0004108-T01-IM5	1	0.066	1.977	197.7%	1.004	100.4%	4.47763	0.007
P-0004110-T01-IM5	4	0.423	6.826	170.65%	1.818	90.9%	2.06206	0.383
P-0004113-T01-IM5	2	0.32	3.731	186.55%	1.349	95.389%	2.70527	0.307
P-0004114-T01-IM5	44	0.674	45.505	103.42%	6.689	73.868%	0.87755	0.527
P-0004117-T01-IM5	3	0.033	5.951	198.367%	1.771	102.249%	4.89174	-0.134
P-0004123-T01-IM5	3	0.221	5.601	186.7%	1.695	97.861%	3.2914	0.147
P-0004124-T01-IM5	9	0.557	13.584	150.933%	2.786	84.001%	1.6577	0.516
P-0004129-T02-IM5	6	0.53	9.76	162.667%	2.122	86.63%	1.74742	0.518
P-0004131-T01-IM5	7	0.413	11.629	166.129%	2.41	91.089%	2.10318	0.325
P-0004146-T01-IM5	14	0.755	16.113	115.093%	3.566	67.391%	1.22087	0.737
