Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0044791-T01-IM6	41	0.919	31.489	76.802%	6.079	39.655%	0.97244	0.912
P-0044805-T01-IM6	31	0.916	23.167	74.732%	4.186	40.095%	0.80907	0.908
P-0044833-T01-IM6	59	0.946	33.961	57.561%	5.919	32.732%	0.58388	0.939
P-0044858-T01-IM6	29	0.882	25.792	88.938%	4.903	47.399%	0.85574	0.871
P-0045009-T01-IM6	26	0.905	19.158	73.685%	3.999	43.122%	0.99414	0.896
P-0045111-T01-IM6	51	0.919	34.639	67.92%	5.322	39.341%	0.54147	0.905
P-0045223-T01-IM6	21	0.781	18.876	89.886%	3.662	63.747%	1.22979	0.742
P-0045253-T01-IM6	38	0.701	42.293	111.297%	8.842	71.718%	0.98009	0.661
P-0045320-T01-IM6	30	0.924	19.021	63.403%	3.791	38.295%	0.70035	0.915
P-0045366-T01-IM6	33	0.866	30.779	93.27%	4.637	50.295%	1.02186	0.844
P-0045460-T01-IM6	29	0.716	32.994	113.772%	5.365	69.846%	1.06153	0.654
P-0045471-T01-IM6	23	0.778	26.117	113.552%	4.877	63.493%	1.44137	0.752
P-0045547-T01-IM6	18	0.795	18.023	100.128%	3.325	60.706%	1.07331	0.765
P-0045569-T01-IM6	68	0.944	44.825	65.919%	7.122	33.063%	0.57267	0.937
P-0045713-T01-IM6	21	0.799	20.963	99.824%	4.706	63.456%	1.44583	0.78
P-0045823-T01-IM6	38	0.857	31.181	82.055%	6.539	53.391%	0.83875	0.842
P-0045984-T01-IM6	54	0.926	36.383	67.376%	7.328	37.994%	0.51718	0.919
P-0046035-T01-IM6	26	0.657	32.879	126.458%	7.096	75.644%	1.21812	0.619
P-0046229-T01-IM6	31	0.781	32.481	104.777%	5.626	62.511%	1.27213	0.745
P-0046266-T01-IM6	41	0.836	36.307	88.554%	5.59	55.08%	0.7981	0.798
P-0046311-T01-IM6	28	0.922	18.423	65.796%	3.407	39.081%	0.80844	0.913
P-0046312-T01-IM6	37	0.971	17.637	47.668%	4.059	24.748%	0.75951	0.969
P-0046394-T01-IM6	35	0.907	26.992	77.12%	5.251	42.177%	0.76755	0.898
P-0046492-T01-IM6	35	0.923	21.425	61.214%	4.41	39.444%	0.84091	0.914
P-0046698-T01-IM6	101	0.951	57.109	56.544%	10.321	30.909%	0.38328	0.946
P-0046738-T01-IM6	24	0.949	14.258	59.408%	3.067	32.694%	0.56485	0.945
P-0046739-T01-IM6	46	0.876	35.951	78.154%	7.698	48.493%	0.60974	0.863
P-0046759-T01-IM6	40	0.89	36.0	90.0%	6.384	45.6%	0.97648	0.879
P-0046843-T01-IM6	71	0.926	43.94	61.887%	8.481	39.33%	0.52474	0.916
