Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0008729-T01-IM5	4.47E-01	6.09E-01	5.07E-01	2.65E-01	6.03E-01	4.01E-01
P-0008745-T01-IM5	4.41E-01	4.84E-01	2.88E-01	0.00E+00	2.45E-01	1.70E-01
P-0008746-T01-IM5	4.33E-01	5.62E-01	4.48E-01	2.52E-01	3.89E-01	5.96E-01
P-0009157-T01-IM5	3.44E-01	5.39E-01	4.41E-01	5.91E-02	6.24E-01	4.56E-01
P-0009830-T01-IM5	3.81E-01	3.90E-01	3.93E-01	8.89E-02	5.00E-01	5.23E-01
P-0009964-T01-IM5	3.50E-01	3.01E-01	4.33E-01	8.12E-02	4.61E-01	4.22E-01
P-0010167-T01-IM5	3.56E-01	4.16E-01	3.91E-01	0.00E+00	4.74E-01	5.32E-01
P-0010275-T01-IM5	6.57E-01	6.52E-01	3.92E-01	3.00E-02	4.70E-01	3.59E-01
P-0010308-T01-IM5	3.66E-01	3.48E-01	3.73E-01	1.23E-01	3.68E-01	4.20E-01
P-0010499-T01-IM5	3.80E-01	7.32E-01	2.79E+00	2.57E+00	4.54E-01	7.50E-01
P-0010587-T01-IM5	5.47E-01	4.24E-01	5.63E-01	2.64E-01	5.80E-01	4.25E-01
P-0010680-T02-IM6	2.50E-01	6.39E-01	8.98E-01	2.34E-01	8.91E-01	4.78E-01
P-0010783-T01-IM5	6.17E-01	4.89E-01	4.25E-01	0.00E+00	5.41E-01	6.07E-01
P-0010798-T01-IM5	2.54E-01	3.25E-01	3.08E-01	1.71E-02	4.41E-01	3.71E-01
P-0010929-T01-IM5	4.52E-01	4.43E-01	2.90E-01	1.62E-01	2.82E-01	3.44E-01
P-0011068-T01-IM5	3.70E-01	4.54E-01	3.13E-01	1.41E-02	3.33E-01	2.99E-01
P-0011071-T01-IM5	6.26E-01	7.90E-01	7.56E-01	2.67E-01	6.38E-01	6.51E-01
P-0011226-T01-IM5	6.99E-01	8.03E-01	5.70E-01	0.00E+00	5.90E-01	3.22E-01
P-0011235-T01-IM5	3.04E-01	2.74E-01	3.64E-01	2.23E-02	3.73E-01	2.99E-01
P-0011324-T01-IM5	5.85E-01	5.02E-01	4.63E-01	0.00E+00	2.98E-01	1.11E-01
P-0011357-T01-IM5	5.74E-01	9.82E-01	3.22E+00	2.88E+00	3.55E-01	1.19E-01
P-0012115-T01-IM5	4.50E-01	5.54E-01	2.79E-01	1.18E-01	2.52E-01	3.31E-01
P-0012249-T01-IM5	4.71E-01	5.21E-01	3.41E-01	1.00E-02	4.49E-01	1.92E-01
P-0012313-T01-IM5	5.33E-01	5.70E-01	5.76E-01	2.09E-01	5.13E-01	5.13E-01
P-0012402-T01-IM5	7.75E-01	1.26E+00	3.68E+00	3.59E+00	9.58E-01	9.36E-01
P-0013010-T01-IM5	7.01E-01	6.68E-01	6.36E-01	0.00E+00	7.26E-01	5.65E-01
P-0013082-T01-IM5	6.47E-01	7.71E-01	6.22E-01	8.53E-02	5.77E-01	2.51E-01
P-0013227-T01-IM5	2.68E-01	4.45E-01	6.21E-01	6.29E-02	6.37E-01	7.37E-01
P-0013357-T01-IM5	4.47E-01	4.58E-01	4.76E-01	1.56E-01	4.97E-01	4.54E-01
P-0013374-T01-IM5	9.34E-01	9.59E-01	4.82E-01	0.00E+00	3.69E-01	4.12E-01
P-0013400-T01-IM5	5.92E-01	4.08E-01	4.45E-01	0.00E+00	2.30E-01	2.40E-01
P-0013462-T01-IM5	2.56E-01	2.34E-01	4.52E-01	8.18E-02	4.70E-01	5.73E-01
P-0013492-T01-IM5	4.82E-01	5.89E-01	4.88E-01	0.00E+00	6.26E-01	4.30E-01
P-0013876-T01-IM5	5.58E-01	6.59E-01	5.11E-01	1.47E-01	4.96E-01	5.72E-01
P-0013981-T01-IM5	5.29E-01	5.78E-01	6.83E-01	9.86E-02	6.42E-01	5.79E-01
P-0014143-T01-IM5	4.63E-01	5.62E-01	5.22E-01	6.60E-02	6.15E-01	4.86E-01
P-0014258-T01-IM6	6.37E-01	1.08E+00	9.93E-01	1.73E-01	1.07E+00	9.94E-01
P-0014616-T01-IM6	5.43E-01	5.03E-01	3.25E-01	0.00E+00	3.34E-01	2.67E-01
P-0014787-T01-IM6	4.36E-01	3.36E-01	4.64E-01	2.79E-01	6.37E-01	5.28E-01
P-0014994-T01-IM6	5.60E-01	6.67E-01	4.88E-01	1.97E-02	5.14E-01	3.54E-01
P-0015237-T01-IM6	4.17E-01	7.11E-01	5.90E-01	2.45E-01	6.76E-01	4.16E-01
P-0015252-T01-IM6	5.09E-01	5.39E-01	2.73E-01	4.11E-02	1.95E-01	2.07E-01
P-0015416-T01-IM6	6.97E-01	7.86E-01	5.90E-01	0.00E+00	6.12E-01	6.36E-01
P-0015536-T01-IM6	4.91E-01	4.97E-01	5.74E-01	2.19E-01	6.20E-01	6.03E-01
P-0015699-T01-IM6	2.25E-01	7.39E-01	7.38E-01	1.70E-01	7.21E-01	7.14E-01
P-0015851-T01-IM6	4.48E-01	4.01E-01	3.41E-01	0.00E+00	3.94E-01	3.05E-01
P-0016314-T01-IM6	7.55E-01	1.06E+00	1.14E+00	1.33E-01	1.44E+00	1.36E+00
P-0016522-T01-IM6	5.24E-01	5.96E-01	3.59E-01	6.37E-02	3.57E-01	1.75E-01
P-0016890-T01-IM6	4.99E-01	6.52E-01	6.32E-01	1.80E-01	7.50E-01	5.49E-01
P-0017583-T01-IM5	2.51E-01	4.76E-01	4.54E-01	1.36E-01	4.59E-01	4.86E-01
P-0017664-T01-IM5	1.58E-01	2.39E-02	1.64E-01	0.00E+00	1.64E-01	1.65E-01
P-0017697-T01-IM6	7.73E-01	8.28E-01	7.72E-01	0.00E+00	8.90E-01	7.38E-01
P-0017839-T01-IM6	5.56E-01	4.81E-01	6.05E-01	1.61E-01	4.22E-01	1.36E-01
P-0017925-T01-IM6	4.84E-01	6.70E-01	5.73E-01	4.11E-02	7.95E-01	6.46E-01
P-0017986-T02-IM6	6.23E-01	9.81E-01	7.34E-01	1.79E-01	9.27E-01	3.95E-01
P-0017995-T01-IM6	5.92E-01	6.41E-01	5.55E-01	9.73E-02	6.06E-01	4.15E-01
P-0018374-T01-IM6	5.64E-01	5.76E-01	3.45E-01	1.94E-01	3.99E-01	3.31E-01
P-0018436-T01-IM6	2.77E-01	2.15E-01	2.20E-01	0.00E+00	2.26E-01	2.26E-01
P-0018437-T01-IM6	5.08E-01	6.31E-01	5.08E-01	0.00E+00	6.47E-01	6.57E-01
P-0018841-T01-IM6	1.96E-01	8.09E-01	7.74E-01	0.00E+00	6.71E-01	1.03E+00
P-0019183-T01-IM6	1.68E-01	2.22E-01	1.54E-01	1.75E-01	1.51E-01	1.05E-01
P-0019428-T01-IM6	5.31E-01	5.60E-01	3.98E-01	8.92E-02	5.13E-01	4.66E-01
P-0019464-T01-IM6	8.77E-01	8.85E-01	6.59E-01	2.42E-01	1.05E+00	8.75E-01
P-0019475-T01-IM6	7.18E-01	9.87E-01	9.60E-01	1.00E-02	1.07E+00	9.20E-01
P-0019846-T01-IM6	4.17E-01	4.56E-01	4.82E-01	3.43E-02	4.83E-01	4.70E-01
P-0019949-T01-IM6	4.64E-01	3.67E-01	2.54E-01	2.36E-01	1.97E-01	2.79E-01
P-0020143-T01-IM6	5.76E-01	4.49E-01	6.28E-01	1.41E-01	5.98E-01	6.91E-01
P-0020144-T01-IM6	3.57E-01	2.80E-01	3.41E-01	1.53E-01	3.78E-01	2.69E-01
P-0020221-T01-IM6	5.91E-01	5.71E-01	5.30E-01	0.00E+00	6.23E-01	6.21E-01
P-0020330-T01-IM6	7.35E-01	9.12E-01	1.12E+00	3.17E-01	9.41E-01	1.06E+00
P-0020331-T01-IM6	8.39E-01	9.26E-01	9.73E-01	1.83E-01	9.08E-01	9.05E-01
P-0020399-T01-IM6	4.84E-01	4.00E-01	4.53E-01	9.04E-02	5.84E-01	6.12E-01
P-0020431-T01-IM6	3.96E-01	3.45E-01	2.72E-01	2.00E-02	3.32E-01	2.38E-01
P-0020473-T01-IM6	6.44E-01	9.24E-01	3.58E+00	3.07E+00	2.77E-01	1.69E-01
P-0020689-T01-IM6	7.81E-01	4.82E-01	7.16E-01	2.31E-01	6.42E-01	5.79E-01
P-0020748-T01-IM6	3.30E-01	2.44E-01	2.96E-01	1.73E-01	2.68E-01	1.43E-01
P-0020834-T01-IM6	2.16E-01	3.43E-01	3.00E-01	1.88E-01	3.66E-01	3.26E-01
P-0021049-T01-IM6	5.73E-01	4.30E-01	4.88E-01	0.00E+00	4.40E-01	4.75E-01
P-0021090-T01-IM6	1.05E+00	1.19E+00	4.64E+00	3.82E+00	3.55E-01	5.03E-01
P-0021154-T01-IM6	3.12E-01	4.55E-01	4.00E-01	4.85E-02	5.70E-01	5.85E-01
P-0021292-T01-IM6	5.19E-01	5.17E-01	5.15E-01	0.00E+00	4.68E-01	3.63E-01
P-0021304-T01-IM6	7.70E-01	7.67E-01	5.51E-01	1.64E-01	4.07E-01	3.55E-01
P-0021346-T01-IM6	5.23E-01	5.02E-01	3.06E-01	5.03E-02	2.92E-01	1.91E-01
P-0021393-T01-IM6	8.54E-01	1.00E+00	6.40E-01	0.00E+00	7.62E-01	4.40E-01
P-0021744-T01-IM6	8.52E-01	7.92E-01	7.80E-01	0.00E+00	7.58E-01	7.74E-01
P-0022111-T01-IM6	7.33E-01	1.05E+00	8.99E-01	3.00E-02	8.80E-01	7.46E-01
P-0022508-T01-IM6	2.95E-01	1.98E-01	1.77E-01	0.00E+00	2.77E-01	2.56E-01
P-0023162-T01-IM6	2.94E-01	3.65E-01	4.31E-01	0.00E+00	4.85E-01	4.74E-01
P-0023271-T01-IM6	9.72E-01	1.56E+00	5.50E+00	4.89E+00	9.86E-01	9.82E-01
P-0023272-T01-IM6	6.98E-01	6.95E-01	5.40E-01	2.91E-01	6.15E-01	6.22E-01
P-0023551-T01-IM6	6.25E-01	5.55E-01	5.46E-01	0.00E+00	1.04E+00	8.30E-01
P-0023639-T01-IM6	5.85E-01	6.21E-01	4.35E-01	2.67E-01	4.94E-01	4.65E-01
P-0024928-T01-IM6	3.98E-01	5.09E-01	3.56E-01	2.93E-02	3.66E-01	3.05E-01
P-0024973-T01-IM6	4.54E-01	2.20E-01	5.82E-01	3.30E-02	6.71E-01	5.58E-01
P-0025047-T01-IM6	5.69E-01	6.87E-01	9.15E-01	1.29E-01	8.12E-01	9.49E-01
P-0025073-T01-IM6	4.65E-01	5.51E-01	3.94E-01	1.95E-01	4.13E-01	4.72E-01
P-0025215-T01-IM6	5.31E-01	6.33E-01	5.34E-01	1.65E-01	5.96E-01	6.50E-01
P-0025695-T01-IM6	6.13E-01	7.44E-01	5.42E-01	4.00E-02	5.16E-01	1.73E-01
P-0025715-T01-IM6	4.24E-01	6.82E-01	5.62E-01	0.00E+00	6.64E-01	5.27E-01
P-0025883-T01-IM6	6.75E-01	7.28E-01	6.90E-01	1.90E-01	7.97E-01	6.83E-01
P-0026197-T01-IM6	4.87E-01	8.60E-01	8.81E-01	4.32E-02	8.99E-01	1.06E+00
P-0026480-T01-IM6	5.45E-01	1.01E+00	1.03E+00	6.31E-02	1.12E+00	8.17E-01
P-0026678-T01-IM6	7.08E-01	7.27E-01	5.10E-01	6.42E-02	4.20E-01	2.54E-01
P-0026683-T01-IM6	8.18E-01	5.99E-01	6.78E-01	1.60E-01	6.26E-01	8.02E-01
P-0026908-T01-IM6	3.47E-01	4.76E-01	5.24E-01	1.49E-01	4.60E-01	4.93E-01
P-0026962-T01-IM6	3.79E-01	4.98E-01	3.73E-01	2.80E-01	4.42E-01	4.33E-01
P-0027324-T01-IM6	6.86E-01	7.94E-01	5.51E-01	2.71E-01	5.19E-01	3.13E-01
P-0027335-T01-IM6	6.90E-01	6.81E-01	5.22E-01	2.00E-02	5.30E-01	4.17E-01
P-0027375-T01-IM6	3.84E-01	5.48E-01	3.74E-01	3.20E-01	5.55E-01	4.72E-01
P-0027438-T01-IM6	4.28E-01	5.97E-01	5.82E-01	1.27E-01	4.83E-01	5.92E-01
P-0027740-T01-IM6	1.24E+00	1.29E+00	6.18E-01	1.92E-01	4.93E-01	3.86E-01
P-0027858-T01-IM6	7.33E-01	1.02E+00	1.06E+00	8.11E-02	9.76E-01	7.30E-01
P-0027929-T01-IM6	1.62E+00	3.09E+00	3.03E+00	4.68E-01	3.12E+00	2.23E+00
P-0028069-T01-IM6	4.74E-01	5.99E-01	3.75E-01	1.40E-01	6.74E-01	4.95E-01
P-0028266-T01-IM6	8.68E-01	1.02E+00	9.20E-01	0.00E+00	5.71E-01	6.71E-01
