Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0033852-T01-IM6	11	0	11	1	16	0
P-0034090-T01-IM6	0	9	4	0	2	4
P-0034401-T01-IM6	12	4	0	0	7	1
P-0034935-T01-IM6	0	3	0	0	5	5
P-0034950-T01-IM6	16	12	3	0	8	0
P-0035033-T01-IM6	3	6	0	0	0	1
P-0035100-T01-IM6	21	2	0	0	9	1
P-0035103-T01-IM6	7	10	2	114	0	0
P-0035437-T01-IM6	5	1	27	3	6	6
P-0035452-T01-IM6	16	12	14	0	17	7
P-0035693-T01-IM6	2	2	17	0	0	0
P-0035742-T01-IM6	0	2	14	7	0	0
P-0035755-T01-IM6	13	12	0	0	9	13
P-0035916-T01-IM6	12	5	6	3	0	16
P-0036028-T01-IM6	10	22	0	3	11	0
P-0036050-T01-IM6	12	19	10	1	0	0
P-0036309-T01-IM6	13	5	4	1	10	6
P-0036334-T01-IM6	21	15	4	2	4	5
P-0036369-T01-IM6	12	16	13	2	2	8
P-0036380-T01-IM6	3	5	15	2	7	0
P-0036500-T01-IM6	24	18	18	1	0	0
P-0036503-T01-IM6	0	17	71	52	0	0
P-0036831-T01-IM6	12	6	13	1	1	10
P-0036852-T01-IM6	14	8	8	5	11	13
P-0036924-T01-IM6	7	0	1	0	3	34
P-0037227-T01-IM6	13	0	0	0	8	11
P-0037246-T01-IM6	7	11	2	3	0	3
P-0037410-T01-IM6	6	24	5	1	14	16
P-0037531-T01-IM6	0	8	0	82	0	20
P-0037582-T01-IM6	15	9	4	0	1	2
P-0037838-T02-IM6	12	5	0	1	11	2
P-0037867-T01-IM6	7	6	17	1	14	0
P-0037875-T01-IM6	5	7	18	0	9	6
P-0037898-T01-IM6	0	22	33	161	0	0
P-0038159-T01-IM6	18	0	0	0	6	9
P-0038378-T01-IM6	10	5	3	0	2	16
P-0038553-T01-IM6	7	25	11	0	5	17
P-0038612-T02-IM6	4	11	2	0	6	4
P-0038638-T01-IM6	6	0	8	0	14	0
P-0038880-T01-IM6	47	2	18	1	2	4
P-0038908-T01-IM6	6	0	2	1	7	5
P-0039283-T01-IM6	53	21	33	3	2	4
P-0039441-T01-IM6	9	6	2	0	10	4
P-0039443-T01-IM6	21	12	12	0	1	4
P-0039589-T01-IM6	31	30	0	14	48	6
P-0039800-T01-IM6	18	11	0	0	1	0
P-0039938-T01-IM6	19	15	1	3	18	2
P-0039999-T01-IM6	14	3	0	0	8	23
P-0040021-T01-IM6	13	1	2	3	9	5
P-0040107-T01-IM6	16	14	0	0	6	8
P-0040121-T01-IM6	8	6	8	3	3	22
P-0040182-T01-IM6	6	12	0	1	17	5
P-0040250-T01-IM6	16	24	0	1	0	0
P-0040355-T01-IM6	10	6	2	0	0	12
P-0040373-T01-IM6	9	11	14	0	1	16
P-0040484-T01-IM6	8	9	3	0	3	0
P-0040678-T01-IM6	32	11	0	1	4	1
P-0040787-T01-IM6	4	14	0	153	0	2
P-0041005-T01-IM6	14	23	2	1	21	12
P-0041144-T01-IM6	19	11	12	0	12	4
P-0041213-T01-IM6	10	8	4	0	4	0
P-0041436-T01-IM6	17	12	0	0	8	11
P-0041542-T01-IM6	3	5	12	1	0	0
P-0041648-T01-IM6	39	5	10	3	12	0
P-0041855-T01-IM6	24	11	4	2	35	3
P-0041986-T01-IM6	27	2	9	0	9	7
P-0042503-T01-IM6	11	5	0	1	12	11
