Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0004687-T01-IM5	32	0.639	38.48	120.25%	5.236	78.936%	1.21096	0.493
P-0004693-T01-IM5	10	0.361	16.901	169.01%	2.956	93.477%	2.23555	0.19
P-0004695-T01-IM5	6	0.879	3.648	60.8%	1.51	47.75%	5.80976	0.874
P-0004696-T01-IM5	4	0.65	4.7	117.5%	1.519	75.95%	2.17813	0.631
P-0004699-T01-IM5	15	0.44	23.334	155.56%	3.486	90.008%	1.81689	0.229
P-0004709-T01-IM5	5	0.371	8.513	170.26%	2.077	92.886%	2.30426	0.302
P-0004714-T01-IM5	13	0.581	18.872	145.169%	3.549	81.42%	1.72452	0.52
P-0004718-T01-IM5	4	0.284	7.4	185.0%	1.918	95.9%	2.85141	0.202
P-0004725-T01-IM5	2	0.288	3.215	160.75%	1.464	103.52%	4.76188	0.266
P-0004729-T02-IM6	6	0.452	9.475	157.917%	2.186	89.243%	2.18109	0.389
P-0004739-T02-IM6	4	0.37	6.247	156.175%	2.494	101.817%	4.4269	0.348
P-0004743-T01-IM5	3	0.19	5.742	191.4%	1.702	98.265%	3.25766	0.085
P-0004747-T01-IM5	1	0.066	1.976	197.6%	1.005	100.5%	4.4064	0.012
P-0004752-T03-IM6	1	0.048	1.987	198.7%	1.002	100.2%	5.06582	-0.05
P-0004759-T01-IM5	1	0.17	1.937	193.7%	0.986	98.6%	3.45468	0.137
P-0004790-T01-IM5	6	0.785	5.377	89.617%	1.788	63.215%	1.17896	0.774
P-0004802-T01-IM5	10	0.449	16.005	160.05%	3.101	89.518%	2.50757	0.357
P-0004847-T01-IM5	2	0.23	3.83	191.5%	1.378	97.439%	3.16226	0.189
P-0004858-T02-IM5	7	0.408	11.786	168.371%	2.744	91.467%	2.05531	0.345
P-0004860-T01-IM5	12	0.396	18.313	152.608%	3.34	96.417%	2.30293	0.267
P-0004861-T01-IM5	7	0.384	11.928	170.4%	2.774	92.467%	2.19736	0.315
P-0004863-T01-IM5	39	0.68	40.473	103.777%	6.202	73.604%	0.95949	0.558
P-0004873-T01-IM5	9	0.628	11.261	125.122%	2.335	77.833%	1.47808	0.576
P-0004875-T01-IM5	10	0.46	15.93	159.3%	2.809	88.828%	1.97251	0.347
P-0004878-T01-IM5	1	0.159	1.958	195.8%	0.988	98.8%	3.873	0.128
P-0004882-T01-IM5	4	0.145	7.698	192.45%	1.993	99.65%	3.4256	-0.024
P-0004890-T01-IM5	11	0.397	18.728	170.255%	3.31	91.803%	2.00056	0.259
P-0004891-T01-IM5	11	0.425	17.556	159.6%	3.268	90.638%	1.82012	0.306
P-0004927-T01-IM5	4	0.595	4.335	108.375%	1.77	88.5%	1.92981	0.576
P-0004934-T01-IM5	14	0.579	19.858	141.843%	3.268	81.7%	1.3964	0.49
P-0004961-T02-IM5	4	0.251	7.32	183.0%	1.944	97.2%	3.06253	0.164
P-0004988-T01-IM5	9	0.422	14.566	161.844%	2.721	90.7%	2.03447	0.307
P-0004990-T01-IM5	7	0.139	13.345	190.643%	3.013	100.433%	3.23338	-0.077
P-0004995-T01-IM5	3	0.499	4.078	135.933%	1.522	87.873%	2.5319	0.476
P-0005017-T02-IM5	3	0.451	5.076	169.2%	1.557	89.893%	2.7797	0.427
P-0005020-T01-IM5	3	0.184	5.793	193.1%	2.198	98.298%	3.38259	0.125
P-0005024-T01-IM5	6	0.503	8.031	133.85%	2.251	91.897%	2.77908	0.462
P-0005034-T01-IM5	6	0.589	6.834	113.9%	2.216	90.468%	2.62437	0.561
P-0005048-T01-IM5	3	0.504	3.941	131.367%	1.553	89.662%	2.87096	0.483
P-0005059-T01-IM5	4	0.43	6.201	155.025%	1.816	90.8%	2.60978	0.388
P-0005063-T01-IM5	1	0.481	1.4	140.0%	0.888	88.8%	1.20394	0.473
P-0005069-T01-IM5	2	0.136	3.857	192.85%	1.412	99.843%	3.99191	0.069
P-0005080-T01-IM5	35	0.65	38.807	110.877%	5.836	75.978%	1.04839	0.514
P-0005094-T01-IM5	3	0.043	5.941	198.033%	1.759	101.556%	4.70646	-0.154
P-0005114-T03-IM6	7	0.311	11.555	165.071%	2.641	99.82%	2.8411	0.223
P-0005123-T01-IM5	7	0.411	11.171	159.586%	2.421	91.505%	2.1201	0.327
P-0005148-T01-IM5	8	0.638	9.588	119.85%	2.69	77.654%	2.27378	0.611
P-0005170-T01-IM5	4	0.361	7.014	175.35%	1.865	93.25%	2.59729	0.305
P-0005173-T01-IM5	14	0.416	23.006	164.329%	3.644	91.1%	1.86784	0.237
P-0005178-T01-IM5	4	0.47	6.303	157.575%	2.163	88.304%	2.02661	0.445
P-0005179-T01-IM5	12	0.424	18.959	157.992%	4.052	90.605%	1.76315	0.337
P-0005190-T01-IM5	3	0.303	5.54	184.667%	1.653	95.436%	2.94266	0.255
P-0005191-T01-IM5	9	0.376	15.234	169.267%	2.782	92.733%	2.25323	0.232
P-0005194-T01-IM5	15	0.553	20.393	135.953%	3.64	83.507%	1.37054	0.458
P-0005198-T01-IM5	2	0.069	3.949	197.45%	1.42	100.409%	4.62745	-0.071
P-0005259-T01-IM5	3	0.554	3.564	118.8%	1.493	86.198%	3.37622	0.536
P-0005261-T01-IM5	9	0.541	13.666	151.844%	3.513	85.203%	1.759	0.514
P-0005264-T03-IM6	6	0.696	5.995	99.917%	2.231	78.878%	7.86854	0.681
P-0005277-T02-IM5	4	0.384	5.963	149.075%	2.182	109.1%	4.85271	0.356
P-0005282-T01-IM5	13	0.46	20.179	155.223%	3.668	88.962%	1.93185	0.351
P-0005286-T01-IM5	2	0.241	3.822	191.1%	1.375	97.227%	3.11071	0.208
P-0005289-T01-IM5	10	0.408	17.143	171.43%	3.164	91.337%	2.03512	0.297
P-0005295-T01-IM5	4	0.145	7.697	192.425%	1.993	99.65%	3.7394	-0.023
P-0005316-T01-IM5	9	0.684	9.43	104.778%	2.439	73.539%	1.95244	0.652
P-0005320-T01-IM5	6	0.596	8.745	145.75%	1.997	81.527%	1.58065	0.567
P-0005337-T01-IM5	4	0.384	5.936	148.4%	1.978	98.9%	3.45005	0.348
P-0005380-T01-IM5	12	0.533	15.472	128.933%	3.243	86.673%	1.84183	0.456
P-0005393-T01-IM5	8	0.406	12.579	157.238%	2.608	92.207%	2.26684	0.309
P-0005435-T01-IM5	2	0.288	3.215	160.75%	1.464	103.52%	4.13888	0.266
P-0005464-T01-IM5	4	0.427	6.841	171.025%	1.817	90.85%	2.47087	0.39
P-0005476-T01-IM5	18	0.555	24.819	137.883%	4.246	83.271%	1.68075	0.454
P-0005483-T02-IM5	6	0.42	9.92	165.333%	2.223	90.754%	2.3358	0.349
P-0005504-T01-IM5	1	0.07	1.982	198.2%	0.999	99.9%	4.69749	-0.016
P-0005510-T01-IM5	5	0.389	8.385	167.7%	2.061	92.171%	3.19617	0.324
P-0005523-T01-IM5	2	0.126	3.868	193.4%	1.416	100.126%	4.81765	0.056
P-0005527-T01-IM5	6	0.309	10.812	180.2%	2.33	95.122%	2.37137	0.188
P-0005533-T01-IM5	5	0.352	8.111	162.22%	2.132	95.346%	3.18114	0.29
