"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval"
"Epigenetic","Intra-Abdominal",0.269779507133593,0.362264150943396,"#b368d9","navy",0.00161854064217655
"NOTCH","Intra-Abdominal",0.0573929961089494,0.109433962264151,"#b368d9","navy",0.00189145109639999
"p53","CNS.Brain",0.564567285908473,0.68476357267951,"#b368d9","navy",1.35722715633929e-11
"Epigenetic","CNS.Brain",0.260534662437698,0.309106830122592,"#b368d9","navy",0.00335254613684627
"PI3K","CNS.Brain",0.252831898504758,0.31260945709282,"#b368d9","navy",0.000270211708528601
"Cell_Cycle","CNS.Brain",0.256456728590847,0.351138353765324,"#b368d9","navy",1.3593797598895e-08
"NOTCH","CNS.Brain",0.0530131400090621,0.0779334500875657,"#b368d9","navy",0.00499123735499585
"p53","Bone",0.555745164960182,0.660590823381521,"#b368d9","navy",5.64994133983129e-10
"Cell_Cycle","Bone",0.249146757679181,0.332495285983658,"#b368d9","navy",1.0963070834226e-07
"p53","PNS",0.591815320041973,0.685714285714286,"#b368d9","navy",7.61509755014298e-05
"Cell_Cycle","PNS",0.272123119972018,0.385714285714286,"#b368d9","navy",6.27477689240626e-07
"p53","Adrenal_Gland",0.589065255731922,0.696498054474708,"#b368d9","navy",3.83612302291065e-06
"Epigenetic","Adrenal_Gland",0.263844797178131,0.350194552529183,"#b368d9","navy",8.89786563712365e-05
"PI3K","Adrenal_Gland",0.257848324514991,0.357976653696498,"#b368d9","navy",4.57194922730669e-06
"Cell_Cycle","Adrenal_Gland",0.279012345679012,0.342412451361868,"#b368d9","navy",0.00424732880256543
"MYC","Adrenal_Gland",0.0934744268077601,0.147859922178988,"#b368d9","navy",0.000338643929975891
"NRF2","Adrenal_Gland",0.0853615520282187,0.132295719844358,"#b368d9","navy",0.00120296235917923
"BCL2L1_Amplification","Lung",0.0829048843187661,0.0484804630969609,"#007eb5","red",0.000199644110088705
"DNMT3B_Amplification","Lung",0.0649100257069409,0.0347322720694645,"#007eb5","red",0.000194973710606869
"KRAS_mut","Lung",0.390102827763496,0.521707670043415,"#007eb5","green",9.36634041059293e-13
"SRC_Amplification","Lung",0.0681233933161954,0.0318379160636758,"#007eb5","red",7.16523960074757e-06
"APC_mut","Liver",0.713697219361483,0.792577529232333,"#007eb5","green",2.74225448538733e-06
"NKX3_1_Deletion","Liver",0.0257466529351184,0.0482968988307067,"#007eb5","blue",0.0038607817005508
"SMAD4_mut","Liver",0.0947476828012358,0.142348754448399,"#007eb5","green",0.000247061642024516
"APC_mut","Intra-Abdominal",0.799081515499426,0.719063545150502,"#007eb5","green",6.3599968460375e-07
"BCL2L1_Amplification","Intra-Abdominal",0.0832376578645235,0.0426421404682274,"#007eb5","red",1.1222568968709e-05
"BRAF_mut","Intra-Abdominal",0.0533869115958668,0.0894648829431438,"#007eb5","green",0.000181098438593042
"DNMT3B_Amplification","Intra-Abdominal",0.0631458094144661,0.0326086956521739,"#007eb5","red",0.000211660097138426
"KRAS_mut","Intra-Abdominal",0.418484500574053,0.500836120401338,"#007eb5","green",1.19412292025454e-05
"MYC_Amplification","Intra-Abdominal",0.0424799081515499,0.072742474916388,"#007eb5","red",0.000501814480067983
"SMAD4_Deletion","Intra-Abdominal",0.0275545350172216,0.0576923076923077,"#007eb5","blue",6.95324483282633e-05
"SRC_Amplification","Intra-Abdominal",0.0625717566016074,0.0342809364548495,"#007eb5","red",0.000604047912585136
"APC_mut","Bowel",0.778716216216216,0.715789473684211,"#007eb5","green",0.0016681047648042
"TP53_mut","Bowel",0.799408783783784,0.743859649122807,"#007eb5","green",0.00424505729562297
"KRAS_mut","CNS.Brain",0.442965095358042,0.610062893081761,"#007eb5","green",5.26108105265956e-05
"KRAS_mut","Bone",0.435562805872757,0.534979423868313,"#007eb5","green",6.44101177896971e-05
"RTK_RAS","Lung",0.633033419023136,0.751808972503618,"#007eb5","navy",3.43184237521222e-12
"TGF_Beta","Pleura",0.221815519765739,0.315533980582524,"#007eb5","navy",0.00329376525818846
"WNT","Liver",0.771369721936148,0.830706659888155,"#007eb5","navy",0.000137950662628405
"TGF_Beta","Liver",0.174047373841401,0.255210981189629,"#007eb5","navy",6.94379511081249e-07
"RTK_RAS","Intra-Abdominal",0.65556831228473,0.737458193979933,"#007eb5","navy",2.48554425502271e-06
"WNT","Intra-Abdominal",0.828358208955224,0.785953177257525,"#007eb5","navy",0.00462243954167921
"MYC","Intra-Abdominal",0.0545350172215844,0.0861204013377926,"#007eb5","navy",0.000952054318368045
"TGF_Beta","Intra-Abdominal",0.192881745120551,0.280100334448161,"#007eb5","navy",4.51565015100558e-08
"p53","Bowel",0.829391891891892,0.764912280701754,"#007eb5","navy",0.00046320022771295
"TGF_Beta","Bowel",0.21410472972973,0.287719298245614,"#007eb5","navy",0.000238815893164911
"RTK_RAS","CNS.Brain",0.67902123065851,0.861635220125786,"#007eb5","navy",3.61773019717793e-07
"RTK_RAS","Bone",0.67047308319739,0.781893004115226,"#007eb5","navy",7.52761249501687e-07
"TGF_Beta","Bone",0.218189233278956,0.279835390946502,"#007eb5","navy",0.00372659754607134
"TGF_Beta","Ovary",0.221441774491682,0.309012875536481,"#007eb5","navy",0.0033033055096368
"AR_Amplification","Distant_LN",0.0821782178217822,0.242021276595745,"#be1e2d","red",3.02747853344392e-20
"AR_mut","Distant_LN",0.0237623762376238,0.0585106382978723,"#be1e2d","green",0.000240470485819427
"FOXA1_mut","Distant_LN",0.131683168316832,0.0797872340425532,"#be1e2d","green",0.000510484329671543
"MYC_Amplification","Distant_LN",0.0534653465346535,0.101063829787234,"#be1e2d","red",0.000207784902489081
"NKX3_1_Deletion","Distant_LN",0.0198019801980198,0.0425531914893617,"#be1e2d","blue",0.00649722327042879
"PTEN_Deletion","Distant_LN",0.11980198019802,0.194148936170213,"#be1e2d","blue",2.16988421829725e-05
"RB1_Deletion","Distant_LN",0.0297029702970297,0.0571808510638298,"#be1e2d","blue",0.00519700775718543
"TP53_mut","Distant_LN",0.252475247524752,0.345744680851064,"#be1e2d","green",2.25611784244522e-05
"APC_mut","Lung",0.0521452145214521,0.121457489878543,"#be1e2d","green",0.000151110369319599
"AR_Amplification","Lung",0.138613861386139,0.222672064777328,"#be1e2d","red",0.00104171669165044
"CTNNB1_mut","Lung",0.033003300330033,0.0769230769230769,"#be1e2d","green",0.00229178401321029
"PTEN_Deletion","Lung",0.135313531353135,0.251012145748988,"#be1e2d","blue",8.87414329489101e-06
"RB1_Deletion","Lung",0.0363036303630363,0.0728744939271255,"#be1e2d","blue",0.0143504935809193
"APC_mut","Liver",0.0523489932885906,0.113970588235294,"#be1e2d","green",0.000311423947094456
"AR_Amplification","Liver",0.118791946308725,0.323529411764706,"#be1e2d","red",1.92920006493353e-15
"MYC_Amplification","Liver",0.0610738255033557,0.143382352941176,"#be1e2d","red",1.18728808211383e-05
"PTEN_Deletion","Liver",0.124832214765101,0.297794117647059,"#be1e2d","blue",1.21607914352158e-11
"RB1_Deletion","Liver",0.0302013422818792,0.102941176470588,"#be1e2d","blue",9.12967957216195e-07
"TP53_mut","Liver",0.267785234899329,0.426470588235294,"#be1e2d","green",3.19851778569107e-07
"AR_Amplification","Intra-Abdominal",0.13167701863354,0.348684210526316,"#be1e2d","red",1.28683858561492e-10
"CDKN1B_Deletion","Intra-Abdominal",0.0335403726708075,0.0789473684210526,"#be1e2d","blue",0.0112013498299194
"MYC_Amplification","Intra-Abdominal",0.0683229813664596,0.131578947368421,"#be1e2d","red",0.00843131218580099
"PTEN_Deletion","Intra-Abdominal",0.144099378881988,0.230263157894737,"#be1e2d","blue",0.00641598689942859
"SPOP_mut","Intra-Abdominal",0.121739130434783,0.0460526315789474,"#be1e2d","green",0.00324384319379697
"TP53_mut","Intra-Abdominal",0.280745341614907,0.414473684210526,"#be1e2d","green",0.000753845572879232
"TP53_mut","Bowel",0.283383685800604,0.429906542056075,"#be1e2d","green",0.00198740683212108
"AR_Amplification","CNS.Brain",0.136502132845826,0.338842975206612,"#be1e2d","red",8.90020455775743e-08
"TP53_mut","CNS.Brain",0.284582571602681,0.396694214876033,"#be1e2d","green",0.0125585064226248
"AR_Amplification","Bone",0.0465489566613162,0.2071992976295,"#be1e2d","red",2.80551566422814e-22
"AR_mut","Bone",0.0160513643659711,0.0509218612818262,"#be1e2d","green",0.000148563770224967
"ERG_fusion","Bone",0.293739967897271,0.239683933274802,"#be1e2d","purple",0.014431443161039
"MYC_Amplification","Bone",0.0497592295345104,0.086918349429324,"#be1e2d","red",0.00414047135700292
"NKX3_1_Deletion","Bone",0.014446227929374,0.0377524143985953,"#be1e2d","blue",0.0049063318589341
"PTEN_Deletion","Bone",0.0850722311396469,0.187884108867428,"#be1e2d","blue",2.7223408452974e-09
"RB1_Deletion","Bone",0.0208667736757624,0.0526777875329236,"#be1e2d","blue",0.00104792752814679
"TP53_mut","Bone",0.21669341894061,0.333625987708516,"#be1e2d","green",1.85033724982229e-07
"APC_mut","PNS",0.055139550714772,0.0955631399317406,"#be1e2d","green",0.0115337163577606
"AR_Amplification","PNS",0.125255275697754,0.276450511945392,"#be1e2d","red",6.08764106754817e-10
"AR_mut","PNS",0.0326752893124575,0.068259385665529,"#be1e2d","green",0.00709637547438147
"MYC_Amplification","PNS",0.0639891082368959,0.122866894197952,"#be1e2d","red",0.000874381163841796
"NKX3_1_Deletion","PNS",0.0245064669843431,0.0546075085324232,"#be1e2d","blue",0.0121727360553432
"PTEN_Deletion","PNS",0.138869979577944,0.215017064846416,"#be1e2d","blue",0.00129599209238998
"TP53_mut","PNS",0.277059223961879,0.368600682593857,"#be1e2d","green",0.00195978274723795
"PTEN_Deletion","Bladder.UT",0.137091162143354,0.215384615384615,"#be1e2d","blue",0.000590364169015836
"SPOP_mut","Bladder.UT",0.124565066109951,0.0738461538461539,"#be1e2d","green",0.00918434907078827
"TP53_mut","Bladder.UT",0.27348643006263,0.375384615384615,"#be1e2d","green",0.000339389924685992
"AR_Amplification","Male_Genital",0.167058823529412,0.106776180698152,"#be1e2d","red",0.00133236862830418
"NKX3_1_Deletion","Male_Genital",0.0352941176470588,0.0143737166324435,"#be1e2d","blue",0.0181962459298591
"PTEN_mut","Male_Genital",0.0713725490196078,0.108829568788501,"#be1e2d","green",0.0147125053807201
"p53","Distant_LN",0.308910891089109,0.436170212765957,"#be1e2d","navy",4.6052377256128e-08
"PI3K","Distant_LN",0.281188118811881,0.38563829787234,"#be1e2d","navy",4.64708571607168e-06
"Cell_Cycle","Distant_LN",0.13960396039604,0.212765957446809,"#be1e2d","navy",6.94512962648723e-05
"DDR","Distant_LN",0.137623762376238,0.210106382978723,"#be1e2d","navy",6.51256339406316e-05
"MYC","Distant_LN",0.0772277227722772,0.143617021276596,"#be1e2d","navy",9.99409914024967e-06
"p53","Lung",0.35049504950495,0.441295546558704,"#be1e2d","navy",0.00668044920812508
"PI3K","Lung",0.300990099009901,0.477732793522267,"#be1e2d","navy",1.06464078558029e-07
"Cell_Cycle","Lung",0.155775577557756,0.263157894736842,"#be1e2d","navy",7.82608574241843e-05
"WNT","Lung",0.133333333333333,0.255060728744939,"#be1e2d","navy",3.12866464302776e-06
"RTK_RAS","Liver",0.126845637583893,0.194852941176471,"#be1e2d","navy",0.00393915910686664
"p53","Liver",0.333557046979866,0.525735294117647,"#be1e2d","navy",2.84529622862084e-09
"PI3K","Liver",0.295302013422819,0.492647058823529,"#be1e2d","navy",6.30589929424649e-10
"Cell_Cycle","Liver",0.145637583892617,0.308823529411765,"#be1e2d","navy",7.6128330777428e-10
"WNT","Liver",0.136241610738255,0.227941176470588,"#be1e2d","navy",0.000205950410970466
"MYC","Liver",0.0939597315436242,0.169117647058824,"#be1e2d","navy",0.00052720595319338
"RTK_RAS","Intra-Abdominal",0.131055900621118,0.203947368421053,"#be1e2d","navy",0.0184497446336377
"p53","Intra-Abdominal",0.347204968944099,0.532894736842105,"#be1e2d","navy",8.79203162276274e-06
"PI3K","Intra-Abdominal",0.314285714285714,0.447368421052632,"#be1e2d","navy",0.00108163373642975
"Cell_Cycle","Intra-Abdominal",0.160248447204969,0.282894736842105,"#be1e2d","navy",0.000279056774479151
"DDR","Intra-Abdominal",0.161490683229814,0.243421052631579,"#be1e2d","navy",0.0125400271057157
"MYC","Intra-Abdominal",0.0975155279503106,0.190789473684211,"#be1e2d","navy",0.000836359842688286
"p53","Bowel",0.349848942598187,0.570093457943925,"#be1e2d","navy",9.92782202869137e-06
"Cell_Cycle","Bowel",0.161329305135952,0.317757009345794,"#be1e2d","navy",0.000102025066676288
"p53","CNS.Brain",0.352833638025594,0.504132231404959,"#be1e2d","navy",0.00115869672605995
"Cell_Cycle","CNS.Brain",0.162705667276051,0.28099173553719,"#be1e2d","navy",0.00161441394796179
"NOTCH","CNS.Brain",0.0517976843388178,0.115702479338843,"#be1e2d","navy",0.00685030984851239
"p53","Bone",0.258426966292135,0.42054433713784,"#be1e2d","navy",9.65231081244921e-12
"Epigenetic","Bone",0.184590690208668,0.250219490781387,"#be1e2d","navy",0.00161379593416445
"PI3K","Bone",0.253611556982344,0.36523266022827,"#be1e2d","navy",1.63964864038729e-06
"Cell_Cycle","Bone",0.112359550561798,0.202809482001756,"#be1e2d","navy",8.73684662114409e-07
"DDR","Bone",0.115569823434992,0.197541703248464,"#be1e2d","navy",7.77935134591578e-06
"MYC","Bone",0.0770465489566613,0.121158911325724,"#be1e2d","navy",0.00442207756287441
"p53","PNS",0.344452008168822,0.457337883959044,"#be1e2d","navy",0.000317948341208471
"Epigenetic","PNS",0.211708645336964,0.303754266211604,"#be1e2d","navy",0.000982577841771264
"PI3K","PNS",0.313818924438393,0.385665529010239,"#be1e2d","navy",0.0201521062657373
"Cell_Cycle","PNS",0.155207624234173,0.249146757679181,"#be1e2d","navy",0.000173017684166725
"DDR","PNS",0.155207624234173,0.235494880546075,"#be1e2d","navy",0.0011427240979066
"MYC","PNS",0.0932607215793056,0.167235494880546,"#be1e2d","navy",0.000362008138989628
"p53","Bladder.UT",0.339596381350035,0.467692307692308,"#be1e2d","navy",1.82889974073518e-05
"PI3K","Bladder.UT",0.304801670146138,0.418461538461538,"#be1e2d","navy",0.000106734782964262
"Cell_Cycle","Bladder.UT",0.160055671537926,0.218461538461538,"#be1e2d","navy",0.0141997062940318
"DDR","Bladder.UT",0.152400835073069,0.24,"#be1e2d","navy",0.00028485084569805
"DDR","Male_Genital",0.155294117647059,0.203285420944559,"#be1e2d","navy",0.0187700904961594
"MYC_Amplification","Distant_LN",0.0753846153846154,0.12375249500998,"#e6308e","red",0.00649971676734229
"TP53_mut","Distant_LN",0.256923076923077,0.359281437125749,"#e6308e","green",0.00021736446862796
"ESR1_mut","Lung",0.083645443196005,0.162857142857143,"#e6308e","green",0.00011755229241337
"ESR1_mut","Pleura",0.0924731182795699,0.171945701357466,"#e6308e","green",0.0010628259196159
"CBFB_mut","Liver",0.0467625899280576,0.0134453781512605,"#e6308e","green",0.000819757835240197
"ESR1_mut","Liver",0.052158273381295,0.159663865546218,"#e6308e","green",2.06809395782022e-09
"MYC_Amplification","Liver",0.0701438848920863,0.121008403361345,"#e6308e","red",0.00369126199469624
"CCND1_FGF19_Amplification","Liver",0.217625899280576,0.289075630252101,"#e6308e","red",0.0055416082428856
"ESR1_mut","Intra-Abdominal",0.0984405458089669,0.184,"#e6308e","green",0.00576378057883967
"MAP3K1_mut","CNS.Brain",0.0887445887445888,0.0308370044052863,"#e6308e","green",0.00212092829186929
"CBFB_mut","Bone",0.0600522193211488,0.0143229166666667,"#e6308e","green",4.89756119459012e-05
"ESR1_mut","Bone",0.0600522193211488,0.131510416666667,"#e6308e","green",0.000169986449743325
"PIK3CA_mut","PNS",0.345286885245902,0.514285714285714,"#e6308e","green",2.88614343035606e-05
"p53","Distant_LN",0.341538461538462,0.457085828343313,"#e6308e","navy",7.51243804252615e-05
"Epigenetic","Lung",0.237203495630462,0.314285714285714,"#e6308e","navy",0.00692297403192191
"RTK_RAS","Liver",0.287769784172662,0.363025210084034,"#e6308e","navy",0.00686861168174992
"Cell_Cycle","Liver",0.278776978417266,0.396638655462185,"#e6308e","navy",2.92503186119869e-05
"MYC","Liver",0.0773381294964029,0.132773109243697,"#e6308e","navy",0.00285471116994016
"Cell_Cycle","CNS.Brain",0.319264069264069,0.422907488986784,"#e6308e","navy",0.00376653494633264
"PI3K","Bone",0.441253263707572,0.55859375,"#e6308e","navy",0.000216757528628903
"PI3K","PNS",0.498975409836066,0.634285714285714,"#e6308e","navy",0.000999059223319633
"AKT2_Amplification","Liver",0.0164203612479475,0.0537735849056604,"#355a91","red",0.000131864460284881
"CDKN2A_Deletion","Liver",0.0935960591133005,0.165094339622642,"#355a91","blue",3.64539925362427e-05
"TP53_mut","Liver",0.655172413793103,0.804716981132075,"#355a91","green",2.46193573039122e-11
"MYC_Amplification","Intra-Abdominal",0.054639175257732,0.0228898426323319,"#355a91","red",0.00111613475311769
"p53","Liver",0.67487684729064,0.821698113207547,"#355a91","navy",1.7042711806823e-11
"Epigenetic","Liver",0.167487684729064,0.264150943396226,"#355a91","navy",5.32136912067422e-06
"PI3K","Liver",0.0623973727422003,0.116037735849057,"#355a91","navy",0.000283284950425358
"Cell_Cycle","Liver",0.233169129720854,0.338679245283019,"#355a91","navy",5.25596182713424e-06
"MYC","Liver",0.0279146141215107,0.0632075471698113,"#355a91","navy",0.00153288350083488
"Cell_Cycle","Bowel",0.320197044334975,0.246119733924612,"#355a91","navy",0.00322177841547042
"TP53_mut","Distant_LN",0.626666666666667,0.398692810457516,"#049347","green",1.56609763828144e-05
"p53","Distant_LN",0.635555555555556,0.42483660130719,"#049347","navy",6.14504907575466e-05
"MYC","Lung",0.100558659217877,0.0150753768844221,"#049347","navy",0.000418051225682312
"PTEN_mut","CNS.Brain",0.0677618069815195,0.14410480349345,"#4ebe03","green",0.00139252774584915
"TP53_mut","CNS.Brain",0.277207392197125,0.165938864628821,"#4ebe03","green",0.00104647205795517
"p53","CNS.Brain",0.344969199178645,0.213973799126638,"#4ebe03","navy",0.000344748117714234
"CDKN2A_Deletion","CNS.Brain",0.0175438596491228,0.181818181818182,"#cccc33","blue",0.000383359604175116
"BRAF_mut","Bone",0.763736263736264,0.518987341772152,"#cccc33","green",0.000137544535837736
"Cell_Cycle","CNS.Brain",0.0482456140350877,0.272727272727273,"#cccc33","navy",0.000177025838113401
"Epigenetic","PNS",0.0936170212765957,0.346153846153846,"#cccc33","navy",0.00112741929107196
"ERBB2_Amplification","Lung",0.16025641025641,0.370629370629371,"#7aa8d9","red",1.78365262222323e-06
"RTK_RAS","Lung",0.528846153846154,0.72027972027972,"#7aa8d9","navy",0.000137011361325423
"Epigenetic","Pleura",0.37037037037037,0.728813559322034,"#026631","navy",3.4498748598333e-05
"Epigenetic","Pleura",0.37037037037037,0.728813559322034,"#026631","navy",3.4498748598333e-05
"PI3K","Liver",0.706896551724138,0.30952380952381,"#310725","navy",0.000106243126431242
"HIPPO","Bone",0.273885350318471,0.605263157894737,"#682767","navy",0.000213545858867477
"RB1_mut","Bowel",0.0986842105263158,0.529411764705882,"#00dbca","green",6.21594891558883e-05
