"alternation","TO","alternation_freq1","alternation_freq2","bg_color","triangle_color","pval","TO_color","alt_TO"
"MYC","Intra-Abdominal",0.054535017,0.086120401,"#007eb5","navy",0.000952054,"#8067D6","MYC       Intra-Abdominal"
"KRAS_mut","Bone",0.435562806,0.534979424,"#007eb5","green",6.44e-05,"#7E90CF","KRAS_mut       Bone"
"KRAS_mut","CNS.Brain",0.442965095,0.610062893,"#007eb5","green",5.26e-05,"#EEDD57","KRAS_mut       CNS.Brain"
"KRAS_mut","Intra-Abdominal",0.418484501,0.50083612,"#007eb5","green",1.19e-05,"#8067D6","KRAS_mut       Intra-Abdominal"
"KRAS_mut","Lung",0.390102828,0.52170767,"#007eb5","green",9.37e-13,"#D9C3DE","KRAS_mut       Lung"
"FOXA1_mut","Distant_LN",0.131683168,0.079787234,"#be1e2d","green",0.000510484,"#D480CE","FOXA1_mut       Distant_LN"
"ERG_fusion","Bone",0.293739968,0.239683933,"#be1e2d","purple",0.014431443,"#7E90CF","ERG_fusion       Bone"
"DNMT3B_Amplification","Intra-Abdominal",0.063145809,0.032608696,"#007eb5","red",0.00021166,"#8067D6","DNMT3B_Amplification       Intra-Abdominal"
"DNMT3B_Amplification","Lung",0.064910026,0.034732272,"#007eb5","red",0.000194974,"#D9C3DE","DNMT3B_Amplification       Lung"
"CTNNB1_mut","Lung",0.0330033,0.076923077,"#be1e2d","green",0.002291784,"#D9C3DE","CTNNB1_mut       Lung"
"CDKN1B_Deletion","Intra-Abdominal",0.033540373,0.078947368,"#be1e2d","blue",0.01120135,"#8067D6","CDKN1B_Deletion       Intra-Abdominal"
"BRAF_mut","Intra-Abdominal",0.053386912,0.089464883,"#007eb5","green",0.000181098,"#8067D6","BRAF_mut       Intra-Abdominal"
"BCL2L1_Amplification","Lung",0.082904884,0.048480463,"#007eb5","red",0.000199644,"#D9C3DE","BCL2L1_Amplification       Lung"
"BCL2L1_Amplification","Intra-Abdominal",0.083237658,0.04264214,"#007eb5","red",1.12e-05,"#8067D6","BCL2L1_Amplification       Intra-Abdominal"
"AR_mut","PNS",0.032675289,0.068259386,"#be1e2d","green",0.007096375,"#DFB79C","AR_mut       PNS"
