Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0048555-T01-IM6	9	0.625	10.18	113.111%	3.224	78.193%	1.95809	0.599
P-0048585-T03-IM6	29	0.86	22.701	78.279%	6.049	51.307%	0.81091	0.85
P-0048592-T01-IM6	11	0.545	14.464	131.491%	3.046	84.481%	1.69632	0.474
P-0048603-T01-IM6	7	0.247	12.731	181.871%	2.913	97.1%	2.86416	0.1
P-0048628-T01-IM6	19	0.761	19.726	103.821%	4.257	64.919%	0.95344	0.734
P-0048726-T01-IM6	1	0.031	1.992	199.2%	1.004	100.4%	5.49453	-0.078
P-0048786-T01-IM6	33	0.895	21.014	63.679%	5.461	53.294%	1.04976	0.887
P-0048904-T01-IM6	41	0.878	31.123	75.91%	7.031	49.107%	1.29997	0.867
P-0048926-T01-IM6	5	0.792	5.766	115.32%	2.158	65.066%	0.87017	0.789
P-0049007-T01-IM6	8	0.638	9.212	115.15%	2.502	79.12%	2.26391	0.607
P-0049096-T01-IM6	5	0.651	5.123	102.46%	2.009	75.933%	1.34715	0.633
P-0049320-T01-IM6	108	0.954	53.969	49.971%	12.355	36.786%	0.48362	0.95
P-0049391-T01-IM6	2	0.056	3.959	197.95%	1.424	100.692%	4.59582	-0.092
P-0049457-T01-IM6	15	0.838	13.234	88.227%	3.367	55.353%	1.74019	0.826
P-0049573-T01-IM6	87	0.945	39.884	45.844%	10.032	34.759%	0.36042	0.94
P-0049734-T01-IM6	116	0.945	52.994	45.684%	13.266	33.332%	0.40201	0.94
P-0049773-T01-IM6	14	0.94	6.339	45.279%	2.064	35.397%	0.38733	0.937
P-0049891-T01-IM6	4	0.693	5.2	130.0%	1.782	72.75%	2.16321	0.683
P-0049901-T01-IM6	4	0.711	3.65	91.25%	1.445	72.25%	2.00849	0.697
P-0049953-T01-IM6	6	0.731	5.691	94.85%	1.671	68.218%	1.46684	0.71
P-0049959-T01-IM6	2	0.155	3.885	194.25%	1.398	98.854%	3.66137	0.069
P-0050076-T01-IM6	27	0.923	15.573	57.678%	3.507	38.494%	0.53914	0.915
P-0050087-T01-IM6	17	0.744	17.372	102.188%	4.876	66.977%	1.65971	0.726
P-0050267-T01-IM6	72	0.946	27.687	38.454%	8.185	33.14%	0.44951	0.941
P-0050405-T01-IM6	38	0.89	25.574	67.3%	5.963	46.85%	0.79005	0.878
P-0050421-T01-IM6	64	0.892	43.757	68.37%	10.123	50.742%	0.59944	0.881
