Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0019183-T01-IM6	8	0.74	8.361	104.512%	2.172	68.685%	2.96673	0.719
P-0019428-T01-IM6	36	0.925	24.012	66.7%	4.37	38.931%	0.71918	0.916
P-0019464-T01-IM6	96	0.959	49.82	51.896%	7.75	28.451%	0.35963	0.953
P-0019475-T01-IM6	67	0.879	47.074	70.26%	8.343	48.575%	0.50533	0.856
P-0019846-T01-IM6	33	0.872	24.893	75.433%	4.641	49.757%	0.61428	0.852
P-0019949-T01-IM6	26	0.924	17.578	67.608%	3.945	40.263%	1.08057	0.919
P-0020143-T01-IM6	51	0.936	32.757	64.229%	5.209	36.205%	0.62608	0.927
P-0020144-T01-IM6	18	0.71	19.207	106.706%	4.233	70.55%	1.16706	0.673
P-0020221-T01-IM6	57	0.967	26.781	46.984%	4.169	25.61%	0.38991	0.962
P-0020330-T01-IM6	97	0.925	57.557	59.337%	8.349	38.389%	0.45647	0.905
P-0020331-T01-IM6	88	0.951	46.686	53.052%	7.004	30.954%	0.4256	0.941
P-0020399-T01-IM6	40	0.899	29.507	73.768%	5.312	44.895%	0.64289	0.886
P-0020431-T01-IM6	26	0.926	17.828	68.569%	3.542	37.758%	0.62703	0.92
P-0020473-T01-IM6	148	0.914	100.69	68.034%	25.633	45.441%	0.41767	0.912
P-0020689-T01-IM6	70	0.966	35.858	51.226%	6.394	29.124%	0.37881	0.964
P-0020748-T01-IM6	16	0.774	15.943	99.644%	3.65	64.523%	1.10137	0.751
P-0020834-T01-IM6	17	0.704	17.958	105.635%	3.413	71.166%	1.15869	0.648
P-0021049-T01-IM6	36	0.91	25.812	71.7%	5.188	42.36%	0.74074	0.901
P-0021090-T01-IM6	178	0.871	134.077	75.324%	38.93	54.706%	0.42942	0.869
P-0021154-T01-IM6	29	0.811	27.707	95.541%	4.86	59.374%	0.70314	0.781
P-0021292-T01-IM6	36	0.919	24.726	68.683%	4.27	41.474%	0.60887	0.908
P-0021304-T01-IM6	64	0.98	27.255	42.586%	4.683	19.968%	0.32979	0.978
P-0021346-T01-IM6	22	0.894	16.181	73.55%	3.492	45.082%	0.7508	0.884
P-0021393-T01-IM6	63	0.96	33.006	52.39%	6.468	28.229%	0.37285	0.956
P-0021744-T01-IM6	60	0.919	40.601	67.668%	7.482	39.544%	0.57865	0.909
P-0022111-T01-IM6	85	0.951	44.946	52.878%	7.714	30.955%	0.3966	0.944
P-0022508-T01-IM6	25	0.938	15.849	63.396%	3.623	35.357%	0.57347	0.934
P-0023162-T01-IM6	24	0.794	21.884	91.183%	3.759	60.979%	0.87788	0.749
P-0023271-T01-IM6	301	0.963	130.566	43.377%	28.323	28.774%	0.22317	0.96
P-0023272-T01-IM6	53	0.926	37.275	70.33%	6.221	37.93%	0.71201	0.916
P-0023551-T01-IM6	56	0.884	41.839	74.712%	7.307	48.822%	0.49444	0.867
P-0023639-T01-IM6	43	0.923	28.462	66.191%	4.777	38.62%	0.62461	0.912
P-0024928-T01-IM6	27	0.885	24.78	91.778%	5.209	46.968%	0.79126	0.877
P-0024973-T01-IM6	27	0.737	28.813	106.715%	5.887	67.977%	0.88477	0.703
P-0025047-T01-IM6	56	0.784	47.176	84.243%	7.895	62.415%	0.69902	0.72
P-0025073-T01-IM6	33	0.902	24.766	75.048%	4.816	46.558%	0.95772	0.891
P-0025215-T01-IM6	49	0.886	32.679	66.692%	5.31	46.752%	0.49061	0.857
P-0025695-T01-IM6	39	0.934	23.986	61.503%	4.699	35.934%	0.45443	0.927
P-0025715-T01-IM6	41	0.862	30.09	73.39%	5.675	51.17%	0.58209	0.838
P-0025883-T01-IM6	63	0.909	41.711	66.208%	7.509	43.138%	0.60189	0.894
P-0026197-T01-IM6	72	0.896	45.384	63.033%	7.557	44.376%	0.40147	0.871
P-0026480-T01-IM6	60	0.819	49.366	82.277%	8.346	57.321%	0.63851	0.775
P-0026678-T01-IM6	64	0.99	20.46	31.969%	3.692	14.415%	0.2913	0.989
P-0026683-T01-IM6	77	0.966	40.904	53.122%	6.95	26.83%	0.46293	0.963
P-0026908-T01-IM6	28	0.711	28.587	102.096%	4.958	71.563%	0.96091	0.641
P-0026962-T01-IM6	35	0.921	24.262	69.32%	3.818	39.172%	0.58943	0.909
P-0027324-T01-IM6	56	0.96	31.106	55.546%	5.555	28.057%	0.57071	0.957
P-0027335-T01-IM6	43	0.952	26.01	60.488%	4.315	30.588%	0.52819	0.947
P-0027375-T01-IM6	35	0.865	28.047	80.134%	4.777	50.636%	0.699	0.841
P-0027438-T01-IM6	33	0.864	30.813	93.373%	6.156	50.432%	1.12518	0.852
P-0027740-T01-IM6	92	0.983	35.888	39.009%	6.715	18.496%	0.42855	0.982
P-0027858-T01-IM6	82	0.897	50.91	62.085%	9.286	44.37%	0.39584	0.877
P-0027929-T01-IM6	331	0.942	146.907	44.383%	27.149	34.377%	0.31602	0.93
P-0028069-T01-IM6	37	0.891	29.492	79.708%	4.944	47.795%	0.655	0.878
P-0028266-T01-IM6	97	0.966	44.046	45.408%	8.663	25.828%	0.31332	0.963
P-0028274-T01-IM6	51	0.934	31.49	61.745%	5.6	35.924%	0.47977	0.925
P-0028344-T01-IM6	23	0.896	17.437	75.813%	3.295	45.26%	0.81709	0.884
P-0028474-T01-IM6	84	0.94	46.178	54.974%	7.367	34.127%	0.46773	0.928
P-0028485-T01-IM6	83	0.95	46.783	56.365%	7.778	31.887%	0.48864	0.944
P-0028571-T01-IM6	34	0.865	28.23	83.029%	5.319	50.26%	0.68532	0.847
P-0028891-T01-IM6	108	0.976	45.483	42.114%	8.09	21.652%	0.27618	0.974
P-0028979-T01-IM6	58	0.835	43.329	74.705%	8.752	56.029%	0.53078	0.807
P-0029114-T01-IM6	28	0.705	30.63	109.393%	5.782	72.275%	1.37344	0.654
P-0029169-T01-IM6	30	0.901	24.995	83.317%	5.473	44.103%	0.85145	0.894
P-0029398-T01-IM6	47	0.937	28.868	61.421%	4.826	35.291%	0.55254	0.928
P-0029399-T01-IM6	46	0.891	35.558	77.3%	5.419	46.468%	0.75311	0.869
P-0029495-T03-IM6	57	0.98	25.96	45.544%	5.009	21.903%	0.31511	0.979
P-0029646-T01-IM6	82	0.863	59.059	72.023%	9.584	52.599%	0.66593	0.827
P-0029980-T01-IM6	73	0.946	42.8	58.63%	7.877	33.803%	0.4188	0.941
P-0030244-T01-IM6	50	0.897	36.886	73.772%	6.342	44.187%	0.57429	0.881
P-0030265-T01-IM6	228	0.986	83.069	36.434%	22.934	23.758%	0.22124	0.986
P-0030636-T01-IM6	32	0.889	25.134	78.544%	5.085	46.037%	0.60669	0.878
P-0030708-T01-IM6	63	0.946	33.676	53.454%	5.939	32.644%	0.37224	0.939
P-0030774-T01-IM6	71	0.951	42.044	59.217%	7.47	31.766%	0.40665	0.947
P-0030960-T01-IM6	36	0.86	28.346	78.739%	4.968	51.795%	0.70711	0.834
P-0030988-T01-IM6	40	0.877	34.695	86.738%	7.201	51.969%	0.63378	0.87
P-0031050-T01-IM6	31	0.825	29.075	93.79%	5.092	56.578%	0.82572	0.797
P-0031091-T01-IM6	60	0.934	39.521	65.868%	6.839	36.145%	0.54836	0.926
P-0031146-T01-IM6	23	0.896	19.124	83.148%	4.257	45.124%	0.97123	0.889
P-0031207-T01-IM6	38	0.833	34.187	89.966%	6.553	57.037%	0.77203	0.814
P-0031496-T01-IM6	53	0.945	34.584	65.253%	5.865	33.257%	0.58676	0.939
P-0032060-T01-IM6	55	0.953	32.992	59.985%	5.827	30.668%	0.56733	0.948
P-0032698-T01-IM6	47	0.891	33.016	70.247%	7.127	46.892%	0.66464	0.879
P-0032718-T01-IM6	59	0.929	36.02	61.051%	6.195	38.643%	0.4621	0.92
P-0032777-T01-IM6	43	0.766	39.185	91.128%	7.906	64.768%	0.74203	0.726
P-0033100-T01-IM6	47	0.843	38.064	80.987%	7.349	53.741%	0.61885	0.819
P-0033382-T01-IM6	92	0.979	39.689	43.14%	7.275	21.342%	0.30366	0.978
P-0033425-T01-IM6	365	0.99	104.527	28.638%	26.815	18.693%	0.11837	0.99
P-0033503-T01-IM6	30	0.966	14.18	47.267%	2.927	25.671%	0.48687	0.964
P-0033748-T01-IM6	134	0.619	145.015	108.22%	40.291	86.175%	1.15887	0.582
P-0033852-T01-IM6	39	0.878	30.034	77.01%	5.007	47.958%	1.01877	0.855
P-0034090-T01-IM6	19	0.84	17.375	91.447%	3.232	54.631%	0.95778	0.82
P-0034401-T01-IM6	24	0.854	19.737	82.238%	4.409	52.698%	0.89206	0.84
P-0034935-T01-IM6	13	0.678	15.487	119.131%	3.053	74.046%	1.22856	0.633
P-0034950-T01-IM6	39	0.87	34.176	87.631%	6.455	56.398%	0.88735	0.856
P-0035033-T01-IM6	10	0.746	10.882	108.82%	2.984	66.724%	1.32542	0.729
P-0035100-T01-IM6	33	0.949	20.37	61.727%	4.13	31.959%	0.81395	0.945
P-0035103-T01-IM6	133	0.989	45.53	34.233%	10.054	17.467%	0.21046	0.989
P-0035437-T01-IM6	48	0.892	33.073	68.902%	5.186	45.138%	0.51289	0.867
P-0035452-T01-IM6	66	0.939	34.434	52.173%	5.508	34.836%	0.39019	0.926
P-0035693-T01-IM6	21	0.721	23.875	113.69%	4.333	69.384%	1.25575	0.675
P-0035742-T01-IM6	23	0.854	21.97	95.522%	4.343	53.868%	0.94716	0.841
P-0035755-T01-IM6	47	0.9	32.731	69.64%	5.766	43.587%	0.60031	0.884
P-0035916-T01-IM6	42	0.893	30.125	71.726%	4.841	44.948%	0.63032	0.872
P-0036028-T01-IM6	46	0.892	34.56	75.13%	6.717	47.496%	0.72233	0.879
P-0036050-T01-IM6	42	0.941	27.748	66.067%	6.003	35.373%	0.5035	0.938
P-0036309-T01-IM6	39	0.927	26.811	68.746%	4.549	38.865%	0.52423	0.918
P-0036334-T01-IM6	51	0.971	23.988	47.035%	4.663	25.401%	0.29273	0.969
P-0036369-T01-IM6	53	0.928	35.383	66.76%	6.301	38.561%	0.45546	0.92
P-0036380-T01-IM6	32	0.731	30.634	95.731%	5.826	69.634%	1.00351	0.675
P-0036500-T01-IM6	61	0.957	36.475	59.795%	6.968	31.193%	0.46036	0.954
P-0036503-T01-IM6	140	0.92	91.319	65.228%	19.805	41.012%	0.39423	0.913
