Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0043940-T01-IM6	1.32E-01	9.64E-02	1.78E-01	2.38E-01	4.09E-01	4.52E-01
P-0044312-T01-IM6	0.00E+00	1.50E-01	1.20E-01	2.54E-01	4.59E-01	4.87E-01
P-0044767-T01-IM6	1.53E-01	2.81E-02	1.54E-01	1.62E-01	2.29E-01	2.83E-01
P-0044790-T01-IM6	3.82E-01	7.88E-01	3.65E+00	3.51E+00	8.76E-02	1.03E+00
P-0044987-T01-IM6	1.49E-01	5.77E-01	8.38E-01	8.31E-01	9.02E-01	9.50E-01
P-0045120-T01-IM6	5.07E-01	5.62E-01	1.71E-01	2.07E-01	7.66E-02	1.39E-01
P-0045458-T01-IM6	3.02E+00	4.57E+00	3.12E+00	3.30E+00	9.60E-02	8.97E-01
P-0045671-T01-IM6	1.52E-01	1.35E-01	1.95E-01	2.10E-01	2.50E-01	2.97E-01
P-0045738-T01-IM6	0.00E+00	3.16E-01	6.05E-01	3.46E-01	3.00E-01	4.61E-01
P-0045991-T01-IM6	0.00E+00	1.00E-01	8.00E-02	3.90E-01	4.78E-01	6.05E-01
P-0046448-T01-IM6	1.70E-01	3.23E-01	2.85E-01	5.05E-01	2.79E-01	3.76E-01
P-0046630-T01-IM6	1.39E-01	1.41E-01	7.56E-01	7.65E-01	1.37E-01	2.84E-01
P-0046754-T01-IM6	0.00E+00	8.03E-02	4.05E-01	3.77E-01	4.44E-01	4.75E-01
P-0046965-T01-IM6	3.91E+00	3.29E+00	1.58E+00	7.52E-01	2.61E+00	2.70E+00
P-0047374-T01-IM6	0.00E+00	4.11E-01	6.07E-01	7.84E-01	2.18E-01	7.49E-01
P-0047653-T01-IM6	8.02E-01	6.84E-01	3.34E-01	3.44E-01	6.33E-01	3.64E-01
P-0047766-T01-IM6	0.00E+00	3.32E-01	4.78E-01	6.36E-01	4.33E-01	6.12E-01
P-0047768-T01-IM6	0.00E+00	4.83E-01	6.35E-01	7.61E-01	1.71E-01	4.60E-01
P-0047771-T01-IM6	1.03E+00	1.04E+00	4.17E-01	1.43E-01	4.08E-01	4.95E-01
P-0047974-T01-IM6	5.84E-01	6.11E-01	2.78E-01	3.30E-01	1.44E-01	1.32E-01
P-0048176-T01-IM6	1.52E-01	1.59E-01	4.81E-01	3.52E-01	4.09E-01	4.30E-01
P-0048238-T01-IM6	0.00E+00	1.58E-01	2.44E-01	3.53E-01	5.23E-01	6.16E-01
P-0048255-T01-IM6	4.00E-02	3.54E-01	3.22E-01	5.89E-01	6.56E-01	8.23E-01
P-0048521-T01-IM6	0.00E+00	1.42E-01	1.09E-01	3.63E-01	4.86E-01	5.91E-01
