Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
P-0046630-T01-IM6	1	1	13	25	0	0
P-0046754-T01-IM6	0	0	1	9	14	3
P-0046965-T01-IM6	348	26	42	4	59	0
P-0047374-T01-IM6	0	9	2	38	0	10
P-0047653-T01-IM6	18	17	2	5	11	0
P-0047766-T01-IM6	0	4	2	38	4	0
P-0047768-T01-IM6	0	12	3	42	0	5
P-0047771-T01-IM6	58	26	4	0	2	0
P-0047974-T01-IM6	29	6	1	6	2	0
P-0048176-T01-IM6	2	1	6	7	1	8
P-0048238-T01-IM6	0	1	0	6	10	6
P-0048255-T01-IM6	0	5	2	5	6	20
P-0048521-T01-IM6	0	1	0	7	10	5
P-0048589-T01-IM6	2	1	0	1	10	7
P-0048620-T01-IM6	0	5	0	6	10	11
P-0048757-T01-IM6	0	12	0	21	0	0
P-0048915-T01-IM6	0	2	1	2	13	3
P-0048984-T01-IM6	0	0	3	10	0	7
P-0049047-T01-IM6	353	16	192	55	0	13
P-0049073-T01-IM6	165	15	0	8	26	5
P-0049274-T01-IM6	29	8	0	0	9	0
P-0049291-T01-IM6	0	3	0	38	4	0
P-0049371-T01-IM6	28	20	0	3	0	0
P-0049473-T01-IM6	0	5	2	14	7	0
P-0049485-T01-IM6	0	7	19	6	2	12
P-0049760-T01-IM6	71	159	88	66	0	0
P-0049775-T01-IM6	2	8	0	17	3	2
P-0049788-T01-IM6	17	3	1	0	1	0
P-0049805-T01-IM6	0	2	1	9	9	0
P-0049931-T01-IM6	0	6	11	13	6	3
P-0050111-T01-IM6	0	3	7	9	2	7
