Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0027375-T01-IM6	2	7	7	2	3	3	5	6
P-0027438-T01-IM6	0	23	0	2	3	0	2	3
P-0027740-T01-IM6	47	31	8	0	0	0	2	4
P-0027858-T01-IM6	6	14	0	0	27	21	11	3
P-0027929-T01-IM6	2	64	6	11	63	95	83	7
P-0028069-T01-IM6	3	6	5	0	0	6	12	5
P-0028266-T01-IM6	48	4	12	0	0	28	0	5
P-0028274-T01-IM6	14	8	2	0	8	19	0	0
P-0028344-T01-IM6	3	7	4	0	0	2	7	0
P-0028474-T01-IM6	7	20	2	2	7	26	20	0
P-0028485-T01-IM6	21	21	17	0	18	0	0	6
P-0028571-T01-IM6	11	5	1	0	0	2	14	1
P-0028891-T01-IM6	51	10	4	0	15	22	6	0
P-0028979-T01-IM6	12	0	1	0	0	7	12	26
P-0029114-T01-IM6	0	14	3	0	0	0	0	11
P-0029169-T01-IM6	8	18	4	0	0	0	0	0
P-0029398-T01-IM6	13	8	9	2	0	0	15	0
P-0029399-T01-IM6	10	3	7	2	16	0	8	0
P-0029495-T03-IM6	23	10	10	0	14	0	0	0
P-0029646-T01-IM6	15	6	2	3	0	42	9	5
P-0029980-T01-IM6	8	23	10	2	23	0	7	0
P-0030244-T01-IM6	3	13	0	2	0	25	0	7
P-0030265-T01-IM6	36	149	3	3	0	31	0	6
P-0030636-T01-IM6	9	0	6	0	17	0	0	0
P-0030708-T01-IM6	15	10	4	0	5	21	4	4
P-0030774-T01-IM6	18	18	17	0	5	0	9	4
P-0030960-T01-IM6	8	5	3	1	0	12	5	2
P-0030988-T01-IM6	0	14	3	0	11	0	10	2
P-0031050-T01-IM6	1	11	2	0	8	0	0	9
P-0031091-T01-IM6	7	24	3	0	11	0	15	0
P-0031146-T01-IM6	7	10	1	0	0	0	0	5
P-0031207-T01-IM6	9	0	0	0	10	7	1	11
