Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
P-0029399-T01-IM6	5.10E-01	4.05E-01	5.09E-01	2.91E-01	7.53E-01	4.22E-01	5.53E-01	5.55E-01
P-0029495-T03-IM6	9.19E-01	7.01E-01	8.03E-01	0.00E+00	5.42E-01	3.52E-01	3.55E-01	1.58E-01
P-0029646-T01-IM6	6.23E-01	7.29E-01	6.69E-01	2.11E-01	7.45E-01	9.36E-01	8.66E-01	7.92E-01
P-0029980-T01-IM6	8.27E-01	8.00E-01	5.66E-01	2.23E-01	6.73E-01	4.56E-01	5.74E-01	5.82E-01
P-0030244-T01-IM6	4.91E-01	7.19E-01	3.75E-01	1.25E-01	4.90E-01	7.45E-01	4.36E-01	6.14E-01
P-0030265-T01-IM6	2.66E+00	3.77E+00	1.12E+00	1.97E-01	6.27E-01	3.00E+00	1.48E+00	8.34E-01
P-0030636-T01-IM6	6.18E-01	2.63E-01	4.03E-01	1.00E-02	5.20E-01	3.47E-01	2.87E-01	2.58E-01
P-0030708-T01-IM6	5.77E-01	6.98E-01	4.57E-01	0.00E+00	5.57E-01	6.95E-01	5.65E-01	5.67E-01
P-0030774-T01-IM6	1.05E+00	9.06E-01	8.08E-01	0.00E+00	6.60E-01	4.30E-01	5.80E-01	4.91E-01
P-0030960-T01-IM6	4.42E-01	4.37E-01	3.00E-01	1.45E-01	3.89E-01	4.48E-01	4.45E-01	3.36E-01
P-0030988-T01-IM6	4.81E-01	5.47E-01	4.17E-01	4.22E-02	6.86E-01	3.01E-01	5.56E-01	4.47E-01
P-0031050-T01-IM6	4.13E-01	4.42E-01	3.80E-01	3.83E-02	5.39E-01	2.96E-01	3.74E-01	5.03E-01
P-0031091-T01-IM6	6.39E-01	7.89E-01	4.78E-01	1.34E-01	6.74E-01	6.29E-01	6.52E-01	4.87E-01
P-0031146-T01-IM6	4.95E-01	4.66E-01	2.81E-01	1.24E-01	2.82E-01	1.83E-01	1.81E-01	2.65E-01
P-0031207-T01-IM6	4.96E-01	3.15E-01	3.06E-01	0.00E+00	7.09E-01	4.46E-01	5.75E-01	7.40E-01
P-0031496-T01-IM6	7.02E-01	7.37E-01	5.35E-01	8.05E-02	4.62E-01	4.84E-01	5.38E-01	4.51E-01
P-0032060-T01-IM6	7.76E-01	7.23E-01	4.01E-01	1.94E-01	5.20E-01	5.68E-01	4.02E-01	5.34E-01
P-0032698-T01-IM6	5.84E-01	5.07E-01	3.45E-01	1.59E-01	4.24E-01	5.32E-01	6.28E-01	2.79E-01
P-0032718-T01-IM6	4.58E-01	7.44E-01	3.67E-01	2.09E-01	5.01E-01	7.91E-01	6.36E-01	8.10E-01
P-0032777-T01-IM6	1.86E-01	4.37E-01	3.55E-01	2.89E-01	5.00E-01	5.68E-01	7.63E-01	4.43E-01
P-0033100-T01-IM6	6.50E-01	5.63E-01	4.34E-01	1.55E-01	7.15E-01	5.62E-01	5.24E-01	3.20E-01
P-0033382-T01-IM6	1.59E+00	8.90E-01	1.28E+00	3.68E-01	9.69E-01	5.30E-01	3.18E-01	1.73E-01
P-0033425-T01-IM6	3.78E+00	4.19E+00	1.95E+00	2.97E-01	1.49E+00	3.61E+00	2.15E+00	7.54E-01
P-0033503-T01-IM6	5.39E-01	3.60E-01	4.10E-01	0.00E+00	3.83E-01	2.48E-01	2.19E-01	9.25E-02
P-0033748-T01-IM6	5.18E-02	3.43E-01	1.79E+00	1.41E+00	1.92E+00	2.25E+00	1.38E+00	1.17E+00
P-0033852-T01-IM6	4.77E-01	3.64E-01	3.05E-01	2.93E-01	3.14E-01	5.68E-01	5.28E-01	2.92E-01
P-0034090-T01-IM6	2.32E-01	3.24E-01	1.74E-01	5.07E-02	2.83E-01	2.94E-01	2.31E-01	3.27E-01
P-0034401-T01-IM6	4.44E-01	3.64E-01	2.35E-01	0.00E+00	4.20E-01	5.16E-01	3.48E-01	1.65E-01
P-0034935-T01-IM6	1.23E-01	2.70E-01	1.28E-01	0.00E+00	2.04E-01	2.58E-01	2.76E-01	3.12E-01
P-0034950-T01-IM6	5.48E-01	5.37E-01	4.21E-01	0.00E+00	5.29E-01	6.45E-01	5.60E-01	3.58E-01
P-0035033-T01-IM6	2.84E-01	2.85E-01	9.21E-02	0.00E+00	9.16E-02	2.40E-01	1.76E-01	1.64E-01
P-0035100-T01-IM6	6.54E-01	4.17E-01	4.60E-01	1.32E-01	3.12E-01	2.38E-01	3.20E-01	2.62E-01
P-0035103-T01-IM6	4.29E-01	4.86E-01	1.75E+00	1.65E+00	2.58E-01	4.03E-01	2.38E-01	1.93E-01
