Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
P-0040284-T01-IM6	106	0.891	85.224	80.4%	21.452	49.929%	0.49081	0.887
P-0040575-T01-IM6	44	0.691	44.957	102.175%	11.587	72.703%	0.83713	0.658
P-0040701-T01-IM6	19	0.518	24.9	131.053%	5.137	98.862%	1.76308	0.441
P-0040828-T01-IM6	494	0.957	198.07	40.095%	61.04	34.387%	0.15576	0.956
P-0040884-T01-IM6	15	0.35	21.529	143.527%	5.401	103.942%	1.63728	0.272
P-0040892-T01-IM6	28	0.411	36.585	130.661%	8.345	109.575%	1.56753	0.317
P-0040992-T01-IM6	40	0.569	46.95	117.375%	11.423	86.598%	1.123	0.515
P-0041146-T01-IM6	205	0.852	140.39	68.483%	41.027	53.535%	0.38968	0.84
P-0041318-T01-IM6	28	0.819	26.584	94.943%	6.469	58.568%	0.76025	0.806
P-0041346-T01-IM6	218	0.824	175.51	80.509%	45.19	56.979%	0.52918	0.808
P-0041347-T01-IM6	14	0.433	18.94	135.286%	4.474	100.042%	1.35079	0.358
P-0042199-T01-IM6	303	0.942	176.393	58.216%	61.319	45.877%	0.31707	0.948
P-0042256-T01-IM6	75	0.868	68.459	91.279%	15.908	52.764%	0.71417	0.861
P-0042644-T01-IM6	36	0.66	39.344	109.289%	8.004	85.323%	1.28697	0.603
P-0042702-T01-IM6	83	0.873	75.091	90.471%	19.722	54.345%	0.61338	0.87
P-0042762-T01-IM6	80	0.374	103.092	128.865%	21.772	141.127%	1.19476	0.227
P-0042782-T01-IM6	19	0.531	21.939	115.468%	4.892	102.005%	1.28942	0.449
P-0043033-T02-IM6	35	0.476	43.496	124.274%	12.286	91.321%	1.18785	0.422
P-0043071-T01-IM6	47	0.893	38.372	81.643%	7.569	46.149%	0.71024	0.883
P-0043596-T01-IM6	752	0.946	382.381	50.849%	122.143	40.88%	0.19042	0.947
P-0043613-T01-IM6	63	0.668	63.957	101.519%	16.45	75.637%	0.8205	0.629
P-0043842-T01-IM6	429	0.975	177.183	41.301%	37.347	26.283%	0.2104	0.974
P-0043909-T01-IM6	24	0.371	33.17	138.208%	7.453	112.358%	1.79193	0.271
P-0043940-T01-IM6	20	0.26	29.205	146.025%	6.373	130.088%	1.81469	0.126
P-0044312-T01-IM6	21	0.476	27.216	129.6%	5.834	104.782%	1.48538	0.389
P-0044767-T01-IM6	10	0.238	15.939	159.39%	3.887	112.208%	2.8045	0.146
P-0044790-T01-IM6	159	0.551	163.967	103.124%	56.446	84.135%	0.7697	0.512
P-0044987-T01-IM6	76	0.635	77.383	101.82%	18.612	83.069%	0.79824	0.582
P-0045120-T01-IM6	31	0.876	25.805	83.242%	8.193	56.138%	0.60753	0.877
P-0045458-T01-IM6	371	0.94	208.69	56.251%	61.235	41.683%	0.27453	0.941
P-0045671-T01-IM6	13	0.561	17.054	131.185%	3.512	90.679%	1.67248	0.497
P-0045738-T01-IM6	27	0.584	31.212	115.6%	6.982	89.395%	1.14927	0.522
P-0045991-T01-IM6	19	0.272	30.546	160.768%	7.209	109.936%	2.16169	0.183
P-0046448-T01-IM6	33	0.641	39.166	118.685%	9.352	77.664%	1.10497	0.603
P-0046630-T01-IM6	40	0.562	52.282	130.705%	14.881	82.929%	1.11283	0.528
P-0046754-T01-IM6	27	0.39	35.953	133.159%	7.933	115.715%	1.46066	0.285
P-0046965-T01-IM6	479	0.853	309.487	64.611%	92.219	52.951%	0.32709	0.84
P-0047374-T01-IM6	59	0.633	63.86	108.237%	16.323	78.993%	0.88657	0.591
P-0047653-T01-IM6	53	0.902	39.783	75.062%	7.622	43.643%	0.65102	0.891
P-0047766-T01-IM6	48	0.544	60.73	126.521%	15.508	86.156%	1.1903	0.496
P-0047768-T01-IM6	62	0.676	62.662	101.068%	18.491	73.67%	0.81302	0.648
P-0047771-T01-IM6	90	0.892	74.7	83.0%	17.792	49.422%	0.54974	0.888
P-0047974-T01-IM6	44	0.903	33.981	77.23%	8.118	47.185%	0.53611	0.899
P-0048176-T01-IM6	25	0.616	27.203	108.812%	5.916	90.218%	1.0105	0.552
P-0048238-T01-IM6	23	0.453	29.735	129.283%	6.601	105.701%	1.59123	0.365
P-0048255-T01-IM6	38	0.57	41.924	110.326%	9.331	98.357%	1.16343	0.494
P-0048521-T01-IM6	23	0.426	31.565	137.239%	7.102	103.593%	1.56243	0.343
P-0048589-T01-IM6	21	0.371	30.166	143.648%	6.487	112.924%	1.89996	0.271
P-0048620-T01-IM6	32	0.593	36.78	114.938%	7.401	102.633%	1.261	0.515
P-0048757-T01-IM6	33	0.75	35.336	107.079%	9.051	66.544%	0.89827	0.732
P-0048915-T01-IM6	21	0.403	28.911	137.671%	6.133	113.887%	1.61228	0.301
