Samples	SBS96A
P-0044544-T01-IM6	36
P-0044576-T01-IM6	32
P-0044645-T01-IM6	85
P-0044666-T01-IM6	29
P-0044791-T01-IM6	41
P-0044805-T01-IM6	31
P-0044833-T01-IM6	59
P-0044858-T01-IM6	29
P-0045009-T01-IM6	26
P-0045111-T01-IM6	51
P-0045223-T01-IM6	21
P-0045253-T01-IM6	38
P-0045320-T01-IM6	30
P-0045366-T01-IM6	33
P-0045460-T01-IM6	29
P-0045471-T01-IM6	23
P-0045547-T01-IM6	18
P-0045569-T01-IM6	68
P-0045713-T01-IM6	21
P-0045823-T01-IM6	38
P-0045984-T01-IM6	54
P-0046035-T01-IM6	26
P-0046229-T01-IM6	31
P-0046266-T01-IM6	41
P-0046311-T01-IM6	28
P-0046312-T01-IM6	37
P-0046394-T01-IM6	35
P-0046492-T01-IM6	35
P-0046698-T01-IM6	101
P-0046738-T01-IM6	24
P-0046739-T01-IM6	46
P-0046759-T01-IM6	40
P-0046843-T01-IM6	71
P-0046954-T01-IM6	10
P-0047056-T01-IM6	78
P-0047121-T01-IM6	25
P-0047196-T01-IM6	30
P-0047599-T01-IM6	91
P-0047601-T01-IM6	30
P-0047632-T01-IM6	49
P-0047822-T01-IM6	46
P-0047850-T01-IM6	49
P-0047862-T01-IM6	35
P-0047886-T01-IM6	48
P-0048082-T01-IM6	40
P-0048215-T01-IM6	470
P-0048221-T01-IM6	78
P-0048257-T01-IM6	34
P-0048271-T01-IM6	27
P-0048660-T01-IM6	25
P-0048893-T01-IM6	41
P-0049064-T01-IM6	51
P-0049202-T01-IM6	173
P-0049359-T01-IM6	29
P-0049376-T01-IM6	45
P-0049486-T01-IM6	20
P-0049600-T01-IM6	17
P-0049633-T01-IM6	29
P-0049661-T01-IM6	34
P-0049762-T01-IM6	33
P-0049970-T01-IM6	60
P-0050263-T01-IM6	281
P-0050266-T01-IM6	47
