Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
P-0022111-T01-IM6	20	14	7	0	29	0	8	7	0
P-0022508-T01-IM6	9	4	2	0	0	9	1	0	0
P-0023162-T01-IM6	2	2	0	0	0	9	5	6	0
P-0023271-T01-IM6	21	26	116	112	8	0	7	11	0
P-0023272-T01-IM6	11	15	1	1	0	23	0	2	0
P-0023551-T01-IM6	8	6	4	0	0	13	15	10	0
P-0023639-T01-IM6	5	9	6	0	7	13	0	1	2
P-0024928-T01-IM6	0	16	1	0	0	4	0	0	6
P-0024973-T01-IM6	3	0	1	0	0	21	1	0	1
P-0025047-T01-IM6	9	0	5	0	12	0	10	20	0
P-0025073-T01-IM6	13	7	2	2	0	0	0	4	5
P-0025215-T01-IM6	8	4	4	2	1	12	4	4	10
P-0025695-T01-IM6	12	4	4	0	14	0	4	0	1
P-0025715-T01-IM6	6	7	1	0	2	0	17	6	2
P-0025883-T01-IM6	10	17	2	2	0	23	1	0	8
P-0026197-T01-IM6	2	9	3	0	31	11	2	14	0
P-0026480-T01-IM6	3	4	3	0	17	7	15	0	11
P-0026678-T01-IM6	37	10	7	0	0	0	4	0	6
P-0026683-T01-IM6	37	6	10	0	0	14	0	3	7
P-0026908-T01-IM6	4	0	0	1	10	0	1	2	10
P-0026962-T01-IM6	1	12	5	2	1	4	5	4	1
P-0027324-T01-IM6	22	18	3	2	0	3	7	0	1
P-0027335-T01-IM6	11	14	1	0	5	0	5	5	2
P-0027375-T01-IM6	3	7	6	2	3	2	4	5	3
P-0027438-T01-IM6	0	19	0	2	0	0	2	3	7
P-0027740-T01-IM6	46	31	7	0	0	0	4	4	0
P-0027858-T01-IM6	5	11	1	0	25	28	10	2	0
P-0027929-T01-IM6	0	55	8	11	106	80	71	0	0
P-0028069-T01-IM6	2	6	4	0	11	1	9	4	0
P-0028266-T01-IM6	48	2	11	0	30	0	0	6	0
P-0028274-T01-IM6	13	6	2	0	16	4	1	0	9
P-0028344-T01-IM6	2	8	3	0	4	0	6	0	0
P-0028474-T01-IM6	5	18	2	2	27	7	17	0	6
P-0028485-T01-IM6	24	20	13	0	0	8	0	8	10
P-0028571-T01-IM6	9	5	1	0	5	0	11	3	0
P-0028891-T01-IM6	49	8	4	0	27	14	5	0	1
P-0028979-T01-IM6	10	0	2	0	10	0	10	26	0
P-0029114-T01-IM6	0	11	2	0	0	0	0	10	5
P-0029169-T01-IM6	7	16	3	0	0	0	0	0	4
P-0029398-T01-IM6	13	8	8	2	2	0	11	2	1
P-0029399-T01-IM6	11	3	7	2	0	15	8	0	0
P-0029495-T03-IM6	26	10	9	0	0	11	1	0	0
P-0029646-T01-IM6	13	3	2	2	41	0	9	7	5
P-0029980-T01-IM6	10	23	9	2	0	22	7	0	0
P-0030244-T01-IM6	3	11	0	2	20	0	0	10	4
P-0030265-T01-IM6	34	136	3	2	45	0	0	8	0
P-0030636-T01-IM6	11	0	5	0	0	12	0	0	4
P-0030708-T01-IM6	13	8	4	0	23	11	3	1	0
P-0030774-T01-IM6	20	18	14	0	0	4	9	6	0
P-0030960-T01-IM6	7	4	3	0	14	0	5	3	0
P-0030988-T01-IM6	0	14	3	0	0	12	10	1	0
P-0031050-T01-IM6	1	10	2	0	0	9	0	8	1
P-0031091-T01-IM6	6	24	3	0	0	14	13	0	0
P-0031146-T01-IM6	7	10	1	0	0	1	0	4	0
P-0031207-T01-IM6	5	0	1	0	10	19	0	3	0
P-0031496-T01-IM6	12	17	8	0	10	0	4	2	0
P-0032060-T01-IM6	19	15	0	3	6	0	0	12	0
P-0032698-T01-IM6	13	7	2	2	0	3	20	0	0
P-0032718-T01-IM6	1	14	1	3	20	0	3	17	0
P-0032777-T01-IM6	0	4	2	4	2	0	23	1	7
P-0033100-T01-IM6	8	3	4	2	0	27	3	0	0
P-0033382-T01-IM6	44	12	21	2	0	13	0	0	0
P-0033425-T01-IM6	90	167	24	5	39	0	18	1	21
P-0033503-T01-IM6	15	2	4	0	0	5	2	0	2
P-0033748-T01-IM6	0	0	0	65	0	0	0	0	69
P-0033852-T01-IM6	11	0	7	1	9	0	11	0	0
P-0034090-T01-IM6	0	6	1	0	3	0	2	5	2
P-0034401-T01-IM6	6	2	0	0	7	2	0	0	7
P-0034935-T01-IM6	0	1	0	0	5	2	2	3	0
P-0034950-T01-IM6	11	6	1	0	8	0	2	0	11
P-0035033-T01-IM6	2	4	0	0	1	0	0	3	0
P-0035100-T01-IM6	19	5	0	0	0	2	7	0	0
P-0035103-T01-IM6	5	8	29	88	3	0	0	0	0
P-0035437-T01-IM6	2	4	11	2	0	11	4	1	13
P-0035452-T01-IM6	12	7	7	0	20	8	7	3	2
P-0035693-T01-IM6	1	3	9	0	1	5	0	0	2
P-0035742-T01-IM6	0	3	10	7	1	2	0	0	0
P-0035755-T01-IM6	11	8	0	0	10	2	5	8	3
P-0035916-T01-IM6	11	5	4	2	0	0	2	14	4
P-0036028-T01-IM6	9	16	0	4	0	0	8	0	9
P-0036050-T01-IM6	11	18	7	0	0	0	0	6	0
P-0036309-T01-IM6	8	6	4	0	0	11	7	3	0
P-0036334-T01-IM6	17	12	4	2	6	0	4	5	1
P-0036369-T01-IM6	7	13	7	2	0	8	2	4	10
P-0036380-T01-IM6	2	0	5	2	21	0	2	0	0
P-0036500-T01-IM6	17	19	12	0	0	13	0	0	0
P-0036503-T01-IM6	0	26	63	51	0	0	0	0	0
P-0036831-T01-IM6	12	5	6	0	6	0	2	10	2
P-0036852-T01-IM6	11	4	4	4	7	0	5	10	14
P-0036924-T01-IM6	0	0	1	0	9	27	0	8	0
P-0037227-T01-IM6	10	1	0	0	0	12	5	4	0
P-0037246-T01-IM6	5	6	1	2	6	0	0	1	5
P-0037410-T01-IM6	3	10	1	2	32	5	4	8	1
P-0037531-T01-IM6	0	6	16	66	0	0	4	18	0
P-0037582-T01-IM6	12	7	3	0	2	0	3	3	1
P-0037838-T02-IM6	11	5	0	2	0	3	8	2	0
