Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
P-0019475-T01-IM6	8	7	0	28	0	13	11
P-0019846-T01-IM6	7	6	4	0	0	10	6
P-0019949-T01-IM6	16	6	3	0	1	0	0
P-0020143-T01-IM6	24	0	1	14	0	0	12
P-0020144-T01-IM6	5	0	4	9	0	0	0
P-0020221-T01-IM6	22	9	1	3	0	7	15
P-0020330-T01-IM6	16	24	7	0	3	7	40
P-0020331-T01-IM6	28	1	0	26	2	6	25
P-0020399-T01-IM6	16	0	2	0	0	7	15
P-0020431-T01-IM6	13	0	5	7	0	0	1
P-0020473-T01-IM6	3	9	91	0	45	0	0
P-0020689-T01-IM6	24	2	22	0	2	15	5
P-0020748-T01-IM6	8	0	1	5	2	0	0
P-0020834-T01-IM6	2	0	6	0	0	9	0
P-0021049-T01-IM6	19	6	6	0	0	0	5
P-0021090-T01-IM6	5	20	116	0	37	0	0
P-0021154-T01-IM6	1	8	2	0	0	14	4
P-0021292-T01-IM6	15	4	3	4	0	10	0
P-0021304-T01-IM6	30	11	8	13	2	0	0
P-0021346-T01-IM6	6	9	2	5	0	0	0
P-0021393-T01-IM6	15	31	0	0	0	17	0
P-0021744-T01-IM6	21	17	0	7	0	7	8
P-0022111-T01-IM6	21	19	8	28	0	8	1
P-0022508-T01-IM6	16	2	2	0	0	2	3
P-0023162-T01-IM6	4	1	0	1	0	8	10
P-0023271-T01-IM6	17	26	141	0	117	0	0
P-0023272-T01-IM6	20	15	0	0	0	1	17
P-0023551-T01-IM6	11	4	4	0	0	21	16
P-0023639-T01-IM6	8	10	9	10	0	0	6
P-0024928-T01-IM6	1	21	3	0	0	0	2
P-0024973-T01-IM6	7	0	1	9	0	3	7
P-0025047-T01-IM6	9	2	7	7	0	16	15
P-0025073-T01-IM6	15	9	2	0	3	0	4
P-0025215-T01-IM6	12	3	6	10	2	6	10
P-0025695-T01-IM6	12	4	4	17	0	2	0
P-0025715-T01-IM6	6	8	1	0	0	24	2
P-0025883-T01-IM6	19	18	2	7	2	2	13
P-0026197-T01-IM6	3	15	4	36	0	0	14
P-0026480-T01-IM6	4	4	4	29	0	19	0
P-0026678-T01-IM6	43	7	8	0	0	6	0
P-0026683-T01-IM6	50	0	13	0	0	0	14
P-0026908-T01-IM6	3	1	0	21	2	0	1
P-0026962-T01-IM6	2	15	7	0	2	6	3
P-0027324-T01-IM6	24	19	2	0	2	9	0
P-0027335-T01-IM6	13	18	0	2	0	7	3
P-0027375-T01-IM6	3	7	9	5	2	5	4
P-0027438-T01-IM6	0	26	0	0	2	1	4
P-0027740-T01-IM6	50	31	6	0	1	2	2
P-0027858-T01-IM6	11	14	0	30	0	14	13
P-0027929-T01-IM6	8	76	7	109	12	96	23
P-0028069-T01-IM6	2	8	6	5	0	13	3
P-0028266-T01-IM6	50	1	12	33	0	0	1
P-0028274-T01-IM6	15	7	2	27	0	0	0
P-0028344-T01-IM6	3	9	4	0	0	7	0
P-0028474-T01-IM6	7	24	2	26	2	23	0
P-0028485-T01-IM6	29	22	19	2	0	0	11
P-0028571-T01-IM6	11	6	0	0	0	17	0
P-0028891-T01-IM6	55	5	1	43	0	4	0
P-0028979-T01-IM6	11	0	1	6	0	16	24
P-0029114-T01-IM6	0	15	3	0	0	0	10
P-0029169-T01-IM6	8	19	3	0	0	0	0
P-0029398-T01-IM6	13	8	10	0	2	14	0
P-0029399-T01-IM6	17	0	9	0	3	14	3
P-0029495-T03-IM6	33	8	12	3	0	1	0
P-0029646-T01-IM6	12	8	1	50	3	8	0
P-0029980-T01-IM6	17	24	11	0	2	11	8
P-0030244-T01-IM6	2	18	0	20	2	0	8
P-0030265-T01-IM6	44	181	0	0	3	0	0
P-0030636-T01-IM6	13	0	8	9	0	0	2
P-0030708-T01-IM6	16	11	4	23	0	3	6
P-0030774-T01-IM6	23	17	19	0	0	10	2
P-0030960-T01-IM6	8	7	3	12	1	5	0
P-0030988-T01-IM6	3	16	3	0	0	13	5
P-0031050-T01-IM6	4	11	2	0	0	0	14
P-0031091-T01-IM6	11	26	3	0	0	17	3
P-0031146-T01-IM6	8	9	1	0	0	0	5
P-0031207-T01-IM6	9	0	0	11	0	2	16
P-0031496-T01-IM6	14	19	10	3	0	5	2
P-0032060-T01-IM6	21	18	0	5	3	0	8
P-0032698-T01-IM6	14	5	0	0	2	26	0
P-0032718-T01-IM6	0	20	0	18	4	1	16
P-0032777-T01-IM6	0	4	2	0	5	32	0
P-0033100-T01-IM6	17	0	5	7	2	8	8
P-0033382-T01-IM6	52	8	28	0	3	1	0
P-0033425-T01-IM6	107	206	25	0	7	20	0
P-0033503-T01-IM6	19	0	5	4	0	2	0
P-0033748-T01-IM6	0	0	0	23	100	0	11
P-0033852-T01-IM6	10	0	8	4	1	16	0
P-0034090-T01-IM6	0	9	2	1	0	3	4
P-0034401-T01-IM6	8	1	0	15	0	0	0
P-0034935-T01-IM6	0	2	0	2	0	4	5
P-0034950-T01-IM6	13	7	0	19	0	0	0
P-0035033-T01-IM6	3	5	0	0	0	0	2
P-0035100-T01-IM6	21	2	0	0	0	9	1
P-0035103-T01-IM6	5	8	22	0	98	0	0
P-0035437-T01-IM6	4	2	19	6	2	7	8
P-0035452-T01-IM6	14	9	9	22	0	9	3
P-0035693-T01-IM6	2	2	14	3	0	0	0
P-0035742-T01-IM6	0	3	13	0	7	0	0
P-0035755-T01-IM6	11	9	0	12	0	5	10
P-0035916-T01-IM6	12	5	5	0	2	2	16
P-0036028-T01-IM6	10	20	0	1	4	11	0
P-0036050-T01-IM6	13	19	10	0	0	0	0
P-0036309-T01-IM6	13	5	5	0	0	10	6
P-0036334-T01-IM6	20	13	4	4	2	5	3
P-0036369-T01-IM6	11	16	10	0	2	4	10
P-0036380-T01-IM6	2	2	6	20	2	0	0
