Samples	SBS96A	SBS96B	SBS96C
P-0046448-T01-IM6	0	33	0
P-0046630-T01-IM6	0	40	0
P-0046754-T01-IM6	0	10	17
P-0046965-T01-IM6	479	0	0
P-0047374-T01-IM6	1	54	4
P-0047379-T01-IM6	2	5	2
P-0047653-T01-IM6	39	14	0
P-0047766-T01-IM6	0	48	0
P-0047768-T01-IM6	0	62	0
P-0047771-T01-IM6	85	3	2
P-0047974-T01-IM6	36	7	1
P-0048176-T01-IM6	2	10	13
P-0048238-T01-IM6	0	8	15
P-0048255-T01-IM6	3	10	25
P-0048289-T01-IM6	2	5	11
P-0048521-T01-IM6	0	8	15
P-0048589-T01-IM6	3	0	18
P-0048620-T01-IM6	4	9	19
P-0048757-T01-IM6	6	27	0
P-0048915-T01-IM6	1	3	17
P-0048984-T01-IM6	0	14	6
P-0049047-T01-IM6	366	123	140
P-0049073-T01-IM6	219	0	0
P-0049274-T01-IM6	46	0	0
P-0049291-T01-IM6	0	45	0
P-0049371-T01-IM6	45	6	0
P-0049473-T01-IM6	2	19	7
P-0049485-T01-IM6	3	25	18
P-0049760-T01-IM6	194	190	0
P-0049775-T01-IM6	7	21	4
P-0049788-T01-IM6	22	0	0
P-0049805-T01-IM6	0	14	7
P-0049931-T01-IM6	3	26	10
P-0050111-T01-IM6	1	17	10
P-0050149-T01-IM6	1	5	24
