Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
P-0047632-T01-IM6	20	24	3	2	0
P-0047822-T01-IM6	16	1	14	15	0
P-0047850-T01-IM6	32	0	10	7	0
P-0047862-T01-IM6	10	14	7	4	0
P-0047886-T01-IM6	15	4	3	23	3
P-0048082-T01-IM6	20	0	10	10	0
P-0048215-T01-IM6	3	90	148	0	229
P-0048221-T01-IM6	31	33	4	9	1
P-0048257-T01-IM6	4	9	10	7	4
P-0048271-T01-IM6	19	0	7	0	1
P-0048660-T01-IM6	13	2	0	10	0
P-0048893-T01-IM6	22	0	12	6	1
P-0049064-T01-IM6	6	20	5	18	2
P-0049202-T01-IM6	3	7	2	0	161
P-0049359-T01-IM6	16	0	10	3	0
P-0049376-T01-IM6	22	0	8	15	0
P-0049486-T01-IM6	6	9	0	5	0
P-0049600-T01-IM6	5	7	5	0	0
P-0049633-T01-IM6	5	13	0	11	0
P-0049661-T01-IM6	13	12	6	3	0
P-0049762-T01-IM6	9	14	9	0	1
P-0049970-T01-IM6	24	5	15	12	4
P-0050263-T01-IM6	2	0	86	0	193
P-0050266-T01-IM6	8	0	35	4	0
