Samples	SBS96A	SBS96B	SBS96C
P-0040701-T01-IM6	2.27E-01	2.86E-01	2.83E-01
P-0040828-T01-IM6	2.68E+00	2.00E+00	1.40E+00
P-0040884-T01-IM6	0.00E+00	5.03E-01	5.02E-01
P-0040892-T01-IM6	0.00E+00	5.40E-01	5.40E-01
P-0040992-T01-IM6	5.91E-02	6.60E-01	6.48E-01
P-0041146-T01-IM6	7.60E-01	7.43E-01	7.48E-01
P-0041318-T01-IM6	3.07E-01	3.02E-01	1.21E-01
P-0041346-T01-IM6	7.34E-01	7.86E-02	7.28E-01
P-0041347-T01-IM6	5.45E-02	3.92E-01	3.84E-01
P-0042199-T01-IM6	2.25E+00	2.25E+00	0.00E+00
P-0042256-T01-IM6	4.72E-01	3.95E-01	3.39E-01
P-0042644-T01-IM6	2.99E-01	7.43E-01	6.36E-01
P-0042702-T01-IM6	4.39E-01	3.64E-01	3.22E-01
P-0042762-T01-IM6	2.73E-01	4.43E-01	4.47E-01
P-0042782-T01-IM6	1.05E-01	3.53E-01	3.37E-01
P-0043033-T02-IM6	2.02E-01	5.54E-01	5.49E-01
P-0043071-T01-IM6	4.75E-01	4.70E-01	1.76E-01
P-0043596-T01-IM6	3.62E+00	3.53E+00	8.81E-01
P-0043613-T01-IM6	7.57E-02	8.21E-01	8.19E-01
P-0043842-T01-IM6	1.55E+00	1.88E+00	2.04E+00
P-0043909-T01-IM6	0.00E+00	4.38E-01	4.38E-01
P-0043940-T01-IM6	1.33E-01	1.99E-01	2.42E-01
P-0044312-T01-IM6	6.49E-02	3.13E-01	3.08E-01
P-0044767-T01-IM6	1.44E-01	1.80E-01	2.21E-01
P-0044790-T01-IM6	3.64E-01	2.57E+00	2.57E+00
P-0044987-T01-IM6	2.34E-01	9.34E-01	9.03E-01
P-0045120-T01-IM6	3.34E-01	3.35E-01	2.23E-02
P-0045458-T01-IM6	2.48E+00	2.42E+00	1.54E-01
P-0045671-T01-IM6	1.84E-01	2.94E-01	2.70E-01
P-0045738-T01-IM6	1.65E-01	6.25E-01	5.72E-01
P-0045991-T01-IM6	0.00E+00	3.59E-01	3.59E-01
P-0046448-T01-IM6	2.06E-01	5.18E-01	4.97E-01
P-0046630-T01-IM6	1.31E-01	6.37E-01	6.33E-01
P-0046754-T01-IM6	0.00E+00	4.84E-01	4.83E-01
P-0046965-T01-IM6	1.34E+00	1.16E+00	1.11E+00
P-0047374-T01-IM6	1.00E-02	8.46E-01	8.45E-01
P-0047653-T01-IM6	5.50E-01	5.16E-01	2.03E-01
P-0047766-T01-IM6	1.00E-02	7.96E-01	7.96E-01
P-0047768-T01-IM6	6.37E-02	5.53E-01	5.49E-01
P-0047771-T01-IM6	5.17E-01	4.57E-01	3.36E-01
P-0047974-T01-IM6	4.10E-01	4.11E-01	0.00E+00
P-0048176-T01-IM6	1.72E-01	4.22E-01	4.12E-01
P-0048238-T01-IM6	5.39E-02	3.63E-01	3.55E-01
P-0048255-T01-IM6	1.57E-01	5.33E-01	5.19E-01
P-0048521-T01-IM6	3.79E-02	3.63E-01	3.56E-01
P-0048589-T01-IM6	1.54E-01	1.99E-01	2.37E-01
P-0048620-T01-IM6	1.90E-01	4.37E-01	3.94E-01
P-0048757-T01-IM6	3.35E-01	3.81E-01	2.30E-01
P-0048915-T01-IM6	1.33E-01	3.35E-01	3.28E-01
P-0048984-T01-IM6	0.00E+00	4.29E-01	4.29E-01
P-0049047-T01-IM6	2.09E+00	3.36E+00	3.39E+00
P-0049073-T01-IM6	7.45E-01	4.47E-01	7.19E-01
P-0049274-T01-IM6	3.40E-01	2.38E-01	3.51E-01
P-0049291-T01-IM6	0.00E+00	6.50E-01	6.51E-01
P-0049371-T01-IM6	4.18E-01	4.26E-01	1.41E-01
P-0049473-T01-IM6	1.38E-01	5.02E-01	4.76E-01
P-0049485-T01-IM6	2.32E-01	5.96E-01	5.59E-01
P-0049760-T01-IM6	2.39E+00	2.22E+00	6.58E-01
P-0049775-T01-IM6	2.68E-01	4.91E-01	4.50E-01
P-0049788-T01-IM6	1.92E-01	8.98E-02	1.78E-01
P-0049805-T01-IM6	1.02E-01	4.42E-01	4.33E-01
P-0049931-T01-IM6	2.13E-01	5.67E-01	5.20E-01
P-0050111-T01-IM6	2.26E-01	4.26E-01	4.09E-01
