Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0039589-T01-IM6	9.66E-01	1.16E+00	1.34E+00	3.00E-01	3.46E-01	1.08E+00	1.08E+00	6.11E-01	5.83E-01	6.16E-01
P-0039800-T01-IM6	5.92E-01	5.05E-01	4.68E-01	1.32E-01	0.00E+00	2.53E-01	2.06E-01	1.45E-01	1.02E-01	1.41E-01
P-0039938-T01-IM6	5.90E-01	5.95E-01	6.62E-01	2.54E-01	1.64E-01	4.37E-01	4.80E-01	4.04E-01	3.39E-01	2.60E-01
P-0039999-T01-IM6	5.01E-01	3.65E-01	4.52E-01	1.78E-01	0.00E+00	5.41E-01	3.33E-01	5.82E-01	4.46E-01	2.82E-01
P-0040021-T01-IM6	3.94E-01	3.71E-01	2.57E-01	2.26E-01	1.09E-01	3.69E-01	2.88E-01	4.07E-01	2.81E-01	3.29E-01
P-0040107-T01-IM6	5.04E-01	4.93E-01	3.97E-01	2.01E-01	0.00E+00	4.53E-01	3.74E-01	4.33E-01	3.01E-01	3.35E-01
P-0040121-T01-IM6	4.12E-01	4.32E-01	4.42E-01	3.37E-01	1.54E-01	4.18E-01	4.83E-01	6.70E-01	6.44E-01	3.21E-01
P-0040182-T01-IM6	3.60E-01	4.56E-01	3.67E-01	1.51E-01	1.41E-01	4.39E-01	5.00E-01	4.84E-01	2.93E-01	3.32E-01
P-0040250-T01-IM6	6.50E-01	6.83E-01	5.56E-01	1.49E-01	1.37E-01	4.00E-01	3.04E-01	1.54E-01	1.98E-01	2.99E-01
P-0040355-T01-IM6	4.62E-01	3.98E-01	3.73E-01	1.77E-01	0.00E+00	2.34E-01	3.14E-01	3.27E-01	2.90E-01	1.65E-01
P-0040373-T01-IM6	4.94E-01	5.29E-01	3.72E-01	3.28E-01	1.00E-02	4.15E-01	4.01E-01	5.61E-01	4.32E-01	2.81E-01
P-0040484-T01-IM6	4.31E-01	3.95E-01	3.98E-01	1.58E-01	0.00E+00	3.25E-01	2.67E-01	1.28E-01	9.71E-02	6.60E-02
P-0040678-T01-IM6	9.94E-01	7.26E-01	7.79E-01	2.80E-01	0.00E+00	1.55E-01	2.87E-01	2.77E-01	2.19E-01	2.19E-01
P-0040787-T01-IM6	4.20E-01	5.95E-01	5.48E-01	1.70E+00	1.70E+00	4.88E-01	2.52E-01	1.07E-01	3.07E-01	2.66E-01
P-0041005-T01-IM6	6.70E-01	7.71E-01	5.70E-01	2.74E-01	1.00E-02	6.01E-01	6.37E-01	6.90E-01	4.55E-01	5.49E-01
P-0041144-T01-IM6	5.45E-01	5.35E-01	5.43E-01	3.39E-01	1.00E-02	5.54E-01	4.06E-01	4.55E-01	4.71E-01	3.39E-01
P-0041213-T01-IM6	3.23E-01	3.53E-01	3.78E-01	1.41E-01	0.00E+00	3.76E-01	2.18E-01	2.01E-01	1.31E-01	2.34E-01
P-0041436-T01-IM6	5.25E-01	4.64E-01	4.46E-01	1.95E-01	1.34E-01	4.30E-01	3.71E-01	4.29E-01	3.62E-01	3.55E-01
P-0041542-T01-IM6	3.85E-01	3.73E-01	2.93E-01	3.30E-01	1.95E-01	2.29E-01	9.69E-02	1.31E-01	1.27E-01	1.40E-01
P-0041648-T01-IM6	1.19E+00	8.10E-01	1.24E+00	3.89E-01	1.70E-01	4.49E-01	4.33E-01	2.22E-01	2.34E-01	1.61E-01
P-0041855-T01-IM6	6.30E-01	5.97E-01	7.73E-01	2.75E-01	2.73E-01	7.64E-01	6.04E-01	5.12E-01	6.05E-01	6.88E-01
P-0041986-T01-IM6	6.49E-01	4.78E-01	5.66E-01	2.85E-01	1.00E-02	3.98E-01	4.03E-01	4.80E-01	4.04E-01	2.44E-01
P-0042503-T01-IM6	4.21E-01	4.10E-01	3.79E-01	2.18E-01	1.24E-01	3.21E-01	4.17E-01	4.33E-01	4.51E-01	3.32E-01
P-0042615-T01-IM6	8.60E-01	4.35E-01	8.74E-01	2.11E-01	1.68E-01	2.35E-01	2.44E-01	1.83E-01	1.61E-01	1.36E-01
P-0042737-T01-IM6	4.86E-01	5.46E-01	5.11E-01	3.00E-01	1.00E-02	4.00E-01	3.99E-01	2.13E-01	2.39E-01	1.20E-01
P-0042880-T01-IM6	3.63E-01	3.37E-01	3.77E-01	2.33E-01	1.87E-01	2.77E-01	2.71E-01	2.04E-01	1.50E-01	2.02E-01
P-0043005-T01-IM6	8.97E-01	6.99E-01	6.97E-01	4.63E-01	1.59E-01	4.93E-01	3.92E-01	2.58E-01	3.57E-01	1.57E-01
P-0043052-T01-IM6	9.47E-01	7.70E-01	9.11E-01	4.40E-01	1.00E-02	7.58E-01	5.71E-01	5.77E-01	3.98E-01	4.09E-01
P-0043087-T01-IM6	8.92E-01	9.05E-01	6.56E-01	4.24E-01	0.00E+00	4.79E-01	4.52E-01	6.79E-01	7.16E-01	3.02E-01
P-0043095-T01-IM6	6.18E-01	4.79E-01	6.04E-01	2.90E-01	1.65E-01	4.14E-01	4.18E-01	6.09E-01	5.74E-01	2.33E-01
P-0043154-T01-IM6	6.03E-01	4.86E-01	5.90E-01	3.62E-01	1.29E-01	4.57E-01	3.75E-01	3.72E-01	2.37E-01	3.72E-01
P-0043169-T01-IM6	1.68E-01	2.76E-01	2.44E-01	6.86E-02	0.00E+00	3.45E-01	2.64E-01	3.03E-01	2.78E-01	1.79E-01
P-0043595-T01-IM6	8.05E-01	6.48E-01	8.62E-01	3.82E-01	0.00E+00	4.79E-01	4.06E-01	4.17E-01	2.00E-01	1.72E-01
P-0043599-T01-IM6	3.69E-01	3.38E-01	5.59E-01	2.80E-01	1.65E-01	3.40E-01	3.06E-01	5.41E-01	6.84E-01	3.68E-01
P-0043781-T01-IM6	2.74E-01	2.96E-01	4.37E-01	2.89E-01	2.00E-02	3.51E-01	2.21E-01	5.82E-01	6.28E-01	3.02E-01
P-0043907-T01-IM6	8.29E-01	4.82E-01	7.93E-01	2.43E-01	0.00E+00	2.86E-01	2.55E-01	4.16E-01	3.05E-01	2.35E-01
P-0044184-T01-IM6	4.77E-01	5.20E-01	5.20E-01	2.11E-01	9.00E-02	5.88E-01	5.08E-01	3.30E-01	2.98E-01	5.22E-01
P-0044217-T01-IM6	3.22E-01	2.83E-01	2.89E-01	8.38E-02	0.00E+00	2.17E-01	2.18E-01	2.24E-01	2.31E-01	1.82E-01
P-0044329-T01-IM6	7.05E-01	5.27E-01	6.92E-01	2.06E-01	2.00E-02	3.96E-01	3.63E-01	4.32E-01	3.58E-01	2.40E-01
P-0044371-T01-IM6	4.37E-01	5.73E-01	6.43E-01	3.62E-01	0.00E+00	5.68E-01	5.00E-01	9.95E-01	1.11E+00	4.75E-01
P-0044406-T01-IM6	4.74E-01	3.82E-01	3.88E-01	2.54E-01	3.59E-02	3.23E-01	2.31E-01	4.60E-01	3.60E-01	3.75E-01
P-0044484-T01-IM6	4.69E-01	4.53E-01	2.84E-01	3.12E-01	1.92E-01	3.83E-01	2.07E-01	3.05E-01	2.53E-01	2.39E-01
P-0044540-T01-IM6	3.79E-01	4.99E-01	4.45E-01	2.45E-01	1.84E-01	3.77E-01	2.97E-01	5.17E-01	4.32E-01	4.37E-01
P-0044544-T01-IM6	4.38E-01	3.79E-01	4.14E-01	1.86E-01	0.00E+00	3.74E-01	3.34E-01	4.13E-01	2.59E-01	1.80E-01
P-0044576-T01-IM6	4.33E-01	2.36E-01	3.01E-01	2.05E-01	1.41E-01	2.47E-01	2.88E-01	4.42E-01	3.95E-01	3.39E-01
P-0044645-T01-IM6	1.81E+00	1.29E+00	1.64E+00	2.00E-01	1.57E-01	3.39E-01	2.96E-01	2.83E-01	2.73E-01	1.39E-01
P-0044666-T01-IM6	4.83E-01	5.76E-01	5.29E-01	6.18E-02	0.00E+00	4.71E-01	1.30E-01	2.76E-01	2.10E-01	1.17E-01
P-0044791-T01-IM6	6.31E-01	6.20E-01	6.35E-01	1.38E-01	0.00E+00	3.92E-01	2.73E-01	3.05E-01	3.33E-01	3.86E-01
P-0044805-T01-IM6	4.16E-01	3.80E-01	3.53E-01	2.93E-01	1.28E-01	2.17E-01	2.20E-01	3.04E-01	1.24E-01	1.79E-01
P-0044833-T01-IM6	7.66E-01	6.39E-01	7.28E-01	2.85E-01	1.30E-01	4.96E-01	5.37E-01	2.23E-01	4.07E-01	4.06E-01
P-0044858-T01-IM6	4.97E-01	3.04E-01	4.05E-01	1.81E-01	1.04E-01	1.76E-01	1.18E-01	3.49E-01	3.18E-01	1.50E-01
P-0045009-T01-IM6	4.08E-01	4.31E-01	4.22E-01	1.69E-01	5.45E-02	2.87E-01	2.19E-01	2.17E-01	1.70E-01	2.78E-01
P-0045111-T01-IM6	5.32E-01	4.01E-01	5.41E-01	3.20E-01	1.43E-01	5.42E-01	4.23E-01	3.04E-01	3.10E-01	4.09E-01
P-0045223-T01-IM6	1.71E-01	2.68E-01	2.10E-01	1.51E-01	1.27E-01	2.51E-01	1.46E-01	4.40E-01	4.46E-01	1.44E-01
P-0045253-T01-IM6	6.11E-01	4.05E-01	3.54E-01	1.64E-01	0.00E+00	3.02E-01	3.05E-01	5.67E-01	3.87E-01	2.24E-01
P-0045320-T01-IM6	4.40E-01	3.52E-01	3.88E-01	2.80E-01	1.07E-01	2.48E-01	2.72E-01	2.49E-01	2.33E-01	1.22E-01
P-0045366-T01-IM6	3.87E-01	4.69E-01	3.68E-01	2.50E-01	1.00E-02	3.85E-01	2.44E-01	3.72E-01	3.77E-01	3.77E-01
P-0045460-T01-IM6	3.05E-01	2.70E-01	2.59E-01	1.81E-01	2.23E-02	3.56E-01	3.80E-01	3.66E-01	2.58E-01	3.75E-01
P-0045471-T01-IM6	1.43E-01	3.43E-01	2.19E-01	1.65E-01	1.21E-01	4.45E-01	1.94E-01	2.53E-01	3.92E-01	2.56E-01
