Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0000862-T01-IM3	4.02E-01	4.30E-01	3.93E-01	1.04E-01	1.20E-01	3.79E-01	3.87E-01	3.70E-01	2.45E-01	3.15E-01
P-0001020-T01-IM3	2.88E-01	3.41E-01	2.58E-01	1.34E-01	0.00E+00	2.31E-01	1.84E-01	3.09E-01	2.11E-01	2.43E-01
P-0001237-T02-IM6	8.06E-01	5.83E-01	8.04E-01	2.19E-01	1.03E-01	3.85E-01	4.05E-01	3.50E-01	3.39E-01	2.57E-01
P-0001685-T02-IM3	6.93E-01	3.53E-01	6.94E-01	1.83E-01	6.00E-02	3.65E-01	1.95E-01	3.38E-01	3.77E-01	3.20E-01
P-0002463-T01-IM3	2.44E-01	4.77E-01	3.95E-01	3.17E-01	2.26E-01	4.49E-01	2.78E-01	4.55E-01	4.64E-01	3.84E-01
P-0002671-T01-IM3	4.42E-01	3.07E-01	5.07E-01	2.51E-01	2.00E-02	3.70E-01	6.56E-01	4.75E-01	3.24E-01	5.29E-01
P-0003209-T01-IM5	1.28E+00	8.60E-01	1.21E+00	3.89E-01	0.00E+00	2.62E-01	2.04E-01	1.05E-01	1.24E-01	1.28E-01
P-0003796-T01-IM5	2.52E-01	3.71E-01	3.34E-01	1.17E-01	6.87E-02	3.33E-01	1.68E-01	1.23E-01	2.46E-01	1.27E-01
P-0004011-T01-IM5	1.12E+00	9.20E-01	8.89E-01	4.95E-01	0.00E+00	2.45E-01	3.29E-01	9.11E-02	1.26E-01	1.41E-01
P-0004051-T01-IM5	2.96E-01	5.50E-01	4.25E-01	2.57E-01	6.15E-02	5.36E-01	4.31E-01	3.29E-01	3.08E-01	2.27E-01
P-0004083-T01-IM5	2.42E-01	1.36E-01	1.64E-01	1.34E-01	6.82E-02	1.73E-01	1.53E-01	2.62E-01	2.01E-01	2.01E-01
P-0004362-T01-IM5	8.55E-01	5.54E-01	8.70E-01	3.06E-01	0.00E+00	2.99E-01	2.89E-01	2.38E-01	4.79E-01	2.16E-01
P-0004602-T01-IM5	6.27E-01	5.55E-01	5.20E-01	4.06E-01	1.14E-01	2.23E-01	2.92E-01	2.75E-01	2.17E-01	1.77E-01
P-0004738-T01-IM5	4.65E-01	6.10E-01	5.31E-01	3.58E-01	0.00E+00	6.69E-01	5.26E-01	6.54E-01	6.17E-01	5.19E-01
P-0004754-T01-IM5	7.76E-01	7.63E-01	7.36E-01	2.39E-01	0.00E+00	5.72E-01	2.36E-01	4.08E-01	2.76E-01	2.18E-01
P-0004783-T01-IM5	4.80E-01	5.86E-01	4.04E-01	2.19E-01	0.00E+00	5.11E-01	2.52E-01	2.05E-01	2.54E-01	3.62E-01
P-0004865-T01-IM5	3.45E-01	3.46E-01	3.24E-01	1.67E+00	1.69E+00	3.84E-01	2.32E-01	2.07E-01	3.77E-01	2.36E-01
P-0005151-T01-IM5	5.49E-01	5.06E-01	5.45E-01	3.47E-01	1.66E-01	5.66E-01	5.23E-01	4.91E-01	4.62E-01	3.80E-01
P-0005197-T01-IM5	6.64E-01	4.58E-01	5.71E-01	3.29E-01	0.00E+00	2.63E-01	4.18E-01	2.02E-01	1.59E-01	1.70E-01
P-0005230-T01-IM5	9.06E-01	4.78E-01	8.25E-01	3.69E-01	1.27E-01	4.35E-01	2.19E-01	4.40E-01	4.18E-01	2.97E-01
P-0005326-T01-IM5	4.81E-01	4.35E-01	4.82E-01	3.26E-01	0.00E+00	4.94E-01	4.74E-01	5.49E-01	4.98E-01	3.59E-01
P-0005443-T01-IM5	5.45E-01	5.23E-01	3.50E-01	1.96E-01	0.00E+00	1.61E-01	2.79E-01	1.99E-01	2.44E-01	1.28E-01
P-0005455-T01-IM5	5.77E-01	3.52E-01	5.54E-01	2.51E-01	1.44E-01	2.03E-01	3.20E-01	3.98E-01	3.51E-01	2.46E-01
P-0005529-T01-IM5	3.87E-01	3.05E-01	1.99E-01	2.41E-01	3.94E-02	1.57E-01	2.94E-01	3.12E-01	2.73E-01	1.68E-01
P-0005548-T01-IM5	8.71E-01	6.84E-01	6.76E-01	4.60E-01	6.20E-02	3.92E-01	3.96E-01	3.75E-01	1.66E-01	2.94E-01
P-0005560-T01-IM5	4.27E-01	3.74E-01	3.24E-01	3.49E-01	2.37E-01	3.22E-01	2.81E-01	3.20E-01	2.22E-01	3.09E-01
P-0005823-T01-IM5	8.47E-01	5.81E-01	7.69E-01	2.97E-01	1.79E-01	4.12E-01	3.74E-01	4.32E-01	3.79E-01	3.23E-01
P-0005824-T01-IM5	7.20E-01	8.85E-01	8.41E-01	3.85E+00	3.72E+00	6.29E-01	4.83E-01	2.83E-01	5.73E-01	7.12E-01
P-0005987-T01-IM5	1.37E-01	2.47E-01	3.42E-01	1.36E-01	1.20E-01	2.58E-01	3.07E-01	3.11E-01	3.63E-01	3.05E-01
P-0006170-T01-IM5	4.53E-01	2.87E-01	5.65E-01	1.91E-01	1.56E-01	5.24E-01	4.18E-01	3.87E-01	3.27E-01	3.87E-01
P-0006207-T01-IM5	3.88E-01	4.73E-01	3.46E-01	2.23E-01	2.97E-01	4.38E-01	3.75E-01	4.67E-01	3.98E-01	4.77E-01
P-0006365-T01-IM5	3.60E-01	2.61E-01	3.34E-01	3.07E-01	9.47E-02	4.18E-01	3.20E-01	3.33E-01	1.97E-01	2.16E-01
P-0006612-T01-IM5	1.12E+00	1.29E+00	1.05E+00	6.15E+00	5.64E+00	7.68E-01	7.89E-01	1.96E-01	3.72E-01	5.84E-01
P-0006753-T01-IM5	3.23E-01	3.66E-01	4.08E-01	1.45E-01	1.42E-01	4.03E-01	3.45E-01	3.13E-01	4.23E-01	3.98E-01
P-0006960-T01-IM5	1.48E+00	2.37E+00	1.52E+00	1.45E+00	1.49E+00	2.84E+00	1.95E+00	9.92E-01	1.30E+00	2.12E+00
P-0007055-T01-IM5	3.62E-01	3.32E-01	4.22E-01	2.31E-01	4.11E-02	4.46E-01	2.54E-01	3.42E-01	3.14E-01	4.35E-01
P-0007147-T01-IM5	7.69E-01	9.02E-01	7.81E-01	4.59E-01	1.12E-01	8.10E-01	6.90E-01	8.42E-01	6.73E-01	6.00E-01
P-0007296-T01-IM5	7.06E-01	6.31E-01	5.30E-01	1.79E-01	1.18E-01	4.34E-01	4.53E-01	5.37E-01	3.13E-01	3.54E-01
P-0007596-T01-IM5	5.86E-01	6.90E-01	5.61E-01	2.10E-01	2.81E-02	4.26E-01	3.37E-01	2.89E-01	2.19E-01	2.51E-01
P-0007688-T01-IM5	4.25E-01	4.62E-01	2.87E-01	1.87E-01	1.19E-01	3.00E-01	4.58E-01	3.43E-01	2.21E-01	1.89E-01
P-0007739-T01-IM5	2.15E-01	3.82E-01	2.19E-01	1.24E-01	3.71E-02	3.37E-01	1.72E-01	3.02E-01	2.93E-01	1.94E-01
P-0007831-T01-IM5	3.92E-01	4.51E-01	4.80E-01	2.21E-01	1.48E-01	5.04E-01	2.89E-01	2.71E-01	2.29E-01	3.40E-01
P-0007836-T01-IM5	8.50E-01	4.24E-01	8.43E-01	2.23E-01	1.34E-01	2.25E-01	3.42E-01	3.53E-01	2.98E-01	1.81E-01
P-0007843-T01-IM5	3.47E-01	3.84E-01	3.40E-01	1.27E-01	1.00E-02	3.54E-01	3.03E-01	2.59E-01	2.74E-01	1.89E-01
P-0007882-T01-IM5	3.80E-01	5.46E-01	3.05E-01	1.54E-01	0.00E+00	5.23E-01	3.11E-01	3.27E-01	2.84E-01	3.46E-01
P-0007997-T01-IM5	3.55E-01	5.48E-01	3.86E-01	1.33E-01	0.00E+00	5.13E-01	2.74E-01	3.97E-01	3.22E-01	2.19E-01
P-0008180-T01-IM5	6.93E-01	6.76E-01	4.91E-01	2.27E-01	0.00E+00	4.25E-01	4.53E-01	5.20E-01	3.56E-01	4.05E-01
P-0008226-T02-IM5	4.42E-01	3.36E-01	4.06E-01	3.01E-01	1.15E-01	3.15E-01	3.97E-01	3.64E-01	3.13E-01	2.29E-01
P-0008317-T01-IM5	7.34E-01	4.92E-01	6.59E-01	2.44E-01	9.90E-02	2.23E-01	2.23E-01	1.94E-01	2.14E-01	1.37E-01
P-0008504-T03-IM6	4.01E-01	4.32E-01	4.23E-01	4.90E-01	1.90E-01	5.43E-01	5.68E-01	7.42E-01	7.27E-01	5.78E-01
P-0008721-T01-IM5	4.58E-01	4.69E-01	5.13E-01	3.56E-01	1.23E-01	5.03E-01	4.23E-01	5.64E-01	5.28E-01	5.74E-01
P-0008729-T01-IM5	3.75E-01	3.21E-01	3.63E-01	2.30E-01	1.91E-01	3.16E-01	4.48E-01	3.22E-01	3.14E-01	4.11E-01
P-0008745-T01-IM5	4.64E-01	3.92E-01	4.38E-01	4.98E-02	0.00E+00	2.25E-01	1.78E-01	1.33E-01	1.12E-01	1.36E-01
P-0008746-T01-IM5	4.07E-01	4.41E-01	3.60E-01	2.90E-01	1.16E-01	3.79E-01	2.42E-01	4.26E-01	4.30E-01	3.90E-01
P-0009157-T01-IM5	2.91E-01	3.99E-01	1.86E-01	1.89E-01	0.00E+00	4.20E-01	4.52E-01	3.47E-01	2.54E-01	2.71E-01
P-0009830-T01-IM5	2.92E-01	2.66E-01	3.63E-01	2.45E-01	1.00E-02	3.32E-01	2.77E-01	4.64E-01	4.26E-01	1.60E-01
P-0009964-T01-IM5	2.67E-01	2.02E-01	2.77E-01	1.84E-01	2.00E-02	3.05E-01	2.73E-01	2.79E-01	2.71E-01	2.66E-01
P-0010167-T01-IM5	3.19E-01	3.88E-01	1.72E-01	1.00E-02	0.00E+00	1.60E-01	3.72E-01	4.15E-01	4.26E-01	2.36E-01
P-0010275-T01-IM5	5.69E-01	5.36E-01	5.45E-01	2.33E-01	0.00E+00	3.26E-01	3.42E-01	3.18E-01	2.47E-01	2.11E-01
P-0010308-T01-IM5	2.86E-01	2.48E-01	3.01E-01	2.18E-01	2.23E-02	3.10E-01	2.18E-01	3.18E-01	3.00E-01	1.53E-01
P-0010499-T01-IM5	2.91E-01	6.35E-01	4.57E-01	1.98E+00	2.08E+00	6.36E-01	3.21E-01	4.20E-01	6.83E-01	5.35E-01
P-0010587-T01-IM5	7.92E-01	4.89E-01	7.11E-01	4.27E-01	1.42E-01	3.01E-01	3.90E-01	3.36E-01	2.94E-01	3.31E-01
P-0010680-T02-IM6	2.30E-01	2.50E-01	4.09E-01	2.09E-01	1.98E-01	3.20E-01	4.52E-01	2.18E-01	3.52E-01	7.26E-01
P-0010783-T01-IM5	6.48E-01	4.41E-01	5.76E-01	2.76E-01	0.00E+00	3.94E-01	3.94E-01	5.87E-01	3.91E-01	2.37E-01
P-0010798-T01-IM5	2.32E-01	2.16E-01	2.26E-01	2.61E-02	1.00E-02	3.03E-01	2.61E-01	3.03E-01	1.34E-01	7.77E-02
P-0010929-T01-IM5	4.34E-01	3.96E-01	3.60E-01	2.18E-01	1.20E-01	1.70E-01	1.68E-01	3.72E-01	3.07E-01	2.59E-01
P-0011068-T01-IM5	2.87E-01	3.25E-01	3.74E-01	1.30E-01	1.00E-02	2.86E-01	2.51E-01	1.67E-01	2.58E-01	1.19E-01
P-0011071-T01-IM5	4.98E-01	5.18E-01	5.90E-01	2.29E-01	2.18E-01	5.34E-01	3.90E-01	4.57E-01	4.90E-01	3.56E-01
P-0011226-T01-IM5	6.74E-01	7.17E-01	7.57E-01	2.48E-01	0.00E+00	4.41E-01	3.67E-01	3.53E-01	2.07E-01	2.49E-01
P-0011235-T01-IM5	2.57E-01	2.16E-01	2.50E-01	1.11E-01	0.00E+00	3.13E-01	1.89E-01	2.87E-01	1.63E-01	1.79E-01
P-0011324-T01-IM5	9.67E-01	5.24E-01	8.80E-01	4.10E-01	0.00E+00	2.62E-01	1.79E-01	1.48E-01	1.77E-01	1.50E-01
P-0011357-T01-IM5	3.86E-01	7.94E-01	4.73E-01	2.71E+00	2.60E+00	3.46E-01	3.37E-01	1.04E-01	4.38E-01	2.18E-01
P-0012115-T01-IM5	4.03E-01	3.97E-01	3.68E-01	8.63E-02	1.10E-01	2.35E-01	2.04E-01	2.55E-01	2.37E-01	9.12E-02
P-0012249-T01-IM5	3.60E-01	4.03E-01	4.47E-01	1.30E-01	1.00E-02	3.83E-01	3.23E-01	1.29E-01	1.55E-01	1.02E-01
P-0012313-T01-IM5	5.04E-01	4.64E-01	4.93E-01	1.70E-01	1.86E-01	3.94E-01	3.07E-01	3.75E-01	3.50E-01	3.63E-01
P-0012402-T01-IM5	6.57E-01	9.77E-01	7.56E-01	2.66E+00	2.50E+00	7.86E-01	7.30E-01	6.20E-01	8.93E-01	5.67E-01
P-0013010-T01-IM5	8.72E-01	7.07E-01	7.16E-01	4.70E-01	7.00E-02	4.47E-01	4.92E-01	4.74E-01	3.49E-01	3.48E-01
P-0013082-T01-IM5	6.64E-01	5.29E-01	6.04E-01	3.00E-01	3.00E-02	5.63E-01	3.34E-01	2.36E-01	1.92E-01	3.26E-01
P-0013227-T01-IM5	1.79E-01	3.21E-01	4.67E-01	2.50E-01	1.71E-02	5.48E-01	4.32E-01	4.56E-01	5.41E-01	3.31E-01
P-0013357-T01-IM5	4.55E-01	3.63E-01	4.83E-01	2.06E-01	1.10E-01	3.01E-01	3.46E-01	2.84E-01	2.82E-01	3.36E-01
P-0013374-T01-IM5	8.24E-01	7.65E-01	6.26E-01	1.86E-01	0.00E+00	4.73E-01	2.41E-01	2.90E-01	3.42E-01	2.67E-01
P-0013400-T01-IM5	1.06E+00	7.19E-01	9.45E-01	3.38E-01	0.00E+00	2.15E-01	4.98E-02	1.84E-01	1.85E-01	1.81E-01
P-0013462-T01-IM5	2.57E-01	1.25E-01	3.05E-01	1.98E-01	0.00E+00	2.66E-01	2.83E-01	4.93E-01	5.16E-01	3.74E-01
P-0013492-T01-IM5	4.39E-01	3.57E-01	4.89E-01	1.92E-01	0.00E+00	4.29E-01	4.75E-01	3.13E-01	2.08E-01	2.80E-01
P-0013876-T01-IM5	4.66E-01	4.74E-01	3.45E-01	3.04E-01	5.60E-02	3.38E-01	2.61E-01	4.46E-01	4.38E-01	3.61E-01
P-0013981-T01-IM5	4.37E-01	3.72E-01	6.19E-01	2.43E-01	6.00E-02	5.00E-01	3.63E-01	3.99E-01	3.95E-01	4.04E-01
P-0014143-T01-IM5	3.28E-01	4.15E-01	3.86E-01	1.98E-01	0.00E+00	3.95E-01	3.37E-01	3.24E-01	2.88E-01	4.14E-01
P-0014258-T01-IM6	3.64E-01	7.97E-01	8.35E-01	3.14E-01	5.17E-02	7.90E-01	6.29E-01	5.68E-01	7.99E-01	4.35E-01
P-0014616-T01-IM6	4.17E-01	4.33E-01	4.48E-01	6.44E-02	0.00E+00	1.59E-01	2.32E-01	2.23E-01	2.22E-01	2.26E-01
P-0014787-T01-IM6	4.08E-01	3.95E-01	3.51E-01	2.48E-01	2.08E-01	2.52E-01	4.51E-01	4.10E-01	2.95E-01	3.25E-01
P-0014994-T01-IM6	4.41E-01	5.01E-01	3.50E-01	1.89E-01	4.22E-02	4.53E-01	4.64E-01	3.06E-01	2.75E-01	4.32E-01
P-0015237-T01-IM6	2.93E-01	4.65E-01	4.64E-01	2.51E-01	1.67E-01	6.65E-01	4.97E-01	3.89E-01	2.57E-01	3.54E-01
P-0015252-T01-IM6	6.12E-01	4.88E-01	5.02E-01	1.84E-01	0.00E+00	2.80E-01	1.32E-01	1.55E-01	2.23E-01	1.36E-01
P-0015416-T01-IM6	1.07E+00	7.65E-01	9.73E-01	3.45E-01	0.00E+00	4.71E-01	3.11E-01	5.54E-01	5.83E-01	3.28E-01
P-0015536-T01-IM6	2.88E-01	2.91E-01	4.46E-01	2.31E-01	1.43E-01	3.49E-01	5.11E-01	4.00E-01	4.60E-01	2.91E-01
P-0015699-T01-IM6	2.62E-01	4.27E-01	4.31E-01	2.61E-01	1.79E-01	5.50E-01	3.93E-01	4.90E-01	5.15E-01	4.94E-01
P-0015851-T01-IM6	3.92E-01	2.93E-01	3.72E-01	1.50E-01	0.00E+00	2.71E-01	1.79E-01	2.47E-01	2.03E-01	2.36E-01
P-0016314-T01-IM6	5.44E-01	6.30E-01	9.12E-01	3.07E-01	4.69E-02	8.72E-01	8.48E-01	9.04E-01	8.54E-01	3.84E-01
P-0016522-T01-IM6	5.30E-01	5.07E-01	5.09E-01	2.73E-01	0.00E+00	2.83E-01	2.76E-01	1.23E-01	1.37E-01	2.35E-01
P-0016890-T01-IM6	4.10E-01	2.42E-01	6.14E-01	1.51E-01	1.27E-01	4.78E-01	5.32E-01	3.34E-01	3.17E-01	3.02E-01
P-0017583-T01-IM5	1.82E-01	3.50E-01	2.73E-01	1.70E-01	1.05E-01	3.62E-01	2.38E-01	3.74E-01	4.31E-01	3.35E-01
P-0017664-T01-IM5	1.47E-01	2.81E-02	9.19E-02	3.15E-02	2.00E-02	9.82E-02	7.50E-02	9.42E-02	1.05E-01	1.54E-01
P-0017697-T01-IM6	7.10E-01	7.08E-01	8.34E-01	2.53E-01	0.00E+00	4.59E-01	4.91E-01	5.84E-01	4.36E-01	3.20E-01
P-0017839-T01-IM6	5.79E-01	3.67E-01	4.44E-01	5.01E-01	3.43E-02	3.14E-01	2.74E-01	1.77E-01	1.45E-01	1.17E-01
P-0017925-T01-IM6	4.87E-01	4.58E-01	4.36E-01	2.62E-01	0.00E+00	4.54E-01	5.41E-01	4.98E-01	3.92E-01	4.15E-01
P-0017986-T02-IM6	7.34E-01	6.07E-01	7.34E-01	2.88E-01	1.40E-01	6.31E-01	5.80E-01	4.36E-01	2.52E-01	3.10E-01
P-0017995-T01-IM6	4.80E-01	5.04E-01	3.98E-01	2.15E-01	0.00E+00	5.03E-01	1.78E-01	3.19E-01	2.89E-01	3.89E-01
P-0018374-T01-IM6	5.06E-01	5.07E-01	3.10E-01	2.65E-01	1.24E-01	3.51E-01	2.82E-01	2.50E-01	2.48E-01	1.75E-01
P-0018436-T01-IM6	3.69E-01	2.17E-01	2.91E-01	8.95E-02	1.00E-02	1.95E-01	1.08E-01	2.37E-01	6.71E-02	1.11E-01
P-0018437-T01-IM6	3.91E-01	3.89E-01	5.36E-01	1.97E-01	1.00E-02	4.00E-01	3.85E-01	4.47E-01	3.88E-01	3.09E-01
P-0018841-T01-IM6	1.93E-01	5.90E-01	5.75E-01	4.26E-01	0.00E+00	7.16E-01	3.40E-01	7.44E-01	9.16E-01	3.77E-01
P-0019183-T01-IM6	1.10E-01	1.85E-01	1.30E-01	5.51E-02	1.74E-01	1.23E-01	5.41E-02	8.57E-02	8.95E-02	1.31E-01
P-0019428-T01-IM6	4.73E-01	3.63E-01	4.23E-01	2.48E-01	1.00E-02	3.68E-01	2.65E-01	3.74E-01	2.98E-01	3.39E-01
P-0019464-T01-IM6	8.31E-01	7.99E-01	8.64E-01	3.65E-01	1.92E-01	5.85E-01	6.45E-01	6.25E-01	4.41E-01	5.29E-01
P-0019475-T01-IM6	5.42E-01	5.81E-01	8.30E-01	2.37E-01	0.00E+00	8.05E-01	6.72E-01	5.93E-01	4.94E-01	2.98E-01
P-0019846-T01-IM6	3.60E-01	3.13E-01	2.70E-01	1.81E-01	1.00E-02	3.32E-01	3.72E-01	3.20E-01	3.76E-01	3.33E-01
P-0019949-T01-IM6	5.06E-01	3.96E-01	4.22E-01	1.90E-01	1.93E-01	1.40E-01	7.12E-02	1.95E-01	1.79E-01	2.32E-01
P-0020143-T01-IM6	6.31E-01	4.20E-01	6.39E-01	3.52E-01	7.77E-02	3.77E-01	2.40E-01	5.07E-01	5.00E-01	4.13E-01
P-0020144-T01-IM6	3.11E-01	1.88E-01	2.72E-01	2.08E-01	9.74E-02	3.16E-01	2.38E-01	3.06E-01	1.33E-01	1.52E-01
P-0020221-T01-IM6	6.32E-01	5.00E-01	4.96E-01	3.31E-01	1.00E-02	3.90E-01	4.09E-01	4.72E-01	4.46E-01	2.77E-01
P-0020330-T01-IM6	6.17E-01	7.51E-01	6.11E-01	3.31E-01	3.06E-01	6.76E-01	5.54E-01	9.52E-01	1.00E+00	9.73E-01
P-0020331-T01-IM6	7.51E-01	6.10E-01	7.00E-01	2.78E-01	1.50E-01	7.28E-01	5.80E-01	7.38E-01	6.57E-01	4.95E-01
P-0020399-T01-IM6	4.73E-01	3.60E-01	4.15E-01	1.97E-01	5.96E-02	3.40E-01	4.05E-01	5.04E-01	2.87E-01	2.84E-01
P-0020431-T01-IM6	4.68E-01	3.31E-01	4.75E-01	2.20E-01	0.00E+00	2.22E-01	1.89E-01	2.14E-01	2.03E-01	1.82E-01
P-0020473-T01-IM6	5.42E-01	8.30E-01	5.51E-01	2.39E+00	2.34E+00	6.25E-01	2.39E-01	1.42E-01	4.17E-01	4.23E-01
P-0020689-T01-IM6	7.48E-01	5.72E-01	5.98E-01	5.59E-01	1.38E-01	4.38E-01	4.34E-01	4.18E-01	4.15E-01	3.29E-01
P-0020748-T01-IM6	2.76E-01	1.62E-01	2.04E-01	1.37E-01	1.40E-01	2.98E-01	1.26E-01	1.95E-01	1.48E-01	2.00E-01
P-0020834-T01-IM6	1.84E-01	1.54E-01	2.42E-01	1.86E-01	6.77E-02	1.90E-01	2.86E-01	1.24E-01	2.03E-01	2.53E-01
P-0021049-T01-IM6	5.77E-01	4.59E-01	4.42E-01	2.29E-01	1.00E-02	3.91E-01	2.29E-01	3.54E-01	3.44E-01	3.49E-01
P-0021090-T01-IM6	7.58E-01	9.51E-01	6.41E-01	3.06E+00	2.73E+00	5.65E-01	1.96E-01	2.65E-01	5.96E-01	3.85E-01
P-0021154-T01-IM6	2.13E-01	3.14E-01	3.34E-01	1.33E-01	1.00E-02	2.90E-01	4.24E-01	3.98E-01	3.61E-01	2.64E-01
P-0021292-T01-IM6	4.91E-01	3.85E-01	4.53E-01	1.97E-01	0.00E+00	3.94E-01	4.12E-01	2.55E-01	2.83E-01	3.27E-01
P-0021304-T01-IM6	9.93E-01	8.33E-01	8.89E-01	3.18E-01	1.10E-01	5.38E-01	1.73E-01	2.56E-01	2.67E-01	2.24E-01
P-0021346-T01-IM6	3.18E-01	4.06E-01	3.52E-01	1.52E-01	1.41E-02	3.08E-01	2.10E-01	1.85E-01	1.35E-01	1.75E-01
P-0021393-T01-IM6	7.54E-01	8.19E-01	7.24E-01	1.55E-01	1.00E-02	5.40E-01	4.62E-01	3.32E-01	3.74E-01	2.47E-01
P-0021744-T01-IM6	7.01E-01	7.14E-01	4.36E-01	2.30E-01	0.00E+00	6.68E-01	4.37E-01	6.50E-01	5.24E-01	4.71E-01
P-0022111-T01-IM6	7.27E-01	9.24E-01	8.63E-01	3.63E-01	2.00E-02	8.92E-01	4.43E-01	6.25E-01	6.00E-01	5.20E-01
P-0022508-T01-IM6	4.47E-01	3.44E-01	3.52E-01	1.50E-01	0.00E+00	1.51E-01	2.01E-01	2.64E-01	1.08E-01	1.23E-01
P-0023162-T01-IM6	2.57E-01	2.48E-01	2.88E-01	1.26E-01	0.00E+00	3.47E-01	3.69E-01	3.34E-01	3.70E-01	2.27E-01
P-0023271-T01-IM6	1.01E+00	1.10E+00	1.25E+00	3.54E+00	3.70E+00	1.19E+00	6.71E-01	5.87E-01	1.11E+00	9.61E-01
P-0023272-T01-IM6	6.39E-01	5.96E-01	3.88E-01	2.04E-01	2.73E-01	4.03E-01	2.79E-01	5.55E-01	4.27E-01	3.85E-01
P-0023551-T01-IM6	5.27E-01	4.66E-01	5.34E-01	2.61E-01	0.00E+00	4.30E-01	6.25E-01	6.94E-01	5.36E-01	3.23E-01
P-0023639-T01-IM6	4.33E-01	4.60E-01	4.26E-01	3.20E-01	8.37E-02	5.08E-01	2.54E-01	3.58E-01	4.08E-01	2.57E-01
P-0024928-T01-IM6	2.48E-01	4.63E-01	3.19E-01	1.04E-01	1.97E-02	4.53E-01	2.22E-01	2.63E-01	2.33E-01	2.32E-01
P-0024973-T01-IM6	4.38E-01	1.38E-01	2.04E-01	1.61E-01	0.00E+00	3.88E-01	3.59E-01	5.04E-01	2.35E-01	3.19E-01
P-0025047-T01-IM6	3.36E-01	5.02E-01	6.54E-01	4.30E-01	2.81E-02	5.64E-01	6.32E-01	6.28E-01	6.47E-01	4.50E-01
P-0025073-T01-IM6	4.82E-01	4.08E-01	4.56E-01	2.23E-01	1.43E-01	3.09E-01	2.13E-01	2.95E-01	3.53E-01	4.00E-01
P-0025215-T01-IM6	4.00E-01	3.29E-01	4.11E-01	3.15E-01	1.18E-01	4.99E-01	4.67E-01	4.41E-01	4.75E-01	4.46E-01
P-0025695-T01-IM6	5.21E-01	5.51E-01	5.71E-01	2.51E-01	3.00E-02	4.64E-01	3.18E-01	1.92E-01	1.36E-01	2.11E-01
P-0025715-T01-IM6	3.63E-01	4.08E-01	4.17E-01	1.56E-01	0.00E+00	3.59E-01	5.53E-01	3.38E-01	3.74E-01	3.37E-01
P-0025883-T01-IM6	5.24E-01	7.01E-01	4.64E-01	2.33E-01	1.47E-01	6.89E-01	3.86E-01	5.89E-01	5.23E-01	4.24E-01
P-0026197-T01-IM6	4.73E-01	6.63E-01	7.14E-01	3.95E-01	4.00E-02	7.88E-01	5.05E-01	7.09E-01	7.00E-01	4.72E-01
P-0026480-T01-IM6	4.48E-01	4.40E-01	8.77E-01	3.22E-01	0.00E+00	7.67E-01	7.98E-01	6.05E-01	5.23E-01	6.08E-01
P-0026678-T01-IM6	1.14E+00	8.25E-01	1.04E+00	3.82E-01	4.00E-02	3.16E-01	3.11E-01	2.45E-01	2.38E-01	2.80E-01
P-0026683-T01-IM6	1.03E+00	6.94E-01	8.77E-01	4.29E-01	2.00E-02	5.41E-01	3.40E-01	5.99E-01	5.75E-01	3.87E-01
P-0026908-T01-IM6	2.44E-01	2.90E-01	4.05E-01	1.44E-01	1.33E-01	3.47E-01	3.25E-01	2.45E-01	2.96E-01	3.50E-01
P-0026962-T01-IM6	2.79E-01	4.05E-01	2.26E-01	1.93E-01	1.85E-01	4.08E-01	3.57E-01	2.66E-01	3.22E-01	2.55E-01
P-0027324-T01-IM6	8.21E-01	6.85E-01	6.38E-01	2.60E-01	1.87E-01	4.57E-01	3.60E-01	3.16E-01	3.30E-01	3.82E-01
P-0027335-T01-IM6	5.70E-01	5.65E-01	5.01E-01	1.66E-01	2.00E-02	4.92E-01	3.60E-01	2.90E-01	3.05E-01	3.35E-01
