Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
P-0040250-T01-IM6	8	18	8	1	2	0	1	0	0	3
P-0040355-T01-IM6	2	6	9	2	0	0	0	11	0	0
P-0040373-T01-IM6	5	11	5	7	0	0	3	15	4	1
P-0040484-T01-IM6	5	7	2	2	0	5	2	0	0	0
P-0040678-T01-IM6	24	15	0	4	0	0	6	0	0	0
P-0040787-T01-IM6	3	7	9	29	117	8	0	0	0	0
P-0041005-T01-IM6	5	21	11	4	0	0	13	19	0	0
P-0041144-T01-IM6	17	7	3	5	0	18	4	0	4	0
P-0041213-T01-IM6	5	3	6	1	0	8	0	0	0	3
P-0041436-T01-IM6	11	10	4	0	2	2	4	4	7	4
P-0041542-T01-IM6	2	6	6	7	0	0	0	0	0	0
P-0041648-T01-IM6	16	9	29	8	1	0	6	0	0	0
P-0041855-T01-IM6	12	6	21	2	2	13	11	1	3	8
P-0041986-T01-IM6	23	7	0	6	0	1	6	3	6	2
P-0042503-T01-IM6	11	5	1	0	2	1	8	2	9	1
P-0042615-T01-IM6	2	2	29	3	1	0	1	0	0	0
P-0042737-T01-IM6	7	12	8	5	0	0	8	2	0	0
P-0042880-T01-IM6	2	0	12	3	0	5	3	2	0	0
P-0043005-T01-IM6	17	12	6	8	2	10	7	0	3	0
P-0043052-T01-IM6	32	5	15	10	0	24	7	0	0	0
P-0043087-T01-IM6	24	18	0	8	0	3	5	2	27	0
P-0043095-T01-IM6	11	7	10	5	0	0	1	17	5	0
P-0043154-T01-IM6	18	5	2	6	2	8	6	3	0	2
P-0043169-T01-IM6	1	2	1	0	0	10	0	0	4	0
P-0043595-T01-IM6	13	7	14	7	0	7	2	6	0	0
P-0043599-T01-IM6	3	2	11	1	2	1	0	0	19	0
P-0043781-T01-IM6	4	0	2	1	0	1	0	5	23	0
P-0043907-T01-IM6	24	2	10	3	0	0	4	3	4	0
P-0044184-T01-IM6	7	8	8	1	0	8	8	0	0	13
P-0044217-T01-IM6	9	1	2	0	0	0	2	0	5	2
P-0044329-T01-IM6	6	6	23	2	0	0	3	12	0	0
P-0044371-T01-IM6	6	4	2	4	0	0	2	5	43	0
P-0044406-T01-IM6	11	4	0	5	0	3	0	4	4	6
P-0044484-T01-IM6	13	9	0	3	2	5	2	0	4	0
P-0044540-T01-IM6	4	17	0	4	4	0	0	5	0	11
P-0044544-T01-IM6	12	1	6	1	0	6	1	9	0	0
P-0044576-T01-IM6	9	2	0	0	1	0	0	8	4	8
P-0044645-T01-IM6	35	25	22	1	2	0	0	0	0	0
P-0044666-T01-IM6	1	12	9	0	0	5	0	2	0	0
P-0044791-T01-IM6	13	15	6	1	0	0	0	0	0	6
P-0044805-T01-IM6	9	5	6	4	0	0	1	6	0	0
P-0044833-T01-IM6	11	5	25	4	0	0	10	0	0	4
P-0044858-T01-IM6	10	2	4	2	2	0	0	5	4	0
P-0045009-T01-IM6	2	9	7	3	0	0	1	0	0	4
P-0045111-T01-IM6	10	4	11	5	2	8	10	0	1	0
P-0045223-T01-IM6	0	4	1	1	0	0	0	9	6	0
P-0045253-T01-IM6	11	5	0	1	0	0	3	16	2	0
P-0045320-T01-IM6	2	4	12	5	0	0	3	4	0	0
P-0045366-T01-IM6	7	7	6	0	0	2	0	0	6	5
P-0045460-T01-IM6	6	2	0	3	0	9	3	5	0	1
P-0045471-T01-IM6	1	11	0	2	0	2	0	1	4	2
P-0045547-T01-IM6	5	0	1	1	2	5	2	2	0	0
P-0045569-T01-IM6	14	16	14	2	0	1	5	6	10	0
P-0045713-T01-IM6	7	0	10	3	0	1	0	0	0	0
P-0045823-T01-IM6	6	14	0	1	0	0	7	2	0	8
P-0045984-T01-IM6	22	6	8	7	0	10	0	0	1	0
P-0046035-T01-IM6	12	1	0	0	3	2	0	2	6	0
P-0046229-T01-IM6	4	1	5	0	2	13	0	6	0	0
P-0046266-T01-IM6	8	2	1	1	0	5	9	7	0	8
P-0046311-T01-IM6	3	4	8	6	2	0	1	0	2	2
P-0046312-T01-IM6	10	3	21	2	1	0	0	0	0	0
P-0046394-T01-IM6	13	3	8	0	2	6	1	2	0	0
P-0046492-T01-IM6	8	3	12	7	0	0	4	0	0	1
P-0046698-T01-IM6	23	24	15	8	0	12	12	1	6	0
P-0046738-T01-IM6	2	12	5	1	0	2	2	0	0	0
P-0046739-T01-IM6	18	12	0	2	0	1	2	0	3	8
P-0046759-T01-IM6	9	11	5	1	2	0	1	8	3	0
P-0046843-T01-IM6	19	10	11	6	0	0	0	17	8	0
P-0046954-T01-IM6	2	0	0	0	0	1	0	1	0	6
P-0047056-T01-IM6	16	11	0	6	0	23	7	15	0	0
P-0047121-T01-IM6	11	6	2	2	0	0	1	0	3	0
P-0047196-T01-IM6	5	6	13	1	0	3	0	2	0	0
P-0047599-T01-IM6	34	13	17	12	0	0	8	0	4	3
P-0047601-T01-IM6	0	9	2	1	0	0	2	8	2	6
P-0047632-T01-IM6	15	15	0	2	0	7	5	1	0	4
